sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,6,0,54.644834
15,15.000000,0,0.000000,0,72,0,54.447923
30,15.000000,3,720.000000,0,126,0,53.668360
45,15.000000,32,7680.000000,13,176,5,43.967361
60,15.000000,24,5760.000000,29,231,10,38.792564
75,15.000000,46,11040.000000,53,284,6,37.108474
90,15.000000,54,12960.000000,86,324,10,35.005869
105,15.000000,50,12000.000000,110,366,13,30.872308
120,15.000000,43,10320.000000,127,406,25,24.435523
135,15.000000,47,11280.000000,137,439,28,21.238822
150,15.000000,50,12000.000000,160,474,35,20.356466
165,15.000000,40,9600.000000,189,490,38,18.400707
180,15.000000,31,7440.000000,215,525,44,16.760661
195,15.000000,34,8160.000000,219,587,33,16.219792
210,15.000000,49,11760.000000,252,616,33,16.827126
225,15.000000,47,11280.000000,286,635,29,14.174098
240,15.000000,28,6720.000000,311,649,29,13.571790
255,15.000000,26,6240.000000,324,659,30,11.595516
270,15.000000,60,14400.000000,352,685,37,11.296330
285,15.000000,36,8640.000000,371,708,42,10.326970
300,15.000000,43,10320.000000,388,730,43,9.587762
315,15.000000,45,10800.000000,407,764,32,9.915260
330,15.000000,49,11760.000000,424,769,26,10.399045
345,15.000000,53,12720.000000,430,766,26,9.157317
360,15.000000,44,10560.000000,442,772,28,8.431536
375,15.000000,37,8880.000000,443,773,34,8.795927
390,15.000000,47,11280.000000,456,777,39,8.246666
405,15.000000,35,8400.000000,476,776,42,7.495631
420,15.000000,33,7920.000000,504,787,46,7.013127
435,15.000000,33,7920.000000,512,787,42,7.358089
450,15.000000,60,14400.000000,525,815,38,7.942714
465,15.000000,43,10320.000000,535,825,39,7.095166
480,15.000000,37,8880.000000,540,825,38,6.281919
495,15.000000,41,9840.000000,537,809,41,5.734349
510,15.000000,60,14400.000000,548,812,47,6.059695
525,15.000000,64,15360.000000,563,829,50,5.336874
540,15.000000,50,12000.000000,577,823,52,5.330469
555,15.000000,41,9840.000000,572,824,47,6.090406
570,15.000000,54,12960.000000,585,845,41,7.379537
585,15.000000,28,6720.000000,587,861,36,6.951659
600,15.000000,25,6000.000000,603,855,36,5.691359
615,15.000000,24,5760.000000,615,842,39,5.220614
630,15.000000,58,13920.000000,612,835,41,5.177312
645,15.000000,44,10560.000000,613,852,46,4.505776
660,15.000000,21,5040.000000,619,874,50,4.648724
675,15.000000,43,10320.000000,619,891,52,4.747968
690,15.000000,44,10560.000000,629,907,39,5.968407
705,15.000000,35,8400.000000,632,899,40,5.832020
720,15.000000,28,6720.000000,649,891,36,5.300671
735,15.000000,33,7920.000000,655,885,38,5.026059
750,15.000000,40,9600.000000,653,873,44,5.029529
765,15.000000,44,10560.000000,657,887,51,4.387457
780,15.000000,43,10320.000000,665,887,60,3.883723
795,15.000000,39,9360.000000,672,888,64,3.616894
810,15.000000,44,10560.000000,676,907,36,4.938838
825,15.000000,37,8880.000000,682,910,36,5.107965
840,15.000000,21,5040.000000,688,899,35,4.607152
855,15.000000,28,6720.000000,694,894,37,3.882987
870,15.000000,26,6240.000000,691,883,41,3.884801
885,15.000000,31,7440.000000,693,899,41,3.729270
900,15.000000,36,8640.000000,700,906,44,3.561648
