sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
1,60.000000,800.000000,10.000000,10.000000,120.000000,1,0,1,0,0,0,55.611930,55.611930,0
15,60.000000,800.000000,10.000000,10.000000,120.000000,7,0,5,0,2,0,81.092157,91.044050,0
30,60.000000,800.000000,10.000000,10.000000,120.000000,18,0,13,0,4,1,93.968532,105.474487,0
45,60.000000,800.000000,10.000000,10.000000,120.000000,23,0,14,1,6,2,92.843680,117.744092,2
60,60.000000,800.000000,10.000000,10.000000,120.000000,31,2,18,3,6,2,86.331927,109.295780,3
75,60.000000,800.000000,10.000000,10.000000,120.000000,36,6,20,1,7,2,99.388142,117.706233,1
90,60.000000,800.000000,10.000000,10.000000,120.000000,41,5,22,1,9,4,96.874933,111.260397,1
105,60.000000,800.000000,10.000000,10.000000,120.000000,41,4,23,2,10,2,92.065230,113.269438,2
120,60.000000,800.000000,10.000000,10.000000,120.000000,42,5,21,2,12,2,86.983130,112.145103,4
135,60.000000,800.000000,10.000000,10.000000,120.000000,41,9,22,3,5,2,85.006192,115.413894,1
150,60.000000,800.000000,10.000000,10.000000,120.000000,43,9,22,4,4,4,77.630233,113.877601,8
165,60.000000,800.000000,10.000000,10.000000,120.000000,48,9,24,6,3,6,75.488351,112.087742,9
180,60.000000,800.000000,10.000000,10.000000,120.000000,52,9,25,7,7,4,74.934947,118.397539,13
195,60.000000,800.000000,10.000000,10.000000,120.000000,59,12,24,2,15,6,88.457710,113.621569,1
210,60.000000,800.000000,10.000000,10.000000,120.000000,58,11,24,3,12,8,94.333026,115.176066,2
225,60.000000,800.000000,10.000000,10.000000,120.000000,51,15,21,1,8,6,91.672348,112.343330,3
240,60.000000,800.000000,10.000000,10.000000,120.000000,56,15,26,1,5,9,82.206144,106.194086,7
255,60.000000,800.000000,10.000000,10.000000,120.000000,60,11,30,4,11,4,88.706392,111.898879,1
270,60.000000,800.000000,10.000000,10.000000,120.000000,67,7,30,9,17,4,77.930125,111.523743,9
285,60.000000,800.000000,10.000000,10.000000,120.000000,66,7,32,12,13,2,73.158682,116.715970,16
300,60.000000,800.000000,10.000000,10.000000,120.000000,73,8,35,13,12,5,70.179056,111.911905,22
315,60.000000,800.000000,10.000000,10.000000,120.000000,79,9,40,7,17,6,84.691532,113.215337,2
330,60.000000,800.000000,10.000000,10.000000,120.000000,81,14,35,1,21,10,92.575801,109.325603,3
345,60.000000,800.000000,10.000000,10.000000,120.000000,73,14,32,1,19,7,93.372201,114.746447,5
360,60.000000,800.000000,10.000000,10.000000,120.000000,65,13,32,4,11,5,85.265228,108.038592,10
375,60.000000,800.000000,10.000000,10.000000,120.000000,64,13,30,3,10,8,83.472263,110.104158,2
390,60.000000,800.000000,10.000000,10.000000,120.000000,68,16,34,8,9,1,74.897333,109.568628,10
405,60.000000,800.000000,10.000000,10.000000,120.000000,67,14,30,11,5,7,72.287339,109.757845,15
420,60.000000,800.000000,10.000000,10.000000,120.000000,77,12,35,13,10,7,68.474712,108.087268,19
435,60.000000,800.000000,10.000000,10.000000,120.000000,82,12,35,9,10,16,81.857603,113.119919,0
450,60.000000,800.000000,10.000000,10.000000,120.000000,79,23,30,4,17,5,91.349308,111.980136,1
465,60.000000,800.000000,10.000000,10.000000,120.000000,78,16,34,2,20,6,85.655269,108.793304,9
480,60.000000,800.000000,10.000000,10.000000,120.000000,69,16,33,3,11,6,78.752758,106.573401,13
495,60.000000,800.000000,10.000000,10.000000,120.000000,67,4,32,6,6,19,84.324396,109.749388,1
510,60.000000,800.000000,10.000000,10.000000,120.000000,66,9,29,9,13,6,82.407188,111.996980,5
525,60.000000,800.000000,10.000000,10.000000,120.000000,69,9,29,10,12,9,71.448704,105.077496,8
540,60.000000,800.000000,10.000000,10.000000,120.000000,72,7,33,13,9,10,70.771044,107.247576,16
555,60.000000,800.000000,10.000000,10.000000,120.000000,79,4,37,11,8,19,79.255538,112.603324,1
570,60.000000,800.000000,10.000000,10.000000,120.000000,80,18,40,3,17,2,90.072178,110.250175,2
585,60.000000,800.000000,10.000000,10.000000,120.000000,73,13,32,1,19,8,92.115536,114.129871,7
600,60.000000,800.000000,10.000000,10.000000,120.000000,63,13,26,5,13,6,83.886546,117.017995,12
615,60.000000,800.000000,10.000000,10.000000,120.000000,64,7,26,4,9,18,81.735376,107.018404,1
630,60.000000,800.000000,10.000000,10.000000,120.000000,59,11,17,8,16,7,70.616412,114.723366,8
645,60.000000,800.000000,10.000000,10.000000,120.000000,60,11,16,13,15,5,59.698855,110.863227,12
660,60.000000,800.000000,10.000000,10.000000,120.000000,60,10,22,14,8,6,52.700146,104.536565,21
675,60.000000,800.000000,10.000000,10.000000,120.000000,62,7,20,10,7,18,64.693477,110.066559,1
690,60.000000,800.000000,10.000000,10.000000,120.000000,64,23,21,4,13,3,89.416470,110.389014,0
705,60.000000,800.000000,10.000000,10.000000,120.000000,60,18,24,2,12,4,91.885821,112.732246,3
720,60.000000,800.000000,10.000000,10.000000,120.000000,55,18,29,0,6,2,84.735189,112.106632,7
735,60.000000,800.000000,10.000000,10.000000,120.000000,59,10,32,1,4,12,82.661468,106.959185,0
750,60.000000,800.000000,10.000000,10.000000,120.000000,65,7,35,4,14,5,87.197722,107.554879,3
765,60.000000,800.000000,10.000000,10.000000,120.000000,62,7,34,7,9,5,84.597111,113.964121,7
780,60.000000,800.000000,10.000000,10.000000,120.000000,57,5,31,12,3,6,78.065451,113.129029,13
795,60.000000,800.000000,10.000000,10.000000,120.000000,57,6,28,15,4,4,69.918131,109.365852,4
810,60.000000,800.000000,10.000000,10.000000,120.000000,62,17,24,3,14,4,95.113845,116.317326,0
825,60.000000,800.000000,10.000000,10.000000,120.000000,63,11,27,0,19,6,96.617472,105.888777,0
840,60.000000,800.000000,10.000000,10.000000,120.000000,57,10,27,4,13,3,91.179951,109.770591,2
855,60.000000,800.000000,10.000000,10.000000,120.000000,58,14,26,1,11,6,83.649147,104.850899,1
