sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,2,0,53.655251
15,15.000000,0,0.000000,0,26,0,59.795989
30,15.000000,0,0.000000,0,63,0,62.997029
45,15.000000,21,5040.000000,8,84,4,60.850969
60,15.000000,24,5760.000000,21,102,8,52.534284
75,15.000000,38,9120.000000,40,116,0,54.876293
90,15.000000,26,6240.000000,56,132,0,53.624247
105,15.000000,22,5280.000000,74,152,5,50.105779
120,15.000000,19,4560.000000,84,175,2,39.719838
135,15.000000,63,15120.000000,78,155,12,47.546684
150,15.000000,44,10560.000000,127,132,22,50.670307
165,15.000000,26,6240.000000,158,121,21,46.568889
180,15.000000,30,7200.000000,143,113,21,39.435272
195,15.000000,73,17520.000000,142,146,9,49.430907
210,15.000000,31,7440.000000,169,158,9,53.677646
225,15.000000,23,5520.000000,174,158,0,43.793827
240,15.000000,26,6240.000000,181,128,6,35.301856
255,15.000000,58,13920.000000,158,135,7,41.296127
270,15.000000,76,18240.000000,160,152,25,50.538517
285,15.000000,32,7680.000000,155,169,22,50.463992
300,15.000000,17,4080.000000,146,126,15,45.627545
315,15.000000,36,8640.000000,146,110,8,50.731013
330,15.000000,47,11280.000000,176,135,3,51.433479
345,15.000000,29,6960.000000,182,139,2,44.297405
360,15.000000,52,12480.000000,186,124,3,35.001993
375,15.000000,42,10080.000000,163,123,7,40.741422
390,15.000000,83,19920.000000,176,135,27,50.622010
405,15.000000,77,18480.000000,167,165,31,49.747338
420,15.000000,19,4560.000000,162,148,26,45.610779
435,15.000000,28,6720.000000,153,147,13,47.380822
450,15.000000,25,6000.000000,170,185,10,52.507623
465,15.000000,13,3120.000000,174,199,3,47.734080
480,15.000000,12,2880.000000,185,185,2,39.309809
495,15.000000,21,5040.000000,166,162,7,35.873177
510,15.000000,61,14640.000000,168,160,27,47.332650
525,15.000000,64,15360.000000,174,201,24,49.112660
540,15.000000,19,4560.000000,178,189,16,43.929915
555,15.000000,19,4560.000000,162,173,10,40.649412
570,15.000000,45,10800.000000,185,177,8,47.421439
585,15.000000,29,6960.000000,209,180,4,44.416040
600,15.000000,19,4560.000000,216,169,4,35.723428
615,15.000000,28,6720.000000,203,162,5,30.018273
630,15.000000,72,17280.000000,193,171,20,46.111625
645,15.000000,101,24240.000000,200,185,25,52.312513
660,15.000000,34,8160.000000,198,183,26,47.888133
675,15.000000,20,4800.000000,201,153,23,43.109038
690,15.000000,37,8880.000000,210,158,11,51.293858
705,15.000000,48,11520.000000,223,173,6,47.772069
720,15.000000,32,7680.000000,217,182,2,40.238512
735,15.000000,29,6960.000000,218,170,5,33.040391
750,15.000000,50,12000.000000,193,166,23,43.665339
765,15.000000,84,20160.000000,191,192,28,48.026058
780,15.000000,32,7680.000000,183,192,25,47.184104
795,15.000000,14,3360.000000,195,172,26,42.311389
810,15.000000,34,8160.000000,195,164,7,49.436109
825,15.000000,30,7200.000000,205,176,3,46.513129
840,15.000000,29,6960.000000,205,194,4,41.727793
855,15.000000,29,6960.000000,222,166,7,31.765695
870,15.000000,49,11760.000000,182,157,19,42.670051
885,15.000000,96,23040.000000,186,175,28,51.059786
900,15.000000,34,8160.000000,199,173,19,49.318146
