controller,category,case_count,scenarios,mean_vehicle_hours_total_pct_vs_no_control,max_vehicle_hours_total_pct_vs_no_control,mean_stopped_vehicle_hours_pct_vs_no_control,max_stopped_vehicle_hours_pct_vs_no_control,mean_mean_speed_kph_pct_vs_no_control,max_mean_speed_kph_pct_vs_no_control,mean_prediction_total_abs_error_mean_veh_pct_vs_no_control,max_prediction_total_abs_error_mean_veh_pct_vs_no_control,mean_mean_decision_wall_sec,max_mean_decision_wall_sec,mean_mean_signal_split_abs_sec,max_mean_signal_split_abs_sec,mean_mean_signal_offset_abs_sec,max_mean_signal_offset_abs_sec,mean_vsl_mean_abs_step_kph,max_vsl_mean_abs_step_kph,mean_ramp_green_abs_step_sec,max_ramp_green_abs_step_sec,mean_controller_error_count,max_controller_error_count,mean_fallback_state_rows,max_fallback_state_rows
no-control,4_symmetric_high,1,sym_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3724770909090909,0.3724770909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfo,4_symmetric_high,1,sym_high,-0.8495591476855201,-0.8495591476855201,-2.9749673914985615,-2.9749673914985615,0.8689010217517424,0.8689010217517424,-11.059034377965453,-11.059034377965453,31.167609181818182,31.167609181818182,7.680000000000001,7.680000000000001,10.363636363636363,10.363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
