case_id,controller,scenario_id,category,demand_profile,returncode,elapsed_sec,timed_out,case_timeout_sec,sim_period_sec,urban_volume_vph,freeway_volume_vph,control_interval_sec,rand_seed,state_csv,action_csv,decision_dir,stdout,stderr,tuning_json
no-control_sym_high_u2600_fw3400_seed13_600s,no-control,sym_high,4_symmetric_high,sym,0,81.894,False,900.0,600,2600.0,3400.0,60,13,evaluation\runs\controller_pfo_h3_i3_sym_high_600s_20260628\no-control_sym_high_u2600_fw3400_seed13_600s\state.csv,evaluation\runs\controller_pfo_h3_i3_sym_high_600s_20260628\no-control_sym_high_u2600_fw3400_seed13_600s\action.csv,evaluation\runs\controller_pfo_h3_i3_sym_high_600s_20260628\no-control_sym_high_u2600_fw3400_seed13_600s\decisions,evaluation\runs\controller_pfo_h3_i3_sym_high_600s_20260628\no-control_sym_high_u2600_fw3400_seed13_600s\stdout.txt,evaluation\runs\controller_pfo_h3_i3_sym_high_600s_20260628\no-control_sym_high_u2600_fw3400_seed13_600s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
pfo_sym_high_u2600_fw3400_seed13_600s,pfo,sym_high,4_symmetric_high,sym,0,423.889,False,900.0,600,2600.0,3400.0,60,13,evaluation\runs\controller_pfo_h3_i3_sym_high_600s_20260628\pfo_sym_high_u2600_fw3400_seed13_600s\state.csv,evaluation\runs\controller_pfo_h3_i3_sym_high_600s_20260628\pfo_sym_high_u2600_fw3400_seed13_600s\action.csv,evaluation\runs\controller_pfo_h3_i3_sym_high_600s_20260628\pfo_sym_high_u2600_fw3400_seed13_600s\decisions,evaluation\runs\controller_pfo_h3_i3_sym_high_600s_20260628\pfo_sym_high_u2600_fw3400_seed13_600s\stdout.txt,evaluation\runs\controller_pfo_h3_i3_sym_high_600s_20260628\pfo_sym_high_u2600_fw3400_seed13_600s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
