input_no,time_int,start_sec,before_vph,selected_vph,profile_vph,abs_error_vph
114,1-1,0.0,109.76,32.928,32.928,0.0
114,1-2,900.0,156.8,47.04,47.04,0.0
114,1-3,1800.0,164.64,49.391999999999996,49.391999999999996,0.0
114,1-4,2700.0,141.12,42.336,42.336,0.0
114,1-5,3600.0,109.76,32.928,32.928,0.0
114,1-6,4500.0,78.4,23.52,23.52,0.0
194,1-1,0.0,54.32,16.296,16.296,0.0
194,1-2,900.0,77.6,23.279999999999998,23.279999999999998,0.0
194,1-3,1800.0,81.48,24.444,24.444,0.0
194,1-4,2700.0,69.84,20.952,20.952,0.0
194,1-5,3600.0,54.32,16.296,16.296,0.0
194,1-6,4500.0,38.8,11.639999999999999,11.639999999999999,0.0
282,1-1,0.0,87.92,26.376,26.376,0.0
282,1-2,900.0,125.6,37.68,37.68,0.0
282,1-3,1800.0,131.88,39.564,39.564,0.0
282,1-4,2700.0,113.04,33.912,33.912,0.0
282,1-5,3600.0,87.92,26.376,26.376,0.0
282,1-6,4500.0,62.8,18.84,18.84,0.0
1013,1-1,0.0,585.76,175.72799999999998,175.72799999999998,0.0
1013,1-2,900.0,836.8,251.03999999999996,251.03999999999996,0.0
1013,1-3,1800.0,878.64,263.592,263.592,0.0
1013,1-4,2700.0,753.12,225.936,225.936,0.0
1013,1-5,3600.0,585.76,175.72799999999998,175.72799999999998,0.0
1013,1-6,4500.0,418.4,125.51999999999998,125.51999999999998,0.0
1023,1-1,0.0,416.08,124.82399999999998,124.82399999999998,0.0
1023,1-2,900.0,594.4,178.32,178.32,0.0
1023,1-3,1800.0,624.12,187.236,187.236,0.0
1023,1-4,2700.0,534.96,160.488,160.488,0.0
1023,1-5,3600.0,416.08,124.82399999999998,124.82399999999998,0.0
1023,1-6,4500.0,297.2,89.16,89.16,0.0
1032,1-1,0.0,1250.48,375.144,375.144,0.0
1032,1-2,900.0,1786.4,535.92,535.92,0.0
1032,1-3,1800.0,1875.72,562.716,562.716,0.0
1032,1-4,2700.0,1607.76,482.328,482.328,0.0
1032,1-5,3600.0,1250.48,375.144,375.144,0.0
1032,1-6,4500.0,893.2,267.96,267.96,0.0
1033,1-1,0.0,535.92,160.77599999999998,160.77599999999998,0.0
1033,1-2,900.0,765.6,229.68,229.68,0.0
1033,1-3,1800.0,803.88,241.164,241.164,0.0
1033,1-4,2700.0,689.04,206.712,206.712,0.0
