input_no,time_int,start_sec,before_vph,volume_vph
1102,1-4,2700,1200.0,360.0
1102,1-5,3600,933.0,279.9
1102,1-6,4500,667.0,200.1
1103,1-1,0,168.0,50.4
1103,1-2,900,240.0,72.0
1103,1-3,1800,252.0,75.6
1103,1-4,2700,216.0,64.8
1103,1-5,3600,168.0,50.4
1103,1-6,4500,120.0,36.0
1104,1-1,0,56.0,16.8
1104,1-2,900,80.0,24.0
1104,1-3,1800,84.0,25.2
1104,1-4,2700,72.0,21.599999999999998
1104,1-5,3600,56.0,16.8
1104,1-6,4500,40.0,12.0
1105,1-1,0,566.16,169.84799999999998
1105,1-2,900,808.8,242.64
1105,1-3,1800,849.24,254.772
1105,1-4,2700,727.92,218.37599999999998
1105,1-5,3600,566.16,169.84799999999998
1105,1-6,4500,404.4,121.32
1106,1-1,0,566.16,169.84799999999998
1106,1-2,900,808.8,242.64
1106,1-3,1800,849.24,254.772
1106,1-4,2700,727.92,218.37599999999998
1106,1-5,3600,566.16,169.84799999999998
1106,1-6,4500,404.4,121.32
1107,1-1,0,566.16,169.84799999999998
1107,1-2,900,808.8,242.64
1107,1-3,1800,849.24,254.772
1107,1-4,2700,727.92,218.37599999999998
1107,1-5,3600,566.16,169.84799999999998
1107,1-6,4500,404.4,121.32
