run_dir,state_csv,action_csv,decision_dir,ok,state_rows,completed_sim_sec,warmup_sec,analysis_time_h,vehicle_hours_total,vehicle_hours_freeway,vehicle_hours_urban,stopped_vehicle_hours,mean_total_vehicles,mean_freeway_vehicles,mean_urban_vehicles,mean_ramp_vehicles,mean_boundary_vehicles,mean_speed_kph,freeway_mean_speed_kph,mean_stopped_vehicles,final_total_vehicles,final_urban_vehicles,final_freeway_vehicles,final_stopped_vehicles,controller_statuses,fallback_state_rows,mean_decision_wall_sec_state_csv,max_decision_wall_sec_state_csv,action_rows,decision_count_action_csv,mean_vsl_kph,mean_ramp_green_sec,mean_ramp_rate_vph,mean_signal_green_sec,mean_signal_split_abs_sec,mean_signal_offset_abs_sec,vsl_mean_abs_step_kph,ramp_green_abs_step_sec,ramp_rate_abs_step_vph,signal_green_abs_step_sec,signal_split_abs_step_sec,signal_offset_abs_step_sec,decision_json_count,controller_variants,controller_statuses_json,controller_error_count,controller_error_sample,mean_decision_wall_sec,max_decision_wall_sec,mean_prediction_wall_sec,prediction_error_count,prediction_lag_max_abs_sec,prediction_total_abs_error_mean_veh,prediction_total_abs_error_max_veh,prediction_np_abs_error_mean_veh,prediction_freeway_abs_error_mean_veh,wu_convergence_rate,wu_residual_mean,wu_residual_max,wu_iterations_mean,pfo_convergence_rate,pfo_residual_objective_mean,pfo_residual_control_mean,pfo_iterations_mean,primary_rank_key
evaluation\runs\controller_3600s_20260627\wu,evaluation\runs\controller_3600s_20260627\wu\state.csv,evaluation\runs\controller_3600s_20260627\wu\action.csv,evaluation\runs\controller_3600s_20260627\wu\decisions,True,721,3600.0,300.0,0.9180555555555555,1525.625,134.59027777777777,523.6430555555555,843.4611111111111,1661.8003025718608,146.6036308623298,570.3827534039334,49.31316187594554,784.9258698940998,20.790525891074132,91.87628212102875,918.7473524962179,1804.0,694.0,158.0,1086.0,ok,0,0.7990037364771151,0.978914,1647,61,120.0,10.0,865.049,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,wu,ok,0,,0.799099524590164,0.978914,0.04349432786885246,60,1.0,164.85885811286192,279.240182305952,146.49578073973484,64.08372797753668,0.01639344262295082,0.2193515686003647,0.27257232665458875,1.0,0.0,0.0,0.0,0.0,1736.4902777777777
evaluation\runs\controller_3600s_20260627\pfo,evaluation\runs\controller_3600s_20260627\pfo\state.csv,evaluation\runs\controller_3600s_20260627\pfo\action.csv,evaluation\runs\controller_3600s_20260627\pfo\decisions,True,721,3600.0,300.0,0.9180555555555555,1552.4625,133.27777777777777,548.2805555555556,912.075,1691.03328290469,145.17397881996973,597.2193645990923,36.783661119515884,802.4795763993949,19.38449989107413,91.90621053857791,993.4856278366112,1879.0,762.0,152.0,1224.0,ok,0,10.063946803051318,18.579927,1647,61,120.0,10.0,865.049,57.0,6.368524590163936,13.675409836065574,0.0,0.0,0.0,0.0,1.7493333333333334,6.233333333333333,61,pfo,ok,0,,10.18851606557377,18.579927,0.03950532786885246,60,1.0,146.0620378603184,254.93347462700535,129.35705903068668,83.98805902808905,0.0,0.0,0.0,0.0,0.9508196721311475,0.02547766209011806,0.02547766209011806,1.0,1780.48125
