sim_sec,node,approach_label,link,stop_pos,interval_sec,discharge_count,discharge_rate_vph
1,A,A_L1,1,470.000000,1.000000,0,0.000000
1,A,A_L3,3,430.000000,1.000000,0,0.000000
1,A,A_L6,6,518.011000,1.000000,0,0.000000
1,A,A_L8,8,418.014000,1.000000,0,0.000000
1,B,B_L5,5,518.011000,1.000000,0,0.000000
1,B,B_L9,9,430.000000,1.000000,0,0.000000
1,B,B_L12,12,518.011000,1.000000,0,0.000000
1,B,B_L14,14,418.014000,1.000000,0,0.000000
1,C,C_L11,11,518.011000,1.000000,0,0.000000
1,C,C_L15,15,430.000000,1.000000,0,0.000000
1,C,C_L18,18,470.000000,1.000000,0,0.000000
1,C,C_L20,20,418.014000,1.000000,0,0.000000
1,D,D_L7,7,418.014000,1.000000,0,0.000000
1,D,D_L21,21,470.000000,1.000000,0,0.000000
1,D,D_L24,24,518.011000,1.000000,0,0.000000
1,D,D_L26,26,172.883000,1.000000,0,0.000000
1,F,F_L19,19,418.014000,1.000000,0,0.000000
1,F,F_L27,27,518.011000,1.000000,0,0.000000
1,F,F_L30,30,470.000000,1.000000,0,0.000000
1,F,F_L32,32,268.326000,1.000000,0,0.000000
15,A,A_L1,1,470.000000,15.000000,0,0.000000
15,A,A_L3,3,430.000000,15.000000,0,0.000000
15,A,A_L6,6,518.011000,15.000000,0,0.000000
15,A,A_L8,8,418.014000,15.000000,0,0.000000
15,B,B_L5,5,518.011000,15.000000,0,0.000000
15,B,B_L9,9,430.000000,15.000000,0,0.000000
15,B,B_L12,12,518.011000,15.000000,0,0.000000
15,B,B_L14,14,418.014000,15.000000,0,0.000000
15,C,C_L11,11,518.011000,15.000000,0,0.000000
15,C,C_L15,15,430.000000,15.000000,0,0.000000
15,C,C_L18,18,470.000000,15.000000,0,0.000000
15,C,C_L20,20,418.014000,15.000000,0,0.000000
15,D,D_L7,7,418.014000,15.000000,0,0.000000
15,D,D_L21,21,470.000000,15.000000,0,0.000000
15,D,D_L24,24,518.011000,15.000000,0,0.000000
15,D,D_L26,26,172.883000,15.000000,0,0.000000
15,F,F_L19,19,418.014000,15.000000,0,0.000000
15,F,F_L27,27,518.011000,15.000000,0,0.000000
15,F,F_L30,30,470.000000,15.000000,0,0.000000
15,F,F_L32,32,268.326000,15.000000,0,0.000000
30,A,A_L1,1,470.000000,15.000000,0,0.000000
30,A,A_L3,3,430.000000,15.000000,1,240.000000
30,A,A_L6,6,518.011000,15.000000,0,0.000000
30,A,A_L8,8,418.014000,15.000000,0,0.000000
30,B,B_L5,5,518.011000,15.000000,0,0.000000
30,B,B_L9,9,430.000000,15.000000,0,0.000000
30,B,B_L12,12,518.011000,15.000000,0,0.000000
30,B,B_L14,14,418.014000,15.000000,0,0.000000
30,C,C_L11,11,518.011000,15.000000,0,0.000000
30,C,C_L15,15,430.000000,15.000000,1,240.000000
30,C,C_L18,18,470.000000,15.000000,0,0.000000
30,C,C_L20,20,418.014000,15.000000,0,0.000000
30,D,D_L7,7,418.014000,15.000000,0,0.000000
30,D,D_L21,21,470.000000,15.000000,0,0.000000
30,D,D_L24,24,518.011000,15.000000,0,0.000000
30,D,D_L26,26,172.883000,15.000000,0,0.000000
30,F,F_L19,19,418.014000,15.000000,0,0.000000
30,F,F_L27,27,518.011000,15.000000,0,0.000000
30,F,F_L30,30,470.000000,15.000000,1,240.000000
30,F,F_L32,32,268.326000,15.000000,0,0.000000
45,A,A_L1,1,470.000000,15.000000,4,960.000000
45,A,A_L3,3,430.000000,15.000000,2,480.000000
45,A,A_L6,6,518.011000,15.000000,0,0.000000
45,A,A_L8,8,418.014000,15.000000,0,0.000000
45,B,B_L5,5,518.011000,15.000000,0,0.000000
45,B,B_L9,9,430.000000,15.000000,3,720.000000
45,B,B_L12,12,518.011000,15.000000,0,0.000000
45,B,B_L14,14,418.014000,15.000000,0,0.000000
45,C,C_L11,11,518.011000,15.000000,0,0.000000
45,C,C_L15,15,430.000000,15.000000,2,480.000000
45,C,C_L18,18,470.000000,15.000000,5,1200.000000
45,C,C_L20,20,418.014000,15.000000,0,0.000000
45,D,D_L7,7,418.014000,15.000000,0,0.000000
45,D,D_L21,21,470.000000,15.000000,3,720.000000
45,D,D_L24,24,518.011000,15.000000,0,0.000000
45,D,D_L26,26,172.883000,15.000000,0,0.000000
45,F,F_L19,19,418.014000,15.000000,0,0.000000
45,F,F_L27,27,518.011000,15.000000,0,0.000000
45,F,F_L30,30,470.000000,15.000000,5,1200.000000
45,F,F_L32,32,268.326000,15.000000,0,0.000000
60,A,A_L1,1,470.000000,15.000000,6,1440.000000
60,A,A_L3,3,430.000000,15.000000,1,240.000000
60,A,A_L6,6,518.011000,15.000000,0,0.000000
60,A,A_L8,8,418.014000,15.000000,0,0.000000
60,B,B_L5,5,518.011000,15.000000,0,0.000000
60,B,B_L9,9,430.000000,15.000000,0,0.000000
60,B,B_L12,12,518.011000,15.000000,0,0.000000
60,B,B_L14,14,418.014000,15.000000,0,0.000000
60,C,C_L11,11,518.011000,15.000000,0,0.000000
60,C,C_L15,15,430.000000,15.000000,0,0.000000
60,C,C_L18,18,470.000000,15.000000,3,720.000000
60,C,C_L20,20,418.014000,15.000000,0,0.000000
60,D,D_L7,7,418.014000,15.000000,0,0.000000
60,D,D_L21,21,470.000000,15.000000,5,1200.000000
60,D,D_L24,24,518.011000,15.000000,0,0.000000
60,D,D_L26,26,172.883000,15.000000,0,0.000000
60,F,F_L19,19,418.014000,15.000000,0,0.000000
60,F,F_L27,27,518.011000,15.000000,0,0.000000
60,F,F_L30,30,470.000000,15.000000,2,480.000000
60,F,F_L32,32,268.326000,15.000000,2,480.000000
75,A,A_L1,1,470.000000,15.000000,4,960.000000
75,A,A_L3,3,430.000000,15.000000,4,960.000000
75,A,A_L6,6,518.011000,15.000000,0,0.000000
75,A,A_L8,8,418.014000,15.000000,0,0.000000
75,B,B_L5,5,518.011000,15.000000,0,0.000000
75,B,B_L9,9,430.000000,15.000000,6,1440.000000
75,B,B_L12,12,518.011000,15.000000,1,240.000000
75,B,B_L14,14,418.014000,15.000000,0,0.000000
75,C,C_L11,11,518.011000,15.000000,0,0.000000
75,C,C_L15,15,430.000000,15.000000,9,2160.000000
75,C,C_L18,18,470.000000,15.000000,2,480.000000
75,C,C_L20,20,418.014000,15.000000,2,480.000000
75,D,D_L7,7,418.014000,15.000000,1,240.000000
75,D,D_L21,21,470.000000,15.000000,3,720.000000
75,D,D_L24,24,518.011000,15.000000,0,0.000000
75,D,D_L26,26,172.883000,15.000000,1,240.000000
75,F,F_L19,19,418.014000,15.000000,0,0.000000
75,F,F_L27,27,518.011000,15.000000,0,0.000000
75,F,F_L30,30,470.000000,15.000000,3,720.000000
75,F,F_L32,32,268.326000,15.000000,1,240.000000
90,A,A_L1,1,470.000000,15.000000,0,0.000000
90,A,A_L3,3,430.000000,15.000000,9,2160.000000
90,A,A_L6,6,518.011000,15.000000,0,0.000000
90,A,A_L8,8,418.014000,15.000000,2,480.000000
90,B,B_L5,5,518.011000,15.000000,3,720.000000
90,B,B_L9,9,430.000000,15.000000,10,2400.000000
90,B,B_L12,12,518.011000,15.000000,5,1200.000000
90,B,B_L14,14,418.014000,15.000000,0,0.000000
90,C,C_L11,11,518.011000,15.000000,0,0.000000
90,C,C_L15,15,430.000000,15.000000,11,2640.000000
90,C,C_L18,18,470.000000,15.000000,1,240.000000
90,C,C_L20,20,418.014000,15.000000,0,0.000000
90,D,D_L7,7,418.014000,15.000000,0,0.000000
90,D,D_L21,21,470.000000,15.000000,0,0.000000
90,D,D_L24,24,518.011000,15.000000,0,0.000000
90,D,D_L26,26,172.883000,15.000000,0,0.000000
90,F,F_L19,19,418.014000,15.000000,2,480.000000
90,F,F_L27,27,518.011000,15.000000,0,0.000000
90,F,F_L30,30,470.000000,15.000000,0,0.000000
90,F,F_L32,32,268.326000,15.000000,1,240.000000
105,A,A_L1,1,470.000000,15.000000,0,0.000000
105,A,A_L3,3,430.000000,15.000000,10,2400.000000
105,A,A_L6,6,518.011000,15.000000,1,240.000000
105,A,A_L8,8,418.014000,15.000000,0,0.000000
105,B,B_L5,5,518.011000,15.000000,1,240.000000
105,B,B_L9,9,430.000000,15.000000,5,1200.000000
105,B,B_L12,12,518.011000,15.000000,7,1680.000000
105,B,B_L14,14,418.014000,15.000000,1,240.000000
105,C,C_L11,11,518.011000,15.000000,0,0.000000
105,C,C_L15,15,430.000000,15.000000,4,960.000000
105,C,C_L18,18,470.000000,15.000000,0,0.000000
105,C,C_L20,20,418.014000,15.000000,1,240.000000
105,D,D_L7,7,418.014000,15.000000,1,240.000000
105,D,D_L21,21,470.000000,15.000000,1,240.000000
105,D,D_L24,24,518.011000,15.000000,0,0.000000
105,D,D_L26,26,172.883000,15.000000,0,0.000000
105,F,F_L19,19,418.014000,15.000000,3,720.000000
105,F,F_L27,27,518.011000,15.000000,0,0.000000
105,F,F_L30,30,470.000000,15.000000,0,0.000000
105,F,F_L32,32,268.326000,15.000000,1,240.000000
120,A,A_L1,1,470.000000,15.000000,0,0.000000
120,A,A_L3,3,430.000000,15.000000,8,1920.000000
120,A,A_L6,6,518.011000,15.000000,1,240.000000
120,A,A_L8,8,418.014000,15.000000,0,0.000000
120,B,B_L5,5,518.011000,15.000000,0,0.000000
120,B,B_L9,9,430.000000,15.000000,4,960.000000
120,B,B_L12,12,518.011000,15.000000,3,720.000000
120,B,B_L14,14,418.014000,15.000000,1,240.000000
120,C,C_L11,11,518.011000,15.000000,3,720.000000
120,C,C_L15,15,430.000000,15.000000,5,1200.000000
120,C,C_L18,18,470.000000,15.000000,0,0.000000
120,C,C_L20,20,418.014000,15.000000,0,0.000000
120,D,D_L7,7,418.014000,15.000000,1,240.000000
120,D,D_L21,21,470.000000,15.000000,1,240.000000
120,D,D_L24,24,518.011000,15.000000,1,240.000000
120,D,D_L26,26,172.883000,15.000000,0,0.000000
120,F,F_L19,19,418.014000,15.000000,6,1440.000000
120,F,F_L27,27,518.011000,15.000000,1,240.000000
120,F,F_L30,30,470.000000,15.000000,0,0.000000
120,F,F_L32,32,268.326000,15.000000,1,240.000000
135,A,A_L1,1,470.000000,15.000000,6,1440.000000
135,A,A_L3,3,430.000000,15.000000,3,720.000000
135,A,A_L6,6,518.011000,15.000000,10,2400.000000
135,A,A_L8,8,418.014000,15.000000,0,0.000000
135,B,B_L5,5,518.011000,15.000000,10,2400.000000
135,B,B_L9,9,430.000000,15.000000,0,0.000000
135,B,B_L12,12,518.011000,15.000000,10,2400.000000
135,B,B_L14,14,418.014000,15.000000,0,0.000000
135,C,C_L11,11,518.011000,15.000000,3,720.000000
135,C,C_L15,15,430.000000,15.000000,2,480.000000
135,C,C_L18,18,470.000000,15.000000,6,1440.000000
135,C,C_L20,20,418.014000,15.000000,0,0.000000
135,D,D_L7,7,418.014000,15.000000,0,0.000000
