input_no,start_sec,volume_vph
114,0,32.928
114,900,47.04
114,1800,49.391999999999996
114,2700,42.336
114,3600,32.928
114,4500,23.52
194,0,16.296
194,900,23.279999999999998
194,1800,24.444
194,2700,20.952
194,3600,16.296
194,4500,11.639999999999999
282,0,26.376
282,900,37.68
282,1800,39.564
282,2700,33.912
282,3600,26.376
282,4500,18.84
1013,0,175.72799999999998
1013,900,251.03999999999996
1013,1800,263.592
1013,2700,225.936
1013,3600,175.72799999999998
1013,4500,125.51999999999998
1023,0,124.82399999999998
1023,900,178.32
1023,1800,187.236
1023,2700,160.488
1023,3600,124.82399999999998
1023,4500,89.16
1032,0,375.144
1032,900,535.92
1032,1800,562.716
1032,2700,482.328
1032,3600,375.144
1032,4500,267.96
1033,0,160.77599999999998
1033,900,229.68
1033,1800,241.164
1033,2700,206.712
1033,3600,160.77599999999998
1033,4500,114.84
1052,0,62.16
1052,900,88.8
1052,1800,93.24
1052,2700,79.91999999999999
1052,3600,62.16
1052,4500,44.4
1053,0,152.04
1053,900,217.2
1053,1800,228.06
1053,2700,195.48
1053,3600,152.04
1053,4500,108.6
1054,0,149.856
1054,900,214.08
1054,1800,224.784
1054,2700,192.672
1054,3600,149.856
1054,4500,107.04
1064,0,80.808
1064,900,115.44
1064,1800,121.212
1064,2700,103.896
1064,3600,80.808
1064,4500,57.72
1065,0,267.12
1065,900,381.59999999999997
1065,1800,400.67999999999995
1065,2700,343.44
1065,3600,267.12
1065,4500,190.79999999999998
1074,0,179.088
1074,900,255.83999999999997
1074,1800,268.632
1074,2700,230.256
1074,3600,179.088
1074,4500,127.91999999999999
1082,0,269.13599999999997
1082,900,384.47999999999996
1082,1800,403.704
1082,2700,346.032
1082,3600,269.13599999999997
1082,4500,192.23999999999998
1083,0,84.0
1083,900,120.0
1083,1800,126.0
1083,2700,108.0
1083,3600,84.0
1083,4500,60.0
1085,0,84.0
1085,900,120.0
1085,1800,126.0
1085,2700,108.0
1085,3600,84.0
1085,4500,60.0
1086,0,58.8
1086,900,84.0
1086,1800,88.2
1086,2700,75.6
1086,3600,58.8
1086,4500,42.0
1087,0,58.8
1087,900,84.0
1087,1800,88.2
1087,2700,75.6
1087,3600,58.8
1087,4500,42.0
1091,0,33.6
1091,900,48.0
1091,1800,50.4
1091,2700,43.199999999999996
1091,3600,33.6
1091,4500,24.0
1092,0,12.6
1092,900,18.0
1092,1800,18.9
1092,2700,16.2
1092,3600,12.6
1092,4500,9.0
1093,0,12.6
1093,900,18.0
1093,1800,18.9
1093,2700,16.2
1093,3600,12.6
1093,4500,9.0
1095,0,50.4
1095,900,72.0
1095,1800,75.6
1095,2700,64.8
1095,3600,50.4
1095,4500,36.0
1096,0,16.8
1096,900,24.0
1096,1800,25.2
1096,2700,21.599999999999998
1096,3600,16.8
1096,4500,12.0
1097,0,33.6
1097,900,48.0
1097,1800,50.4
1097,2700,43.199999999999996
1097,3600,33.6
1097,4500,24.0
1098,0,3233.8706399999996
1098,900,4619.8152
1098,1800,4850.80596
1098,2700,4157.83368
1098,3600,3233.8706399999996
1098,4500,2309.9076
1099,0,3233.8706399999996
1099,900,4619.8152
1099,1800,4850.80596
1099,2700,4157.83368
1099,3600,3233.8706399999996
1099,4500,2309.9076
1100,0,169.84799999999998
1100,900,242.64
1100,1800,254.772
1100,2700,218.37599999999998
1100,3600,169.84799999999998
1100,4500,121.32
1101,0,280.2
1101,900,399.9
1101,1800,420.0
1101,2700,360.0
1101,3600,280.2
1101,4500,200.1
1102,0,279.9
1102,900,399.9
1102,1800,420.0
1102,2700,360.0
1102,3600,279.9
1102,4500,200.1
1103,0,50.4
1103,900,72.0
1103,1800,75.6
1103,2700,64.8
1103,3600,50.4
1103,4500,36.0
1104,0,16.8
1104,900,24.0
1104,1800,25.2
1104,2700,21.599999999999998
1104,3600,16.8
1104,4500,12.0
1105,0,169.84799999999998
1105,900,242.64
1105,1800,254.772
1105,2700,218.37599999999998
1105,3600,169.84799999999998
1105,4500,121.32
1106,0,169.84799999999998
1106,900,242.64
1106,1800,254.772
1106,2700,218.37599999999998
1106,3600,169.84799999999998
1106,4500,121.32
1107,0,169.84799999999998
1107,900,242.64
1107,1800,254.772
1107,2700,218.37599999999998
1107,3600,169.84799999999998
1107,4500,121.32
