no,role,is_connector,lane_count,length_m,orientation,start_xy,end_xy,centroid_xy,from_link,to_link,name
1,urban_road,False,2,139.917,NS,"[-5747779.732, -969690.931]","[-5747699.121, -969805.247]","[-5747746.233, -969739.258]",,,
2,freeway_mainline,False,4,4691.599,NS,"[-5748257.511, -972545.37]","[-5750717.656, -968611.972]","[-5749985.473, -970149.053]",,,
3,urban_road,False,2,108.975,EW,"[-5746307.541, -967861.755]","[-5746406.991, -967906.1]","[-5746356.314, -967883.441]",,,
4,urban_road,False,3,28.081,EW,"[-5746336.932, -967882.887]","[-5746310.933, -967872.277]","[-5746323.933, -967877.582]",,,
5,urban_road,False,2,37.202,EW,"[-5746230.314, -967833.17]","[-5746264.692, -967847.39]","[-5746247.503, -967840.28]",,,
6,urban_road,False,2,26.704,EW,"[-5746200.363, -967819.739]","[-5746224.831, -967830.436]","[-5746212.597, -967825.088]",,,
7,urban_road,False,2,43.843,EW,"[-5746268.153, -967856.397]","[-5746227.639, -967839.638]","[-5746247.896, -967848.018]",,,
8,urban_road,False,3,27.452,EW,"[-5746221.827, -967837.308]","[-5746196.696, -967826.261]","[-5746209.261, -967831.784]",,,
9,urban_road,False,2,35.575,NS,"[-5746309.98, -967811.069]","[-5746296.307, -967843.911]","[-5746303.143, -967827.49]",,,
10,urban_road,False,2,41.36,NS,"[-5746288.544, -967846.945]","[-5746304.441, -967808.763]","[-5746296.492, -967827.854]",,,
11,urban_road,False,1,49.118,NS,"[-5746257.624, -967925.052]","[-5746275.277, -967879.217]","[-5746266.451, -967902.134]",,,
12,urban_road,False,1,54.895,NS,"[-5746280.62, -967875.083]","[-5746260.89, -967926.31]","[-5746270.755, -967900.696]",,,
13,urban_road,False,2,167.806,EW,"[-5746017.336, -967743.661]","[-5746172.444, -967807.695]","[-5746094.89, -967775.678]",,,
14,urban_road,False,2,163.078,EW,"[-5746168.879, -967815.951]","[-5746018.798, -967752.167]","[-5746105.266, -967788.713]",,,
15,urban_road,False,1,14.016,NS,"[-5746202.94, -967796.91]","[-5746197.889, -967809.984]","[-5746200.415, -967803.447]",,,
16,urban_road,False,1,14.016,NS,"[-5746194.624, -967808.722]","[-5746199.675, -967795.648]","[-5746197.15, -967802.185]",,,
17,urban_road,False,1,6.799,EW,"[-5747863.32, -968720.683]","[-5747856.928, -968719.131]","[-5747860.194, -968719.508]",,,
18,urban_road,False,1,6.805,NS,"[-5747856.81, -968708.991]","[-5747854.682, -968715.423]","[-5747855.849, -968712.359]",,,
19,urban_road,False,1,10.547,NS,"[-5747848.239, -968712.702]","[-5747851.574, -968703.471]","[-5747850.808, -968708.053]",,,
20,urban_road,False,2,59.534,EW,"[-5747610.862, -969587.34]","[-5747552.924, -969573.645]","[-5747581.893, -969580.493]",,,
21,urban_road,False,2,172.84,NS,"[-5747144.293, -969442.502]","[-5747172.484, -969272.899]","[-5747162.659, -969349.06]",,,
22,urban_road,False,2,49.507,EW,"[-5747095.188, -969167.462]","[-5747144.695, -969167.462]","[-5747119.942, -969167.462]",,,
23,urban_road,False,2,57.499,EW,"[-5746404.507, -967912.848]","[-5746351.272, -967891.117]","[-5746377.889, -967901.983]",,,
24,urban_freeway_interface_road,False,4,3345.981,NS,"[-5750717.938, -968611.012]","[-5751307.134, -965397.807]","[-5751274.129, -966333.949]",,,
25,urban_road,False,4,241.759,NS,"[-5746767.249, -967608.644]","[-5746669.543, -967829.779]","[-5746718.396, -967719.211]",,,
26,freeway_mainline,False,4,10777.693,NS,"[-5751330.452, -965388.537]","[-5746485.567, -974593.647]","[-5750345.455, -968583.813]",,,
27,urban_road,False,1,25.167,EW,"[-5746564.699, -967964.697]","[-5746585.18, -967951.549]","[-5746574.805, -967960.068]",,,
28,urban_road,False,4,236.432,NS,"[-5746652.838, -967817.25]","[-5746748.391, -967600.987]","[-5746700.614, -967709.118]",,,
29,urban_road,False,4,539.718,EW,"[-5749350.633, -968614.175]","[-5749882.491, -968705.952]","[-5749616.562, -968660.064]",,,
30,urban_road,False,4,532.031,EW,"[-5749871.633, -968720.272]","[-5749347.491, -968628.988]","[-5749609.562, -968674.63]",,,
31,urban_freeway_interface_road,False,3,1959.465,EW,"[-5750007.493, -968730.275]","[-5751938.953, -969060.375]","[-5750973.223, -968895.325]",,,
32,urban_freeway_interface_road,False,3,1963.361,EW,"[-5751936.708, -969073.393]","[-5750001.434, -968742.485]","[-5750969.071, -968907.939]",,,
33,urban_road,False,4,100.78,NS,"[-5746558.487, -968079.881]","[-5746518.984, -968172.596]","[-5746538.735, -968126.238]",,,
34,urban_road,False,5,69.525,NS,"[-5746511.734, -968185.422]","[-5746483.931, -968249.146]","[-5746497.833, -968217.284]",,,
35,urban_road,False,4,79.606,NS,"[-5746465.464, -968252.088]","[-5746497.298, -968179.124]","[-5746481.381, -968215.606]",,,
36,urban_road,False,4,94.954,NS,"[-5746502.803, -968165.163]","[-5746539.751, -968077.693]","[-5746521.277, -968121.428]",,,
37,urban_road,False,3,537.053,NS,"[-5750177.03, -968207.278]","[-5749978.406, -968706.252]","[-5750077.718, -968456.765]",,,
38,urban_road,False,3,548.581,NS,"[-5749954.395, -968711.585]","[-5750160.12, -968203.039]","[-5750057.257, -968457.312]",,,
39,urban_road,False,4,1253.965,NS,"[-5749946.651, -968762.759]","[-5749548.259, -969893.409]","[-5749663.121, -969274.722]",,,
40,urban_road,False,4,1261.484,NS,"[-5749531.793, -969892.813]","[-5749927.424, -968755.236]","[-5749643.775, -969267.601]",,,
41,urban_road,False,5,73.266,NS,"[-5746414.89, -968372.555]","[-5746443.751, -968305.214]","[-5746429.321, -968338.885]",,,
42,urban_road,False,4,157.34,NS,"[-5746341.592, -968537.037]","[-5746403.472, -968392.377]","[-5746372.532, -968464.707]",,,
43,urban_road,False,2,95.311,DIAG,"[-5748574.313, -969832.31]","[-5748644.156, -969897.164]","[-5748609.234, -969864.737]",,,
44,urban_road,False,4,84.059,NS,"[-5746462.479, -968301.497]","[-5746429.367, -968378.76]","[-5746445.923, -968340.128]",,,
45,urban_road,False,4,104.616,NS,"[-5746420.204, -968400.15]","[-5746378.959, -968496.292]","[-5746399.582, -968448.221]",,,
46,urban_road,False,4,958.892,NS,"[-5749551.909, -969927.275]","[-5749192.794, -970775.234]","[-5749456.861, -970333.713]",,,
47,urban_road,False,4,937.791,NS,"[-5749174.839, -970755.932]","[-5749533.505, -969932.212]","[-5749439.292, -970328.151]",,,
48,urban_road,False,1,109.876,NS,"[-5746534.299, -968391.165]","[-5746482.434, -968294.314]","[-5746518.144, -968361.585]",,,
49,urban_road,False,1,109.728,NS,"[-5746485.535, -968292.692]","[-5746537.329, -968389.413]","[-5746521.203, -968359.885]",,,
50,urban_road,False,1,114.068,DIAG,"[-5746360.487, -968180.918]","[-5746442.838, -968259.738]","[-5746393.313, -968211.005]",,,
51,urban_road,False,1,113.718,DIAG,"[-5746440.359, -968262.208]","[-5746358.267, -968183.624]","[-5746390.933, -968213.568]",,,
52,urban_road,False,4,468.46,DIAG,"[-5748797.824, -970452.929]","[-5749145.268, -970767.154]","[-5748971.546, -970610.041]",,,
53,urban_road,False,5,39.689,EW,"[-5746668.845, -967357.2]","[-5746706.058, -967371.0]","[-5746687.451, -967364.1]",,,
