no,role,active,type,signal_group_count,signal_head_count,freeway_head_count,interface_head_count,unique_head_links,centroid_xy,supplyFile2,signal_group_names,name
1,urban_signal_controller,true,FIXEDTIME,8,14,0,0,"1210008401,1220006903,1220007104,1220008201","[-5748224.397, -969108.812]",#data#개포동 test-bed1_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",구룡초교
2,urban_signal_controller,true,FIXEDTIME,24,15,0,0,"240,242,245,251,1210008202,1210008203,1220008202,1220008301,1220008302","[-5748045.968, -968941.344]",#data#개포동 test-bed2.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT,WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT,WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",개원초교(보)
3,urban_signal_controller,true,FIXEDTIME,16,9,0,0,"213,217,1210012101,1220012002,1220012102","[-5747471.323, -968396.718]",#data#개포동 test-bed4.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT,WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",수도공고(보)
4,urban_signal_controller,true,FIXEDTIME,24,30,0,0,"118,122,128,467,469,121008402,1220018403,1220018502","[-5747732.269, -967822.853]",#data#개포동 test-bed8.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT,WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT,WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",청실종합
5,urban_signal_controller,true,FIXEDTIME,24,31,0,0,"256,257,259,1210014303,1220011103,1220014100,1220014203,1220014303,1220018401,1220019201","[-5748141.427, -968094.692]",#data#개포동 test-bed7_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT,WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT,WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",도곡역
6,urban_signal_controller,true,FIXEDTIME,8,18,0,0,"1210018302,1220018504,1220021201,1220021801","[-5747417.879, -967644.359]",#data#개포동 test-bed9_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",대치역
7,urban_signal_controller,true,FIXEDTIME,16,10,0,0,"1210009600,1220007502,1220008601,1220008602,1220008701","[-5747571.911, -969002.92]",#data#개포동 test-bed14.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT,WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",개포도서관
8,urban_signal_controller,true,FIXEDTIME,8,6,0,0,"187,189,1220007402,1220007501","[-5747398.194, -969183.72]",#data#개포동 test-bed15.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",개포중(보)
9,urban_signal_controller,true,FIXEDTIME,16,19,0,0,"94,97,461,462,1220021802,1220021803,1220021903","[-5747504.03, -967430.626]",#data#개포동 test-bed16.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT,WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",대치은마아파트
10,urban_signal_controller,true,FIXEDTIME,8,7,0,0,"1210018202,1220018301","[-5747303.447, -967915.205]",#data#개포동 test-bed17.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",대치선경아파트
