no,role,link,first_volume_vph,peak_volume_vph,time_interval_count,name
114,urban_input,364,109.76,164.64,6,우리은행포이_NB
194,urban_input,1220013100,54.32,81.48,6,개포주민센터_NB
282,urban_input,1220011200,87.92,131.88,6,경기여고_WB
1013,urban_input,308,585.76,878.64,6,매봉터널_SB
1023,urban_input,293,416.08,624.12,6,도곡역_SB
1032,urban_input,55,1250.48,1875.72,6,대치역_WB
1033,urban_input,113,535.92,803.88,6,대치역_SB
1052,urban_input,13,207.2,310.8,6,대모산역사거리_WB
1053,urban_input,60,506.8,760.2,6,대모산역사거리_SB
1054,urban_input,42,499.52,749.28,6,대모산역사거리_NB
1064,urban_input,379,269.36,404.04,6,구룡터널_NB
1065,urban_input,1220042300,890.4,1335.6,6,구룡터널_NB(터널직진)
1074,urban_input,1220044500,596.96,895.44,6,구룡마을_NB
1082,urban_input,1220000704,897.12,1345.68,6,"개포3,4단지_WB"
1083,urban_input,21,280.0,420.0,6,Dummy link 1
1085,urban_input,138,280.0,420.0,6,Dummy Link 6
1086,urban_input,343,196.0,294.0,6,Dummy link 3
1087,urban_input,341,196.0,294.0,6,Dummy link 4
1091,urban_input,236,112.0,168.0,6,Dummy Link 8
1092,urban_input,217,42.0,63.0,6,Dummy Link 9
1093,urban_input,225,42.0,63.0,6,Dummy Link 10
1095,urban_input,164,168.0,252.0,6,Dummy Linl 11
1096,urban_input,201,56.0,84.0,6,Dummy Link 5
1097,urban_input,256,112.0,168.0,6,Dummy Link 12
1098,freeway_feeder_input_candidate,74,3080.0,4620.0,6,경부_EB
1099,freeway_mainline_input,26,3080.0,4620.0,6,경부_NB
1100,urban_input,66,566.16,849.24,6,
1101,urban_input,69,560.0,840.0,6,
1102,urban_input,32,560.0,840.0,6,
1103,urban_input,37,168.0,252.0,6,
1104,urban_input,72,56.0,84.0,6,
