urban_follower_id,sc_no,sg_no,movement,signal_head_no
1,1004,1,WBL,90030886
1,1004,1,WBL,90030887
1,1004,2,EBT,90030881
1,1004,2,EBT,90030882
1,1004,2,EBT,90030883
1,1004,3,NBL,90030875
1,1004,4,SBT,90030889
1,1004,4,SBT,90030890
1,1004,4,SBT,90030891
1,1004,5,EBL,90030879
1,1004,5,EBL,90030880
1,1004,6,WBT,90030884
1,1004,6,WBT,90030885
1,1004,7,SBL,90030888
1,1004,8,NBT,90030876
1,1004,8,NBT,90030877
1,1004,8,NBT,90030878
2,1005,2,EBT,90030862
2,1005,2,EBT,90030863
2,1005,6,WBT,90030864
2,1005,6,WBT,90030865
2,1005,7,SBL,90030860
2,1005,7,SBL,90030861
3,107,1,WBL,1070101
3,107,1,WBL,1070102
3,107,2,EBT,1070201
3,107,2,EBT,1070202
3,107,2,EBT,1070203
3,107,2,EBT,1070204
3,107,3,NBL,1070301
3,107,3,NBL,1070302
3,107,3,NBL,1070303
3,107,5,EBL,1070501
3,107,6,WBT,1070601
3,107,6,WBT,1070602
3,107,6,WBT,1070603
3,107,6,WBT,1070604
3,107,7,SBL,1070701
3,107,7,SBL,1070702
3,107,7,SBL,1070703
4,108,1,WBL,1080101
4,108,2,EBT,1080201
4,108,2,EBT,1080202
4,108,2,EBT,1080203
4,108,2,EBT,1080204
4,108,4,SBT,1080401
4,108,4,SBT,1080402
4,108,5,EBL,1080501
4,108,6,WBT,1080601
4,108,6,WBT,1080602
4,108,6,WBT,1080603
4,108,6,WBT,1080604
4,108,8,NBT,1080801
4,108,8,NBT,1080802
5,109,2,EBT,1090201
5,109,2,EBT,1090202
5,109,2,EBT,1090203
5,109,5,EBL,1090501
5,109,5,EBL,1090502
5,109,6,WBT,1090601
5,109,6,WBT,1090602
5,109,6,WBT,1090603
5,109,6,WBT,1090604
5,109,7,SBL,1090701
5,109,7,SBL,1090702
5,109,7,SBL,1090703
6,1003,2,EBT,90030873
6,1003,2,EBT,90030874
6,1003,4,SBT,90030866
6,1003,4,SBT,90030867
6,1003,7,SBL,90030868
6,1003,7,SBL,90030869
6,1003,8,NBT,90030870
6,1003,8,NBT,90030871
6,1003,8,NBT,90030872
7,105,2,EBT,1050201
7,105,2,EBT,1050202
7,105,3,NBL,1050301
7,105,4,SBT,1050401
7,105,4,SBT,1050402
7,105,4,SBT,1050403
7,105,6,WBT,1050601
