kind,id,dsd_no,sc_no,field,previous_written,current_written,changed
vsl,RW_FW_E_S0,39,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S0,43,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S0,38,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S0,44,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S0,37,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S0,45,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S0,36,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S0,46,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S2,47,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S2,48,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S2,49,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S2,50,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S5,51,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S5,52,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S5,53,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S5,54,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S7,55,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S7,56,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S7,57,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S7,58,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S10,59,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S10,60,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S10,61,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S10,62,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S13,63,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S13,64,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S13,65,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S13,66,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S15,67,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S15,68,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S15,69,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S18,71,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S18,72,,speed_kph,120.0,120.0,False
vsl,RW_FW_E_S18,73,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S0,40,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S0,75,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S0,41,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S0,76,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S0,42,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S0,77,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S2,79,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S2,80,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S2,81,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S5,83,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S5,84,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S5,85,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S7,87,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S7,88,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S7,89,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S7,90,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S10,91,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S10,92,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S10,93,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S10,94,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S13,95,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S13,96,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S13,97,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S13,98,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S15,99,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S15,100,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S15,101,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S15,102,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S18,103,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S18,104,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S18,105,,speed_kph,120.0,120.0,False
vsl,RW_FW_W_S18,106,,speed_kph,120.0,120.0,False
ramp_meter,RM_C10480,,9101,rate_vph,900.0,900.0,False
ramp_meter,RM_C10480,,9101,green_sec,10.0,10.0,False
ramp_meter,RM_C10482,,9102,rate_vph,900.0,900.0,False
ramp_meter,RM_C10482,,9102,green_sec,10.0,10.0,False
ramp_meter,RM_C10646,,9103,rate_vph,900.0,900.0,False
ramp_meter,RM_C10646,,9103,green_sec,10.0,10.0,False
ramp_meter,RM_C10644,,9104,rate_vph,900.0,900.0,False
ramp_meter,RM_C10644,,9104,green_sec,10.0,10.0,False
ramp_meter,RM_C10639,,9105,rate_vph,900.0,900.0,False
ramp_meter,RM_C10639,,9105,green_sec,10.0,10.0,False
ramp_meter,RM_C10681,,9106,rate_vph,900.0,900.0,False
ramp_meter,RM_C10681,,9106,green_sec,10.0,10.0,False
ramp_meter,RM_C10490,,9107,rate_vph,900.0,900.0,False
ramp_meter,RM_C10490,,9107,green_sec,10.0,10.0,False
ramp_meter,RM_C10484,,9108,rate_vph,900.0,900.0,False
ramp_meter,RM_C10484,,9108,green_sec,10.0,10.0,False
