sec,link_or_cell,n,stop_le1_kph,slow_lt30_kph,mean_speed_kph
2400,47,23,5,6,43.02478260869565
2400,52,20,2,2,38.9205
2400,57,3,0,0,44.24333333333333
2400,58,11,0,0,57.804545454545455
2400,61,1,0,0,103.88
2400,62,2,0,0,68.655
2400,69,29,0,4,36.30413793103448
2400,71,11,6,9,10.13090909090909
2400,74,122,0,0,106.88918032786884
2400,E8,91,36,77,17.52791208791209
2400,E9,8,0,0,89.07124999999999
2401,100,4,0,0,39.24
2401,10023,1,0,0,46.4
2401,10189,2,0,0,33.4
2401,10200,3,0,0,36.65
2401,10209,1,0,0,64.41
2401,10256,1,0,1,22.11
2401,10270,1,0,0,37.62
2401,10293,1,0,0,41.3
2401,10380,1,0,0,40.92
2401,10385,1,0,0,40.31
2401,10388,1,0,0,112.42
2401,10401,1,0,0,42.48
2401,10402,1,0,0,42.38
2401,10408,1,0,0,42.47
2401,10414,1,0,0,44.02
2401,10480,1,0,0,32.87
2401,10481,46,41,44,5.180434782608696
2401,10482,1,0,0,41.42
2401,10484,5,0,0,43.128
2401,10491,4,0,2,34.425000000000004
2401,10498,1,0,0,101.14
2401,10501,5,0,0,72.662
2401,10514,5,3,4,10.642
2401,10517,4,4,4,0.0
2401,10520,5,5,5,0.0
2401,10523,2,0,2,10.129999999999999
2401,10544,1,0,0,44.86
2401,10557,1,0,0,59.45
2401,10565,1,0,0,91.64
2401,10566,3,0,0,42.64333333333334
2401,10595,2,0,0,36.645
2401,10614,1,0,0,72.7
2401,10619,1,0,0,69.91
2401,10621,10,0,0,60.717
2401,10635,1,0,0,51.51
2401,10638,11,0,0,46.99909090909091
2401,10639,2,0,0,43.040000000000006
2401,10640,1,0,0,46.58
2401,10644,15,0,3,30.065333333333335
2401,10646,7,0,0,48.60142857142858
2401,10654,1,0,0,41.8
2401,10655,1,0,1,17.12
2401,10660,1,1,1,0.0
2401,10661,1,0,0,65.8
2401,10674,1,0,0,38.58
2401,10675,1,0,0,54.69
2401,10682,20,5,19,8.812999999999999
2401,10686,2,0,0,47.4
2401,10693,1,0,0,41.53
2401,10699,1,0,0,127.05
2401,10701,1,0,0,40.46
2401,119,15,0,0,92.33866666666667
2401,120,227,0,1,98.49594713656387
2401,121,13,0,7,30.66923076923077
2401,1210006903,7,0,0,40.25857142857143
2401,1210008303,1,0,0,42.12
2401,1210008401,19,17,18,1.894736842105263
2401,1210008501,1,0,0,45.8
2401,1210008703,2,2,2,0.0
2401,1210009403,1,0,0,41.85
2401,1210009503,3,0,1,33.486666666666665
2401,1210012101,3,0,0,39.99333333333333
2401,1210012103,1,0,0,41.6
2401,1210012600,6,0,1,38.86333333333334
2401,1210012700,1,0,0,42.07
2401,1210014303,12,4,8,23.813333333333333
2401,1210018302,14,11,13,3.5157142857142856
2401,1210018504,6,0,0,42.965
2401,1220000102,4,0,0,65.66
2401,1220000201,6,2,6,13.598333333333334
2401,1220000402,11,0,0,48.438181818181825
2401,1220000502,4,0,0,72.07
2401,1220006403,5,0,1,39.81
2401,1220006503,2,1,1,36.585
2401,1220006803,7,0,0,66.40857142857143
2401,1220006903,11,8,8,8.924545454545454
2401,1220007001,6,6,6,0.0
2401,1220007004,2,0,0,40.655
2401,1220007104,5,0,0,55.176
2401,1220007200,12,12,12,0.0
2401,1220007300,1,0,0,118.72
2401,1220007402,2,1,2,1.33
2401,1220007501,17,17,17,0.0
2401,1220007502,4,4,4,0.0
2401,1220008201,3,0,0,42.48333333333333
2401,1220008301,4,0,0,37.9675
2401,1220008501,4,0,0,44.5675
2401,1220008502,8,0,0,40.7725
2401,1220011001,10,2,3,29.925
2401,1220011101,1,0,0,41.81
2401,1220011103,3,0,0,41.50333333333333
2401,1220011503,23,18,21,4.5834782608695654
2401,1220012001,1,1,1,0.0
2401,1220012102,3,3,3,0.0
2401,1220012103,1,1,1,0.0
2401,1220012502,2,2,2,0.0
2401,1220012700,3,0,0,41.14
2401,1220014100,2,0,0,44.45
2401,1220014201,3,3,3,0.0
2401,1220014203,5,5,5,0.0
2401,1220014303,3,3,3,0.0
2401,1220015000,4,3,4,1.325
2401,1220018302,1,0,0,43.6
2401,1220018403,4,0,0,43.5375
2401,1220018404,10,0,0,41.745
2401,1220018501,1,0,0,41.83
2401,1220018502,3,0,0,54.78666666666666
2401,1220018504,1,1,1,0.0
2401,124,3,0,0,35.876666666666665
2401,126,2,0,0,96.26
2401,127,159,108,144,5.919308176100628
2401,129,4,0,1,35.4575
2401,138,1,0,0,40.05
2401,168,1,0,0,43.31
2401,173,1,1,1,0.0
2401,174,15,0,0,51.856
2401,176,2,1,1,38.735
2401,178,1,0,0,42.96
2401,182,7,0,0,70.03428571428572
2401,183,1,0,1,4.33
2401,2,389,85,246,35.50562982005142
2401,21,2,0,0,43.92
2401,217,1,0,0,42.43
2401,24,74,0,0,102.375
2401,26,354,13,83,54.85
2401,29,3,3,3,0.0
2401,30,22,2,5,37.20681818181818
2401,31,2,0,0,38.49
2401,32,24,0,1,40.07458333333333
2401,321,15,3,10,19.674666666666667
2401,322,22,6,15,17.628636363636364
2401,324,1,0,0,42.58
2401,325,20,20,20,0.0
2401,326,27,26,27,0.5392592592592593
2401,329,23,9,22,5.998695652173913
2401,337,1,0,0,139.18
2401,341,3,3,3,0.0
2401,343,5,4,5,2.318
2401,353,1,0,0,70.76
2401,364,2,2,2,0.0
2401,367,1,0,0,44.19
2401,387,3,0,0,87.79
2401,39,4,1,3,15.39
2401,40,26,23,23,6.301923076923076
2401,403,11,11,11,0.0
2401,408,6,0,0,52.14333333333334
2401,409,1,0,0,81.8
2401,410,3,0,0,40.21333333333333
2401,412,11,0,4,38.85727272727273
2401,416,19,9,10,18.68631578947368
2401,417,1,0,0,41.63
2401,420,17,0,0,50.037058823529414
2401,421,2,0,0,39.019999999999996
2401,427,12,5,7,26.765
2401,46,9,4,6,32.416666666666664
2401,47,23,2,5,45.65652173913043
2401,52,21,2,4,40.63142857142857
2401,57,3,0,0,44.04
2401,58,10,0,0,54.46
2401,61,1,0,0,104.61
2401,62,2,0,0,68.62
2401,69,28,0,1,36.527857142857144
2401,71,11,7,10,7.962727272727273
2401,74,123,0,0,106.62991869918699
2401,E8,93,37,77,18.188279569892472
2401,E9,9,0,0,84.94555555555556
2402,100,4,0,0,38.5175
2402,10023,2,0,0,39.91
2402,10124,2,0,2,21.405
2402,10181,2,0,0,44.44
