window_start_s,window_end_s,id,kind,road,connector,from_cell,to_cell,crossings,flow_vph,cumulative_crossings,snapshot_n_veh,excluded_connector_skip,source_first_appearances,source_reappearances,interval_inferred_crossings
870.1,900.1,RM_C10490,ramp,FW_E,10490,,21,7,840.0,133,5,0,0,0,0
870.1,900.1,RM_C10484,ramp,FW_E,10484,,23,3,360.0,61,6,0,0,0,0
870.1,900.1,OR_D_E_signal,offramp,FW_E,10481,18,,3,360.0,38,2,0,0,0,0
870.1,900.1,OR_D_E_direct,offramp,FW_E,10483,20,,9,1080.0,163,7,0,0,0,0
870.1,900.1,OR_D_W_signal,offramp,FW_W,10491,9,,11,1320.0,136,5,0,0,0,2
870.1,900.1,OR_D_W_direct,offramp,FW_W,10479,7,,7,840.0,184,2,0,0,0,0
870.1,900.1,OR_F_E_signal,offramp,FW_E,10643,9,,7,840.0,117,0,0,0,0,0
870.1,900.1,OR_F_E_direct,offramp,FW_E,10682,11,,8,960.0,236,2,0,0,0,0
870.1,900.1,OR_F_W_signal,offramp,FW_W,10638,19,,11,1320.0,93,4,0,0,0,6
870.1,900.1,OR_F_W_direct,offramp,FW_W,10645,16,,20,2400.0,216,7,0,0,0,0
870.1,900.1,source_1098,source,FW_E,,,0,59,7080.0,1750,,0,59,0,0
870.1,900.1,source_1099,source,FW_W,,,0,43,5160.0,1076,,0,43,0,0
900.1,930.1,RM_C10480,ramp,FW_W,10480,,8,2,240.0,19,1,0,0,0,1
900.1,930.1,RM_C10482,ramp,FW_W,10482,,10,13,1560.0,385,24,0,0,0,0
900.1,930.1,RM_C10646,ramp,FW_W,10646,,18,8,960.0,35,2,0,0,0,3
900.1,930.1,RM_C10644,ramp,FW_W,10644,,22,3,360.0,72,10,0,0,0,0
900.1,930.1,RM_C10639,ramp,FW_E,10639,,10,0,0.0,65,2,0,0,0,0
900.1,930.1,RM_C10681,ramp,FW_E,10681,,12,7,840.0,92,10,0,0,0,0
900.1,930.1,RM_C10490,ramp,FW_E,10490,,21,5,600.0,138,8,0,0,0,0
900.1,930.1,RM_C10484,ramp,FW_E,10484,,23,5,600.0,66,4,0,0,0,0
900.1,930.1,OR_D_E_signal,offramp,FW_E,10481,18,,2,240.0,40,1,0,0,0,0
900.1,930.1,OR_D_E_direct,offramp,FW_E,10483,20,,9,1080.0,172,5,0,0,0,0
900.1,930.1,OR_D_W_signal,offramp,FW_W,10491,9,,7,840.0,143,2,0,0,0,1
900.1,930.1,OR_D_W_direct,offramp,FW_W,10479,7,,7,840.0,191,3,0,0,0,0
900.1,930.1,OR_F_E_signal,offramp,FW_E,10643,9,,7,840.0,124,6,0,0,0,0
900.1,930.1,OR_F_E_direct,offramp,FW_E,10682,11,,13,1560.0,249,6,0,0,0,0
900.1,930.1,OR_F_W_signal,offramp,FW_W,10638,19,,12,1440.0,105,3,0,0,0,3
900.1,930.1,OR_F_W_direct,offramp,FW_W,10645,16,,9,1080.0,225,2,0,0,0,0
900.1,930.1,source_1098,source,FW_E,,,0,74,8880.0,1824,,0,74,0,0
900.1,930.1,source_1099,source,FW_W,,,0,55,6600.0,1131,,0,55,0,0
930.1,960.1,RM_C10480,ramp,FW_W,10480,,8,1,120.0,20,1,0,0,0,1
930.1,960.1,RM_C10482,ramp,FW_W,10482,,10,11,1320.0,396,32,0,0,0,0
