kind,id,dsd_no,sc_no,link,lane,speed_kph,p1_green,p2_green,p3_green,p4_green,offset,rate_vph,green_sec,metadata
signal,SC1,,1,,,,54.0,21.0,32.0,31.0,19.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC5,,5,,,,43.0,23.0,47.0,25.0,114.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC6,,6,,,,43.0,21.0,52.0,22.0,13.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC7,,7,,,,67.0,90.0,0.0,24.0,119.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC11,,11,,,,36.0,35.0,34.0,33.0,55.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC12,,12,,,,50.0,24.0,32.0,32.0,145.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC16,,16,,,,63.0,17.0,27.0,0.0,1.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC101,,101,,,,48.0,27.0,39.0,24.0,25.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC105,,105,,,,48.0,21.0,35.0,34.0,115.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC107,,107,,,,0.0,25.0,78.0,38.0,12.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC108,,108,,,,31.0,0.0,88.0,22.0,38.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC109,,109,,,,0.0,20.0,90.0,31.0,39.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC1001,,1001,,,,46.0,23.0,45.0,24.0,75.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC1002,,1002,,,,46.0,23.0,45.0,24.0,75.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC1003,,1003,,,,46.0,23.0,45.0,24.0,75.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC1004,,1004,,,,40.0,29.0,45.0,24.0,0.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
signal,SC1005,,1005,,,,46.0,23.0,45.0,24.0,75.0,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
