sc_sg,native_green_sec_2250_2400,native_unknown_sec_2250_2400,native_states_sec
1001:6,45.0,0,"{""AMBER"": 3.0, ""GREEN"": 45.0, ""RED"": 102.0}"
1002:2,45.0,0,"{""AMBER"": 3.0, ""GREEN"": 45.0, ""RED"": 102.0}"
1002:6,45.0,0,"{""AMBER"": 3.0, ""GREEN"": 45.0, ""RED"": 102.0}"
1003:2,45.0,0,"{""AMBER"": 3.0, ""GREEN"": 45.0, ""RED"": 102.0}"
1003:6,45.0,0,"{""AMBER"": 3.0, ""GREEN"": 45.0, ""RED"": 102.0}"
1004:2,45.0,0,"{""AMBER"": 3.0, ""GREEN"": 45.0, ""RED"": 102.0}"
1004:6,45.0,0,"{""AMBER"": 3.0, ""GREEN"": 45.0, ""RED"": 102.0}"
1005:2,45.0,0,"{""AMBER"": 3.0, ""GREEN"": 45.0, ""RED"": 102.0}"
1005:6,45.0,0,"{""AMBER"": 3.0, ""GREEN"": 45.0, ""RED"": 102.0}"
108:4,31.0,0,"{""AMBER"": 3.0, ""GREEN"": 31.0, ""RED"": 116.0}"
108:8,31.0,0,"{""AMBER"": 3.0, ""GREEN"": 31.0, ""RED"": 116.0}"
16:4,63.0,0,"{""AMBER"": 3.0, ""GREEN"": 63.0, ""RED"": 84.0}"
16:8,63.0,0,"{""AMBER"": 3.0, ""GREEN"": 63.0, ""RED"": 84.0}"
5:1,25.0,0,"{""AMBER"": 3.0, ""GREEN"": 25.0, ""RED"": 122.0}"
5:5,25.0,0,"{""AMBER"": 3.0, ""GREEN"": 25.0, ""RED"": 122.0}"
109:7,20.0,0,"{""AMBER"": 3.0, ""GREEN"": 20.0, ""RED"": 127.0}"
7:1,48.0,0,"{""AMBER"": 5.0, ""GREEN"": 48.0, ""RED"": 97.0}"
11:2,34.0,0,"{""AMBER"": 3.0, ""GREEN"": 34.0, ""RED"": 113.0}"
11:6,34.0,0,"{""AMBER"": 3.0, ""GREEN"": 34.0, ""RED"": 113.0}"
101:3,27.0,0,"{""AMBER"": 3.0, ""GREEN"": 27.0, ""RED"": 120.0}"
101:7,27.0,0,"{""AMBER"": 3.0, ""GREEN"": 27.0, ""RED"": 120.0}"
1:3,21.0,0,"{""AMBER"": 3.0, ""GREEN"": 21.0, ""RED"": 126.0}"
1:7,21.0,0,"{""AMBER"": 3.0, ""GREEN"": 21.0, ""RED"": 126.0}"
107:3,25.0,0,"{""AMBER"": 3.0, ""GREEN"": 25.0, ""RED"": 122.0}"
107:7,25.0,0,"{""AMBER"": 3.0, ""GREEN"": 25.0, ""RED"": 122.0}"
6:3,21.0,0,"{""AMBER"": 3.0, ""GREEN"": 21.0, ""RED"": 126.0}"
6:7,21.0,0,"{""AMBER"": 3.0, ""GREEN"": 21.0, ""RED"": 126.0}"
1001:1,24.0,0,"{""AMBER"": 3.0, ""GREEN"": 24.0, ""RED"": 123.0}"
1001:5,24.0,0,"{""AMBER"": 3.0, ""GREEN"": 24.0, ""RED"": 123.0}"
1002:1,24.0,0,"{""AMBER"": 3.0, ""GREEN"": 24.0, ""RED"": 123.0}"
1002:5,24.0,0,"{""AMBER"": 3.0, ""GREEN"": 24.0, ""RED"": 123.0}"
1003:1,24.0,0,"{""AMBER"": 3.0, ""GREEN"": 24.0, ""RED"": 123.0}"
1003:5,24.0,0,"{""AMBER"": 3.0, ""GREEN"": 24.0, ""RED"": 123.0}"
1004:1,24.0,0,"{""AMBER"": 3.0, ""GREEN"": 24.0, ""RED"": 123.0}"
1004:5,24.0,0,"{""AMBER"": 3.0, ""GREEN"": 24.0, ""RED"": 123.0}"
1005:1,24.0,0,"{""AMBER"": 3.0, ""GREEN"": 24.0, ""RED"": 123.0}"
1005:5,24.0,0,"{""AMBER"": 3.0, ""GREEN"": 24.0, ""RED"": 123.0}"
