run,model_link,index,sim_sec,count,stopped_count,mean_speed_kph
reference,FW_E,16,1050.0,9.0,0.0,113.045738
reference,FW_E,17,900.0,6.0,0.0,118.42697
reference,FW_E,17,930.0,9.0,0.0,122.658515
reference,FW_E,17,960.0,8.0,0.0,112.375649
reference,FW_E,17,990.0,6.0,0.0,113.12673
reference,FW_E,17,1020.0,10.0,0.0,122.244804
reference,FW_E,17,1050.0,6.0,0.0,111.123285
reference,FW_E,18,900.0,7.0,0.0,117.761019
reference,FW_E,18,930.0,12.0,0.0,126.866457
reference,FW_E,18,960.0,14.0,0.0,119.542835
reference,FW_E,18,990.0,8.0,0.0,117.020989
reference,FW_E,18,1020.0,11.0,0.0,124.455802
reference,FW_E,18,1050.0,7.0,0.0,126.892121
reference,FW_E,19,900.0,16.0,0.0,114.996156
reference,FW_E,19,930.0,7.0,0.0,114.500012
reference,FW_E,19,960.0,9.0,0.0,122.862244
reference,FW_E,19,990.0,9.0,0.0,112.436196
reference,FW_E,19,1020.0,5.0,0.0,109.729857
reference,FW_E,19,1050.0,11.0,0.0,124.559419
reference,FW_E,20,900.0,17.0,0.0,111.945844
reference,FW_E,20,930.0,5.0,0.0,120.790991
reference,FW_E,20,960.0,11.0,0.0,122.429356
reference,FW_E,20,990.0,14.0,0.0,119.532173
reference,FW_E,20,1020.0,10.0,0.0,114.872416
reference,FW_E,20,1050.0,10.0,0.0,124.353593
reference,FW_W,0,900.0,35.0,0.0,78.117453
reference,FW_W,0,930.0,41.0,0.0,67.999101
reference,FW_W,0,960.0,39.0,0.0,69.059733
reference,FW_W,0,990.0,42.0,0.0,70.408478
reference,FW_W,0,1020.0,43.0,0.0,68.732793
reference,FW_W,0,1050.0,45.0,0.0,67.450133
reference,FW_W,1,900.0,24.0,0.0,92.124634
reference,FW_W,1,930.0,25.0,0.0,99.451847
reference,FW_W,1,960.0,32.0,0.0,95.534507
reference,FW_W,1,990.0,24.0,0.0,107.336281
reference,FW_W,1,1020.0,24.0,0.0,98.303592
reference,FW_W,1,1050.0,26.0,0.0,98.121932
reference,FW_W,2,900.0,23.0,0.0,115.547328
reference,FW_W,2,930.0,29.0,0.0,100.847896
reference,FW_W,2,960.0,21.0,0.0,112.930986
reference,FW_W,2,990.0,29.0,0.0,105.105655
reference,FW_W,2,1020.0,24.0,0.0,107.06754
reference,FW_W,2,1050.0,23.0,0.0,100.949005
reference,FW_W,3,900.0,26.0,0.0,114.276687
reference,FW_W,3,930.0,15.0,0.0,110.241819
reference,FW_W,3,960.0,29.0,0.0,110.433667
reference,FW_W,3,990.0,22.0,0.0,112.320102
reference,FW_W,3,1020.0,25.0,0.0,110.124937
reference,FW_W,3,1050.0,33.0,0.0,100.221151
reference,FW_W,4,900.0,51.0,2.0,63.015401
reference,FW_W,4,930.0,56.0,6.0,42.68375
reference,FW_W,4,960.0,44.0,0.0,70.695545
reference,FW_W,4,990.0,41.0,4.0,53.931512
reference,FW_W,4,1020.0,50.0,1.0,66.056628
reference,FW_W,4,1050.0,56.0,1.0,39.492326
reference,FW_W,5,900.0,37.0,0.0,69.990443
reference,FW_W,5,930.0,42.0,0.0,65.929409
reference,FW_W,5,960.0,46.0,0.0,60.156963
reference,FW_W,5,990.0,55.0,2.0,45.159123
reference,FW_W,5,1020.0,58.0,5.0,45.203813
reference,FW_W,5,1050.0,44.0,1.0,45.437864
reference,FW_W,6,900.0,25.0,0.0,94.136651
reference,FW_W,6,930.0,30.0,1.0,61.143975
reference,FW_W,6,960.0,25.0,0.0,90.649882
reference,FW_W,6,990.0,23.0,0.0,97.252655
reference,FW_W,6,1020.0,24.0,0.0,89.980816
reference,FW_W,6,1050.0,30.0,0.0,87.969364
reference,FW_W,7,900.0,13.0,0.0,81.129802
reference,FW_W,7,930.0,16.0,0.0,67.318711
reference,FW_W,7,960.0,30.0,0.0,76.593883
reference,FW_W,7,990.0,33.0,0.0,85.497108
reference,FW_W,7,1020.0,8.0,0.0,109.585958
reference,FW_W,7,1050.0,27.0,0.0,75.198702
reference,FW_W,8,900.0,18.0,0.0,109.024964
reference,FW_W,8,930.0,19.0,0.0,109.563376
reference,FW_W,8,960.0,11.0,0.0,105.73559
reference,FW_W,8,990.0,27.0,0.0,97.595866
reference,FW_W,8,1020.0,24.0,0.0,104.236198
reference,FW_W,8,1050.0,11.0,0.0,106.521125
reference,FW_W,9,900.0,16.0,0.0,113.937869
reference,FW_W,9,930.0,12.0,0.0,117.593011
reference,FW_W,9,960.0,10.0,0.0,119.910557
reference,FW_W,9,990.0,15.0,0.0,118.837574
reference,FW_W,9,1020.0,30.0,0.0,114.847262
reference,FW_W,9,1050.0,14.0,0.0,112.279747
reference,FW_W,10,900.0,15.0,0.0,110.847863
reference,FW_W,10,930.0,14.0,0.0,113.007913
reference,FW_W,10,960.0,16.0,0.0,116.02484
reference,FW_W,10,990.0,10.0,0.0,111.908219
reference,FW_W,10,1020.0,20.0,0.0,108.656764
reference,FW_W,10,1050.0,20.0,0.0,111.613079
