sim_sec,controller_mode,sc_no,control_name,sg1_state,sg2_state,phase_label
7,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
7,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
7,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
8,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
8,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
8,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
8,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
8,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
8,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
8,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
9,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
9,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
9,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
9,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
9,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
9,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
9,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
10,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
10,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
10,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
10,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
10,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
10,COM_FIXED_TIME,6,RM_D,GREEN,,RAMP_GREEN
10,COM_FIXED_TIME,7,RM_F,GREEN,,RAMP_GREEN
11,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
11,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
11,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
11,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
11,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
11,COM_FIXED_TIME,6,RM_D,GREEN,,RAMP_GREEN
11,COM_FIXED_TIME,7,RM_F,GREEN,,RAMP_GREEN
12,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
12,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
12,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
12,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
12,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
12,COM_FIXED_TIME,6,RM_D,AMBER,,RAMP_AMBER
12,COM_FIXED_TIME,7,RM_F,AMBER,,RAMP_AMBER
13,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
13,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
