sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,stopped_vehicles,controller_mode,phase_A,phase_B,phase_C,phase_D,phase_F,ramp_meter_D,ramp_meter_F
1,0,0,0,0,0,0,0.000,0,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_GREEN,RAMP_GREEN
5,0,0,0,0,0,0,0.000,0,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_RED,RAMP_RED
10,1,0,0,0,1,0,58.324,0,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_GREEN,RAMP_GREEN
15,3,0,1,0,2,0,55.896,0,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_RED,RAMP_RED
20,3,0,1,0,2,0,53.618,0,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_GREEN,RAMP_GREEN
25,3,0,1,0,2,0,56.878,0,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_RED,RAMP_RED
30,4,0,1,0,3,0,54.511,0,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_GREEN,RAMP_GREEN
35,5,0,2,0,3,0,54.176,0,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_RED,RAMP_RED
40,6,0,2,0,3,1,55.615,0,COM_FIXED_TIME,MAJOR_AMBER,MAJOR_AMBER,MAJOR_AMBER,MAJOR_AMBER,MAJOR_AMBER,RAMP_GREEN,RAMP_GREEN
45,7,1,2,0,3,1,53.994,0,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_RED,RAMP_RED
50,7,2,2,0,3,0,54.955,0,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_GREEN,RAMP_GREEN
55,8,2,1,0,4,1,54.393,0,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_RED,RAMP_RED
60,8,3,1,0,3,1,55.035,0,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_GREEN,RAMP_GREEN
65,9,3,2,0,3,1,55.725,0,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_RED,RAMP_RED
70,11,2,3,0,3,3,54.312,0,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_GREEN,RAMP_GREEN
75,11,1,3,0,4,3,55.227,0,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_RED,RAMP_RED
80,11,2,3,1,5,0,52.393,0,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_GREEN,RAMP_GREEN
85,14,2,3,1,8,0,49.962,0,COM_FIXED_TIME,MINOR_AMBER,MINOR_AMBER,MINOR_AMBER,MINOR_AMBER,MINOR_AMBER,RAMP_RED,RAMP_RED
90,14,2,3,1,8,0,50.131,1,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_GREEN,RAMP_GREEN
95,15,2,4,1,7,1,52.606,0,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_RED,RAMP_RED
100,15,2,4,1,7,1,51.054,0,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_GREEN,RAMP_GREEN
105,13,3,4,1,4,1,46.366,1,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_RED,RAMP_RED
110,14,4,4,1,5,0,45.366,2,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_GREEN,RAMP_GREEN
115,14,4,4,1,5,0,43.210,2,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_RED,RAMP_RED
120,15,4,5,1,4,1,43.206,3,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_GREEN,RAMP_GREEN
125,15,5,5,1,4,0,39.518,3,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_RED,RAMP_RED
130,16,5,4,1,5,1,37.458,4,COM_FIXED_TIME,MAJOR_AMBER,MAJOR_AMBER,MAJOR_AMBER,MAJOR_AMBER,MAJOR_AMBER,RAMP_GREEN,RAMP_GREEN
135,19,5,4,1,8,1,38.927,5,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_RED,RAMP_RED
140,20,3,4,0,7,6,46.664,0,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_GREEN,RAMP_GREEN
145,22,7,5,0,9,1,47.092,2,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_RED,RAMP_RED
150,22,7,5,0,9,1,45.918,3,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_GREEN,RAMP_GREEN
155,22,7,4,1,9,1,45.725,3,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_RED,RAMP_RED
160,25,6,4,1,12,2,44.818,3,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_GREEN,RAMP_GREEN
165,26,7,4,1,12,2,43.106,4,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_RED,RAMP_RED
170,26,8,4,1,12,1,39.159,6,COM_FIXED_TIME,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,MINOR_GREEN,RAMP_GREEN,RAMP_GREEN
175,26,7,4,0,13,2,38.281,7,COM_FIXED_TIME,MINOR_AMBER,MINOR_AMBER,MINOR_AMBER,MINOR_AMBER,MINOR_AMBER,RAMP_RED,RAMP_RED
180,25,7,3,0,13,2,30.591,9,COM_FIXED_TIME,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,MAJOR_GREEN,RAMP_GREEN,RAMP_GREEN
