sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
735,2400.000000,600.000000,10.000000,2.000000,120.000000,1896,727,22,72,920,155,3.360272,112.299050,1655
750,2400.000000,600.000000,10.000000,2.000000,120.000000,1894,726,18,75,901,174,3.246297,112.587690,1659
765,2400.000000,600.000000,10.000000,2.000000,120.000000,1912,725,17,80,908,182,2.918840,105.265905,1681
780,2400.000000,600.000000,10.000000,2.000000,120.000000,1934,731,18,88,925,172,2.732151,108.326776,1709
795,2400.000000,600.000000,10.000000,2.000000,120.000000,1949,726,16,95,940,172,2.253002,109.825353,1720
810,2400.000000,600.000000,10.000000,2.000000,120.000000,1953,729,15,69,956,184,3.201427,107.007692,1708
825,2400.000000,600.000000,10.000000,2.000000,120.000000,1951,729,18,72,954,178,3.502813,106.043692,1721
840,2400.000000,600.000000,10.000000,2.000000,120.000000,1935,726,14,67,946,182,2.828929,108.030515,1722
855,2400.000000,600.000000,10.000000,2.000000,120.000000,1934,726,13,70,948,177,2.323833,105.096345,1731
870,2400.000000,600.000000,10.000000,2.000000,120.000000,1936,724,18,73,941,180,2.249749,93.149225,1708
885,2400.000000,600.000000,10.000000,2.000000,120.000000,1955,722,21,77,952,183,2.382759,99.392530,1742
900,2400.000000,600.000000,10.000000,2.000000,120.000000,1968,727,16,78,968,179,2.074224,112.736071,1765
