case_id,returncode,elapsed_sec,timed_out,case_timeout_sec,state_csv,segment_csv,ramp_csv,signal_csv,urban_csv,stdout,stderr
rampD_bias_g10_seed13,0,156.994,False,2400.0,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed13\state.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed13\segments.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed13\ramps.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed13\signal_discharge.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed13\urban_production.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed13\stdout.txt,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed13\stderr.txt
rampD_bias_g10_seed29,0,143.339,False,2400.0,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed29\state.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed29\segments.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed29\ramps.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed29\signal_discharge.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed29\urban_production.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed29\stdout.txt,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g10_seed29\stderr.txt
rampD_bias_g1_seed13,0,153.787,False,2400.0,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed13\state.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed13\segments.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed13\ramps.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed13\signal_discharge.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed13\urban_production.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed13\stdout.txt,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed13\stderr.txt
rampD_bias_g1_seed29,0,154.079,False,2400.0,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed29\state.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed29\segments.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed29\ramps.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed29\signal_discharge.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed29\urban_production.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed29\stdout.txt,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g1_seed29\stderr.txt
rampD_bias_g2_seed13,0,156.879,False,2400.0,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed13\state.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed13\segments.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed13\ramps.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed13\signal_discharge.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed13\urban_production.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed13\stdout.txt,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed13\stderr.txt
rampD_bias_g2_seed29,0,141.6,False,2400.0,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed29\state.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed29\segments.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed29\ramps.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed29\signal_discharge.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed29\urban_production.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed29\stdout.txt,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g2_seed29\stderr.txt
rampD_bias_g4_seed13,0,150.196,False,2400.0,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed13\state.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed13\segments.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed13\ramps.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed13\signal_discharge.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed13\urban_production.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed13\stdout.txt,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed13\stderr.txt
rampD_bias_g4_seed29,0,144.245,False,2400.0,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed29\state.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed29\segments.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed29\ramps.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed29\signal_discharge.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed29\urban_production.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed29\stdout.txt,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g4_seed29\stderr.txt
rampD_bias_g6_seed13,0,152.798,False,2400.0,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed13\state.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed13\segments.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed13\ramps.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed13\signal_discharge.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed13\urban_production.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed13\stdout.txt,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed13\stderr.txt
rampD_bias_g6_seed29,0,140.384,False,2400.0,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed29\state.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed29\segments.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed29\ramps.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed29\signal_discharge.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed29\urban_production.csv,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed29\stdout.txt,evaluation\runs\calibration_rampD_bias_vector_20260626\rampD_bias_g6_seed29\stderr.txt
