candidate,score_relative_to_base,internal_storage_fraction,offramp_storage_fraction,total_model_vehicles,total_model_vehicles_delta_pct_vs_base,protected_accumulation_veh,protected_accumulation_veh_delta_pct_vs_base,urban_queue_plus_link_occupancy_total_veh,urban_queue_plus_link_occupancy_total_veh_delta_pct_vs_base,urban_link_occupancy_total_veh,urban_link_occupancy_total_veh_delta_pct_vs_base,urban_movement_queue_total_veh,urban_movement_queue_total_veh_delta_pct_vs_base,freeway_total_veh,freeway_total_veh_delta_pct_vs_base
int090_off020,0.9222007718877903,0.9,0.2,48.529711816358194,14.546618223565956,49.34303609311765,-2.405082406735487,53.07283084854478,4.5309736431879095,58.19211235117435,-47.42378375573559,63.584567901234564,-39.86897581350143,14.369683031912562,-0.3066665301024094
int095_off020,0.9230828458703362,0.95,0.2,49.2398007667987,16.22266955102231,49.64642072268001,-1.8050220888959845,53.658536854582536,5.684566132996996,54.16100528962473,-51.06586423724155,61.79637345679013,-41.5600459416506,14.371103158229147,-0.2968140423241971
int090_off010,0.9241930816370513,0.9,0.1,48.60528319176161,14.724992361037067,49.41455915862066,-2.2636179117130966,53.003292076930855,4.394011747872796,59.30162849150233,-46.42134273471965,63.637345679012356,-39.819064617486134,14.36787986664624,-0.3191764480872091
int085_off020,0.9244104378842011,0.85,0.2,47.93992495394119,13.154520722179525,49.161086743205,-2.7649575424560036,52.682410049284,3.7620102088886433,62.760406260576275,-43.29635825520339,65.49297839506173,-38.064219072206335,14.36842081539457,-0.3154234784609707
int090_off030,0.9248841228401682,0.9,0.3,48.447383429101755,14.352295240983429,50.040952759784304,-1.0246825577728351,53.15081236714369,4.68456417029924,57.17605770625106,-48.341782889451494,63.50401234567901,-39.94515606005106,14.372224464443011,-0.28903469506563934
int095_off030,0.9249559361767575,0.95,0.3,49.15747215969034,16.02834604951451,50.34433738934668,-0.4246222399333188,53.57196323769479,5.514052815346507,53.14495064750433,-51.98386336842505,61.715817901234566,-41.63622618820025,14.373644813414442,-0.27918066256276414
int085_off010,0.9252050241232115,0.85,0.1,48.0154961472117,13.332894429755074,48.98911587035514,-3.1050963845927217,52.612138096778885,3.6236042580900136,64.0549061332505,-42.12678556770291,65.5457561728395,-38.014307876191054,14.366617834034866,-0.3279321205467997
int095_off035,0.9258012530133194,0.95,0.35,49.10760806188456,15.9106498267132,50.68426794490223,0.24772176610372063,53.519524804375145,5.410771335847735,52.65427436591489,-52.427186376380064,61.70192901234567,-41.64936071346743,14.375189924392098,-0.2684610618867205
int090_off035,0.9262245989114808,0.9,0.35,48.39751945538955,14.234599311085145,50.38088331533986,-0.3523385517357956,53.198935405437936,4.779346151345642,56.685381422877235,-48.785105899018674,63.49012345679013,-39.95829058531823,14.373769449542735,-0.27831596769978845
int095_off010,0.9262518234055096,0.95,0.1,49.315372324157806,16.40104411797071,49.82258297263358,-1.4565931791949702,53.73734904089507,5.839792723297168,55.141616269858524,-50.17988823696955,61.8491512345679,-41.51013474563534,14.36929980922931,-0.30932523500702536
int085_off030,0.9266683948317411,0.85,0.3,47.85759678676622,12.9601982590641,49.85900340987166,-1.3845576934933377,52.76039156504964,3.9156007304196243,61.43046272396619,-44.49795407546687,65.41242283950616,-38.140399318755975,14.37096202504576,-0.29779318970579466
int100_off020,0.9269004091288748,1.0,0.2,50.05060294615496,18.13643833755466,50.057369193991285,-0.9922127166268211,54.494105358950556,7.330281801649073,50.36778024933934,-54.49301977298966,60.292746913580245,-42.982004240992275,14.372061376706833,-0.29016615774519444
int080_off020,0.9269142570426215,0.8,0.2,47.257733744622236,11.544317547987367,48.884498633275726,-3.3120173898655363,52.41146037259303,3.2283542297372847,67.70048596994397,-38.83302656694621,67.61265432098766,-36.05967160768049,14.369215810569777,-0.30990799708724326
int095_off040,0.9270483665725684,0.95,0.4,49.05796084719225,15.793465521792047,51.02419850045779,0.9200657721407741,53.54848093313259,5.467802631965907,52.16359140498428,-52.8705154190788,61.68804012345679,-41.66249523873461,14.376916195155584,-0.2564846190868798
