pair,start_s,end_s,delta_TTT,E,W,urban_ramps
VSL - NC,900,1800,22.019666944444477,22.616279722222227,1.6204413888888913,-2.2170541666666423
VSL - NC,1800,2700,31.442274999999952,40.35216388888888,-0.5578325000000051,-8.352056388888926
VSL - NC,2700,3600,40.383052500000005,34.261442222222215,11.10533361111111,-4.983723333333316
VSL - NC,3600,4500,18.186510277777778,14.638613055555558,8.345115833333344,-4.79721861111112
VSL - NC,4500,5400,-6.510838055555535,1.9388352777777835,-2.2202799999999985,-6.22939333333332
VSL - NC,5400,6300,2.3514975000000007,12.947998333333324,0.0733888888888895,-10.669889722222209
VSL - NC,6300,7200,38.271168888888866,42.284279999999995,4.8311111111111105,-8.84422222222225
VSL - NC,7200,8100,26.747556388888896,17.819162777777795,5.8014430555555485,3.1269505555555526
VSL - NC,8100,9000,7.710443888888863,-0.014997499999999997,6.768445277777774,0.9569961111110885
Both - RM,900,1800,22.019666944444477,22.616279722222227,1.6204413888888913,-2.2170541666666423
Both - RM,1800,2700,30.834775833333325,40.00244277777777,-0.3871094444444496,-8.7805575
Both - RM,2700,3600,43.76405555555554,50.895442500000016,7.165280277777778,-14.296667222222254
Both - RM,3600,4500,71.6986152777778,45.92416916666667,39.710892499999986,-13.936446388888868
Both - RM,4500,5400,70.02144222222225,25.81222472222221,81.16060611111114,-36.95138861111109
Both - RM,5400,6300,30.981441666666697,30.676941111111116,26.065276388888904,-25.760775833333327
Both - RM,6300,7200,28.891168888888906,42.23866444444444,11.726503055555566,-25.073998611111087
Both - RM,7200,8100,18.198501388888914,23.03566694444447,4.529666944444437,-9.366832499999987
Both - RM,8100,9000,-2.861890000000006,0.29477972222222215,5.689831666666667,-8.846501388888896
