arm,section,start_s,end_s,completed,mean_travel_s,median_travel_s
none,E_entry,900,8100,14300,80.69283111779782,79.77406342123595
none,E_entry,900,2700,3786,81.11661515464057,79.84580826451702
none,E_entry,2700,4500,3802,82.50703013810748,81.67871220398229
none,E_entry,4500,6300,3824,81.78864467620707,80.7123551466866
none,E_entry,6300,8100,2888,76.29794812400944,74.58686873356146
none,E_middle,900,8100,13634,62.0761133385177,51.530417469356735
none,E_middle,900,2700,3472,47.02710744661909,46.395216952264946
none,E_middle,2700,4500,3570,83.58699021046226,85.00517391791755
none,E_middle,4500,6300,3501,69.41204278359524,71.66306070133123
none,E_middle,6300,8100,3091,45.82675359623805,44.71288439896762
none,E_rear,900,8100,10757,41.57998960004373,37.55908813385872
none,E_rear,900,2700,2745,37.78569683053617,34.716281712912405
none,E_rear,2700,4500,2748,60.88917173741296,57.4647871286993
none,E_rear,4500,6300,2875,38.120228946457324,36.5934702960767
none,E_rear,6300,8100,2389,27.892468887556742,26.688348221736305
none,W_entry,900,8100,8555,212.05950829385282,197.38800391766495
none,W_entry,900,2700,2260,201.21726737157306,185.40758802648406
none,W_entry,2700,4500,2102,218.54949917023285,206.38470450578097
none,W_entry,4500,6300,2118,220.7045164128474,200.67254708814107
none,W_entry,6300,8100,2075,208.46981020526047,198.53419141592167
rm,E_entry,900,8100,14303,81.15035474268498,80.23439508850106
rm,E_entry,900,2700,3790,81.87418896667187,80.67135615982716
rm,E_entry,2700,4500,3793,83.04832847803779,81.99645065271397
rm,E_entry,4500,6300,3851,82.0054449308787,81.02586903984866
rm,E_entry,6300,8100,2869,76.53714512196784,74.34979446959005
rm,E_middle,900,8100,13624,47.29857571659462,46.71643830928633
rm,E_middle,900,2700,3444,46.94695381387082,46.2082673895693
rm,E_middle,2700,4500,3589,48.21182120217894,47.79157142735812
rm,E_middle,4500,6300,3538,48.04438727444745,47.678364345724276
rm,E_middle,6300,8100,3053,45.75735936989805,44.80780133899498
rm,E_rear,900,8100,10754,33.288245779734055,29.985084346973963
rm,E_rear,900,2700,2721,38.976057148601576,34.29478331775738
rm,E_rear,2700,4500,2851,36.697402837234215,34.62050700281634
rm,E_rear,4500,6300,2792,29.141737960770033,28.183597990740964
rm,E_rear,6300,8100,2390,27.589922903134074,26.784885034069703
rm,W_entry,900,8100,8672,213.64522360129948,195.02438960531413
rm,W_entry,900,2700,2266,201.1766193485457,184.66914353753054
rm,W_entry,2700,4500,2085,222.98019721000716,211.8581421724275
rm,W_entry,4500,6300,2200,209.5543682003715,187.44092350811934
rm,W_entry,6300,8100,2121,222.03292711125988,203.5230953861028
vsl,E_entry,900,8100,14295,128.39495444511886,134.01720525452902
vsl,E_entry,900,2700,3828,134.3686323214876,134.53935726723262
vsl,E_entry,2700,4500,3787,134.8632093288357,134.8104135235585
vsl,E_entry,4500,6300,3760,134.9171637494353,134.84810244650498
vsl,E_entry,6300,8100,2920,103.77645200004858,109.6399707524397
vsl,E_middle,900,8100,13641,52.283819683768165,50.15528356575851
vsl,E_middle,900,2700,3367,47.09550246509759,46.38992965563352
vsl,E_middle,2700,4500,3629,60.24371168827054,57.765060242063555
vsl,E_middle,4500,6300,3449,51.20525421233957,50.678371153325315
vsl,E_middle,6300,8100,3196,49.875367963455886,49.30786887031718
vsl,E_rear,900,8100,10765,37.43097362803239,34.4836084061526
vsl,E_rear,900,2700,2668,29.946113807720312,28.96972297607806
vsl,E_rear,2700,4500,2877,49.387621239868544,47.698227291354215
vsl,E_rear,4500,6300,2717,35.93026441773457,34.73901105184632
vsl,E_rear,6300,8100,2503,33.295039846857506,33.389135238284325
vsl,W_entry,900,8100,8418,235.32595659271,212.26565560969266
vsl,W_entry,900,2700,2193,223.19013632670632,201.38844037810827
vsl,W_entry,2700,4500,2070,250.53640629021982,224.98893645871908
vsl,W_entry,4500,6300,2124,230.6752939645402,205.35809914540278
vsl,W_entry,6300,8100,2031,237.79086569745343,216.011450061932
both,E_entry,900,8100,14306,128.41080636367056,134.13480311406
both,E_entry,900,2700,3807,134.35442099569852,134.49598374231027
both,E_entry,2700,4500,3738,134.4303612120925,134.60263527774327
both,E_entry,4500,6300,3771,135.091735412201,134.93956801075728
both,E_entry,6300,8100,2990,104.89166911633278,110.56794159457695
both,E_middle,900,8100,13621,51.14041655743954,49.057324669610125
both,E_middle,900,2700,3373,47.059081535798974,46.38992965563352
both,E_middle,2700,4500,3586,60.3425035661571,59.45650291936158
both,E_middle,4500,6300,3437,48.61868462534616,47.6194890270699
both,E_middle,6300,8100,3225,47.86440156994725,46.65153846359863
both,E_rear,900,8100,10746,33.98900561258968,30.57059817842901
both,E_rear,900,2700,2668,31.18409808579315,29.576781885273135
both,E_rear,2700,4500,2849,44.82169601240741,39.47012542896573
both,E_rear,4500,6300,2696,30.430760107561625,28.920368382897777
both,E_rear,6300,8100,2533,28.546521686007804,27.113326439815864
both,W_entry,900,8100,7997,293.0277923411251,234.6743533541403
both,W_entry,900,2700,2193,223.19469878435152,201.38844037810827
both,W_entry,2700,4500,2056,354.21461405010643,244.25592207182012
both,W_entry,4500,6300,1734,352.3940805015541,297.06049648704993
both,W_entry,6300,8100,2014,255.49190607804405,230.1556270062115
