arm,time_s,zone,command_kph,link,position_m,flow_vph_per_lane,occupancy_pct,speed_kph
vsl,900,FW_E__seg0,60.0,74,40.0,1632.0,17.453034872351424,48.5496049755414
vsl,900,FW_E__seg5,120.0,2,48.18555656496521,1842.0,8.51713519597671,108.70654233454016
vsl,900,FW_E__seg10,120.0,2,2652.0273490354593,1704.0,8.292388860703966,102.19396910666183
vsl,900,FW_E__seg15,120.0,24,652.704139739827,1920.0,9.175265171389578,106.40696320556707
vsl,900,FW_W__seg0,60.0,26,40.0,1440.0,42.164744131635864,26.655313083898182
vsl,900,FW_W__seg5,120.0,26,2694.4232696497,1504.0,8.679499396847246,91.52059878276333
vsl,900,FW_W__seg10,120.0,120,1569.2945392994002,1032.0,4.504151350261635,116.2299004038471
vsl,900,FW_W__seg15,120.0,120,4263.717808949101,810.0,3.397753407201825,121.47888053325381
vsl,1050,FW_E__seg0,60.0,74,40.0,1956.0,30.571832420906652,33.93399034162356
vsl,1050,FW_E__seg5,120.0,2,48.18555656496521,1110.0,6.8281249981715755,88.18029210804993
vsl,1050,FW_E__seg10,120.0,2,2652.0273490354593,1584.0,9.422636976767604,89.39754438354808
vsl,1050,FW_E__seg15,120.0,24,652.704139739827,2104.0,9.883524808485406,106.14217971635391
vsl,1050,FW_W__seg0,60.0,26,40.0,1448.0,40.253497858868464,27.402364443561368
vsl,1050,FW_W__seg5,120.0,26,2694.4232696497,1272.0,9.314189865973951,70.73172424256524
vsl,1050,FW_W__seg10,120.0,120,1569.2945392994002,924.0,3.84579251006415,116.54688932561996
vsl,1050,FW_W__seg15,120.0,120,4263.717808949101,888.0,3.599456504639488,118.8235163066965
vsl,1200,FW_E__seg0,60.0,74,40.0,1938.0,31.820528579755425,32.638598349547046
vsl,1200,FW_E__seg5,80.0,2,48.18555656496521,1632.0,12.94286202062207,60.884430883940375
vsl,1200,FW_E__seg10,120.0,2,2652.0273490354593,918.0,4.580103418350775,107.3989181331616
vsl,1200,FW_E__seg15,120.0,24,652.704139739827,1912.0,9.036640631614185,110.14405811171147
vsl,1200,FW_W__seg0,60.0,26,40.0,1536.0,37.56325672244573,29.151869141941564
vsl,1200,FW_W__seg5,120.0,26,2694.4232696497,1376.0,11.278279686877317,61.20354422984541
vsl,1200,FW_W__seg10,120.0,120,1569.2945392994002,1032.0,4.5755823759173255,112.16834528888968
vsl,1200,FW_W__seg15,120.0,120,4263.717808949101,576.0,2.3312560114814627,121.0002921312312
vsl,1350,FW_E__seg0,60.0,74,40.0,1860.0,31.9729133226342,31.877301246175204
vsl,1350,FW_E__seg5,80.0,2,48.18555656496521,1944.0,15.5574151859766,60.797129693657645
vsl,1350,FW_E__seg10,120.0,2,2652.0273490354593,1500.0,8.010047828643467,90.9329094363551
vsl,1350,FW_E__seg15,120.0,24,652.704139739827,1688.0,7.6367950754322935,112.16276754386855
vsl,1350,FW_W__seg0,60.0,26,40.0,1440.0,43.587508106537435,27.132201142243513
vsl,1350,FW_W__seg5,120.0,26,2694.4232696497,1520.0,11.627273140810983,61.33453339759021
vsl,1350,FW_W__seg10,120.0,120,1569.2945392994002,1236.0,5.271445533148325,114.70466411751853
vsl,1350,FW_W__seg15,120.0,120,4263.717808949101,882.0,3.9944638313847474,116.67334616539995
vsl,1500,FW_E__seg0,60.0,74,40.0,1920.0,31.511356220487674,32.039028343523846
vsl,1500,FW_E__seg5,80.0,2,48.18555656496521,1866.0,15.091341764194926,60.6592810252389
vsl,1500,FW_E__seg10,120.0,2,2652.0273490354593,1764.0,10.27853815962313,82.79843534832094
vsl,1500,FW_E__seg15,120.0,24,652.704139739827,2000.0,8.866475309266656,109.64972697736543
vsl,1500,FW_W__seg0,60.0,26,40.0,1536.0,39.87317021559653,28.319021355885308
vsl,1500,FW_W__seg5,120.0,26,2694.4232696497,1488.0,11.874057481099868,61.924932902649694
vsl,1500,FW_W__seg10,120.0,120,1569.2945392994002,1158.0,4.891419610343918,113.64634126006001
vsl,1500,FW_W__seg15,120.0,120,4263.717808949101,990.0,4.043919503609949,116.75985411099643
vsl,1650,FW_E__seg0,60.0,74,40.0,1944.0,31.421498399213526,33.152115514693484
vsl,1650,FW_E__seg5,80.0,2,48.18555656496521,1968.0,15.983882399035476,60.49286914786092
vsl,1650,FW_E__seg10,120.0,2,2652.0273490354593,1782.0,10.89182795114016,81.07217218442264
vsl,1650,FW_E__seg15,120.0,24,652.704139739827,2296.0,11.169759597909,101.55227709502867
vsl,1650,FW_W__seg0,60.0,26,40.0,1552.0,36.11022445567941,26.878100464068442
vsl,1650,FW_W__seg5,120.0,26,2694.4232696497,1432.0,11.10683183109885,61.22363153706167
vsl,1650,FW_W__seg10,120.0,120,1569.2945392994002,1290.0,5.980628942324148,111.13283625207644
vsl,1650,FW_W__seg15,120.0,120,4263.717808949101,1116.0,5.015521837824692,114.04209806571163
vsl,1800,FW_E__seg0,60.0,74,40.0,1998.0,29.8278207414252,34.21019356784245
vsl,1800,FW_E__seg5,80.0,2,48.18555656496521,1872.0,14.981649958897126,60.53621134626574
vsl,1800,FW_E__seg10,120.0,2,2652.0273490354593,1734.0,10.65759032836312,81.8010522850646
vsl,1800,FW_E__seg15,120.0,24,652.704139739827,2112.0,10.144380043603016,105.1317638688281
vsl,1800,FW_W__seg0,60.0,26,40.0,1368.0,41.675211621697265,25.956099379589777
vsl,1800,FW_W__seg5,120.0,26,2694.4232696497,1456.0,11.369398893705503,61.61585110777333
vsl,1800,FW_W__seg10,120.0,120,1569.2945392994002,1260.0,5.366648792722358,113.94305462953899
vsl,1800,FW_W__seg15,120.0,120,4263.717808949101,1026.0,4.351369362661163,114.68709886416613
vsl,1950,FW_E__seg0,60.0,74,40.0,1896.0,31.907049435856372,30.781853543225385
vsl,1950,FW_E__seg5,80.0,2,48.18555656496521,2040.0,16.3120903351204,60.72384950543873
vsl,1950,FW_E__seg10,120.0,2,2652.0273490354593,1764.0,10.282138073593117,82.50422946647397
vsl,1950,FW_E__seg15,120.0,24,652.704139739827,2320.0,11.781715644698167,98.07426934022783
