pair,region,delta_TTT,delta_under30_veh_h,delta_30to80_veh_h,delta_over80_veh_h
VSL - NC,E 입구 VSL 구간,215.38388888888886,1.9180555555555578,483.2832777777778,-269.8174444444444
VSL - NC,E 첫 진출부 상류,26.459888888888894,-28.40416666666667,78.19166666666666,-23.32761111111111
VSL - NC,E 앞 램프군,3.681388888888894,-7.873611111111103,18.931277777777773,-7.376277777777773
VSL - NC,E 두 램프군 사이,-44.476166666666686,-27.02844444444444,-50.361833333333365,32.91411111111114
VSL - NC,E 뒤 램프군,-16.551277777777777,-10.740277777777784,-15.005555555555567,9.194555555555553
VSL - NC,E 하류,2.3460555555555445,-0.2666666666666666,0.8972222222222257,1.71550000000002
VSL - NC,W 입구 VSL 구간,59.22477777777778,14.277111111111083,111.83044444444448,-66.88277777777778
VSL - NC,W 앞 램프군,-16.966055555555556,-7.6276666666666655,-18.20938888888889,8.87100000000001
VSL - NC,W 두 램프군 사이,-2.3876111111111116,0.029166666666666535,-0.4236111111111116,-1.9931666666666388
VSL - NC,W 뒤 램프군,-1.046722222222224,0.002777777777777778,-0.04305555555555546,-1.0064444444444405
VSL - NC,W 하류,-3.0572222222222263,0.006944444444444444,-0.029166666666666674,-3.0349999999999966
VSL - NC,도시·램프 등,-42.00961111111114,-41.553333333333285,0.09750000000008185,-0.5537777777777961
Both - RM,E 입구 VSL 구간,214.62694444444443,3.311111111111117,480.0395555555556,-268.72372222222225
Both - RM,E 첫 진출부 상류,38.7672777777778,-16.87361111111111,84.27361111111111,-28.632722222222185
Both - RM,E 앞 램프군,1.9105000000000014,-8.593055555555551,16.307666666666677,-5.804111111111112
Both - RM,E 두 램프군 사이,20.0678888888889,3.909722222222225,29.859833333333363,-13.701666666666682
Both - RM,E 뒤 램프군,3.3722222222222173,-1.3513888888888888,8.174999999999997,-3.4513888888888857
Both - RM,E 하류,2.7517777777777708,-0.12083333333333346,2.1902222222222285,0.6823888888889087
Both - RM,W 입구 VSL 구간,161.43872222222217,168.71022222222223,57.66972222222222,-64.94122222222222
Both - RM,W 앞 램프군,17.35305555555556,22.80000000000002,6.420611111111114,-11.867555555555555
Both - RM,W 두 램프군 사이,10.663277777777775,-0.07777777777777783,40.93605555555556,-30.194999999999993
Both - RM,W 뒤 램프군,-2.9032777777777783,0.001388888888888889,0.019444444444444264,-2.9241111111111167
Both - RM,W 하류,-9.270388888888881,-0.005555555555555555,0.012500000000000067,-9.27733333333336
Both - RM,도시·램프 등,-145.23022222222215,-143.69116666666628,1.479222222222461,-3.0182777777777687
