sim_sec,site,link,green_sec,cycle_sec,interval_sec,passage_count,release_rate_vph,queue_count,presence_count,downstream_count,mean_speed_kph
645,D,25,10.000000,10,15.000000,0,0.000000,2,0,1,38.542780
645,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,53.559864
660,D,25,10.000000,10,15.000000,2,480.000000,1,1,1,51.130004
660,F,31,10.000000,10,15.000000,0,0.000000,4,0,0,51.729093
675,D,25,10.000000,10,15.000000,1,240.000000,0,0,0,0.000000
675,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
690,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
690,F,31,10.000000,10,15.000000,0,0.000000,2,0,0,53.483909
705,D,25,10.000000,10,15.000000,0,0.000000,7,1,0,49.304047
705,F,31,10.000000,10,15.000000,0,0.000000,9,0,0,52.156688
720,D,25,10.000000,10,15.000000,2,480.000000,8,1,1,37.199137
720,F,31,10.000000,10,15.000000,0,0.000000,8,1,0,48.431744
735,D,25,10.000000,10,15.000000,1,240.000000,2,0,3,21.777477
735,F,31,10.000000,10,15.000000,1,240.000000,4,0,0,53.066175
750,D,25,10.000000,10,15.000000,0,0.000000,3,0,0,52.704235
750,F,31,10.000000,10,15.000000,0,0.000000,1,0,0,59.837408
765,D,25,10.000000,10,15.000000,3,720.000000,2,0,0,49.972689
765,F,31,10.000000,10,15.000000,0,0.000000,5,0,0,51.947991
780,D,25,10.000000,10,15.000000,0,0.000000,1,0,0,52.984103
780,F,31,10.000000,10,15.000000,0,0.000000,1,0,0,52.532989
795,D,25,10.000000,10,15.000000,0,0.000000,2,0,0,53.340553
795,F,31,10.000000,10,15.000000,0,0.000000,5,0,0,52.299886
810,D,25,10.000000,10,15.000000,3,720.000000,5,1,1,49.920176
810,F,31,10.000000,10,15.000000,1,240.000000,12,1,0,48.445939
825,D,25,10.000000,10,15.000000,3,720.000000,3,1,0,53.524931
825,F,31,10.000000,10,15.000000,0,0.000000,10,1,0,47.007457
840,D,25,10.000000,10,15.000000,1,240.000000,0,0,0,49.710210
840,F,31,10.000000,10,15.000000,0,0.000000,5,0,0,51.627968
855,D,25,10.000000,10,15.000000,0,0.000000,1,0,0,54.939549
855,F,31,10.000000,10,15.000000,0,0.000000,6,0,0,48.351311
870,D,25,10.000000,10,15.000000,1,240.000000,1,0,0,49.034484
870,F,31,10.000000,10,15.000000,0,0.000000,1,0,0,52.654802
885,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
885,F,31,10.000000,10,15.000000,0,0.000000,1,0,0,53.658189
900,D,25,10.000000,10,15.000000,0,0.000000,4,0,0,53.602885
900,F,31,10.000000,10,15.000000,0,0.000000,10,0,0,53.993333
