time_s,vehicle,connector,kind,other_link,lane,position_m,speed_kmh,residence_s,lower_time_s,upper_time_s
150.1,82,10479,departure,125,1,249.26,110.72,10.0,145.1,150.1
150.1,210,10490,arrival,,1,22.51,42.66,,145.1,150.1
150.1,20,10643,departure,71,2,310.93,95.7,10.0,145.1,150.1
150.1,86,10491,arrival,,1,56.12,119.08,,145.1,150.1
150.1,91,10479,departure,125,1,186.18,117.36,10.0,145.1,150.1
150.1,98,10479,arrival,,1,110.02,118.74,,145.1,150.1
150.1,100,10482,departure,120,1,506.55,86.22,40.0,145.1,150.1
150.1,108,10479,arrival,,1,145.24,117.3,,145.1,150.1
150.1,109,10491,arrival,,1,91.67,119.62,,145.1,150.1
150.1,114,10682,arrival,,1,29.72,132.58,,145.1,150.1
150.1,54,10490,departure,119,1,305.17,57.97,25.0,145.1,150.1
150.1,245,10482,arrival,,1,53.15,42.66,,145.1,150.1
150.1,184,10490,arrival,,1,48.26,42.38,,145.1,150.1
155.1,66,10682,departure,121,1,96.61,131.22,5.0,150.1,155.1
155.1,67,10490,departure,119,1,357.06,74.6,30.0,150.1,155.1
155.1,133,10479,arrival,,1,131.18,120.17,,150.1,155.1
155.1,74,10491,arrival,,1,146.49,119.16,,150.1,155.1
155.1,416,10482,arrival,,2,8.52,42.19,,150.1,155.1
155.1,98,10479,departure,125,1,110.02,118.74,5.0,150.1,155.1
155.1,108,10479,departure,125,1,145.24,117.3,5.0,150.1,155.1
155.1,109,10491,departure,129,1,91.67,119.62,5.0,150.1,155.1
155.1,172,10482,departure,120,2,435.75,65.34,40.0,150.1,155.1
155.1,181,10643,departure,10641,2,203.62,129.91,10.0,150.1,155.1
155.1,127,10682,arrival,,1,56.65,131.81,,150.1,155.1
160.1,128,10491,arrival,,1,23.67,115.17,,155.1,160.1
160.1,133,10479,departure,125,1,131.18,120.17,5.0,155.1,160.1
160.1,74,10491,departure,127,1,146.49,119.16,5.0,155.1,160.1
160.1,527,10482,arrival,,2,42.42,42.13,,155.1,160.1
160.1,86,10491,departure,127,1,220.94,115.87,10.0,155.1,160.1
160.1,236,10482,arrival,,1,40.39,30.84,,155.1,160.1
160.1,114,10682,departure,123,1,214.58,131.73,10.0,155.1,160.1
160.1,436,10482,arrival,,2,4.9,41.24,,155.1,160.1
160.1,189,10482,departure,120,1,431.48,64.4,40.0,155.1,160.1
160.1,127,10682,departure,121,1,56.65,131.81,5.0,155.1,160.1
165.1,221,10482,departure,120,2,451.76,77.11,35.0,160.1,165.1
165.1,427,10482,arrival,,1,18.68,44.75,,160.1,165.1
165.1,188,10491,arrival,,1,9.14,119.61,,160.1,165.1
170.1,128,10491,departure,127,1,184.34,113.63,10.0,165.1,170.1
170.1,198,10482,departure,120,1,456.31,71.55,40.0,165.1,170.1
170.1,7,10639,arrival,,1,43.19,44.91,,165.1,170.1
170.1,520,10482,arrival,,1,45.73,44.51,,165.1,170.1
170.1,459,10482,arrival,,2,54.99,40.01,,165.1,170.1
170.1,467,10482,arrival,,1,13.08,42.67,,165.1,170.1
170.1,165,10490,departure,119,1,297.49,52.15,30.0,165.1,170.1
175.1,136,10482,departure,120,2,477.89,52.92,50.0,170.1,175.1
175.1,166,10479,arrival,,1,21.86,110.94,,170.1,175.1
175.1,297,10482,departure,120,1,487.76,76.04,45.0,170.1,175.1
175.1,171,10490,departure,119,1,367.69,75.62,30.0,170.1,175.1
175.1,489,10482,arrival,,1,46.32,41.48,,170.1,175.1
175.1,178,10490,arrival,,1,19.32,32.6,,170.1,175.1
175.1,370,10482,arrival,,2,41.31,30.29,,170.1,175.1
175.1,184,10490,departure,119,1,284.09,46.57,25.0,170.1,175.1
175.1,188,10491,departure,129,1,161.52,92.12,10.0,170.1,175.1
180.1,509,10482,arrival,,2,45.27,34.59,,175.1,180.1
180.1,581,10482,arrival,,2,2.95,37.44,,175.1,180.1
180.1,210,10490,departure,119,1,328.77,62.34,30.0,175.1,180.1
180.1,150,10491,arrival,,1,81.78,104.39,,175.1,180.1
180.1,423,10482,arrival,,1,28.53,30.51,,175.1,180.1
180.1,240,10490,arrival,,1,42.7,35.92,,175.1,180.1
180.1,569,10482,arrival,,2,21.8,37.66,,175.1,180.1
185.1,643,10482,arrival,,2,20.54,41.21,,180.1,185.1
185.1,452,10482,arrival,,1,40.11,30.41,,180.1,185.1
185.1,637,10482,arrival,,2,39.4,39.83,,180.1,185.1
185.1,524,10482,arrival,,1,0.18,30.58,,180.1,185.1
185.1,83,10643,arrival,,2,44.99,98.12,,180.1,185.1
185.1,222,10482,departure,120,1,458.55,77.4,40.0,180.1,185.1
185.1,166,10479,departure,125,1,184.47,123.04,10.0,180.1,185.1
185.1,360,10490,arrival,,1,16.56,42.29,,180.1,185.1
185.1,361,10482,departure,120,2,426.11,61.71,40.0,180.1,185.1
185.1,490,10482,arrival,,1,17.27,34.11,,180.1,185.1
185.1,871,10484,arrival,,1,26.71,40.99,,180.1,185.1
185.1,176,10491,arrival,,1,117.44,98.69,,180.1,185.1
185.1,316,10644,arrival,,1,10.2,41.08,,180.1,185.1
190.1,577,10482,arrival,,2,53.15,41.0,,185.1,190.1
190.1,200,10479,arrival,,1,125.81,107.77,,185.1,190.1
190.1,150,10491,departure,127,1,210.7,79.94,10.0,185.1,190.1
190.1,535,10482,arrival,,1,2.74,32.02,,185.1,190.1
190.1,727,10482,arrival,,2,5.62,41.96,,185.1,190.1
190.1,418,10490,arrival,,1,34.52,41.61,,185.1,190.1
190.1,684,10482,arrival,,2,29.21,40.54,,185.1,190.1
190.1,176,10491,departure,129,1,117.44,98.69,5.0,185.1,190.1
190.1,245,10482,departure,120,1,526.55,93.1,40.0,185.1,190.1
190.1,374,10490,arrival,,1,52.77,42.94,,185.1,190.1
190.1,381,10482,departure,120,2,505.59,76.42,45.0,185.1,190.1
195.1,4,10645,arrival,,1,17.83,112.42,,190.1,195.1
195.1,406,10643,arrival,,2,77.98,118.53,,190.1,195.1
195.1,416,10482,departure,120,1,427.9,66.15,40.0,190.1,195.1
195.1,806,10482,arrival,,2,5.4,40.94,,190.1,195.1
195.1,949,10484,arrival,,1,31.39,41.82,,190.1,195.1
195.1,704,10482,arrival,,1,24.2,35.22,,190.1,195.1
195.1,195,10491,arrival,,1,10.77,107.01,,190.1,195.1
195.1,200,10479,departure,125,1,125.81,107.77,5.0,190.1,195.1
