window_start_s,window_end_s,connector,kind,road,start_n_veh,end_n_veh,arrivals_veh,departures_veh,unresolved_absences_veh,stopped_veh,mean_speed_kmh,conservation_residual_veh
0,30.1,10480,ramp,FW_W,0,0,0,0,0,0,,0
0,30.1,10482,ramp,FW_W,0,0,0,0,0,0,,0
0,30.1,10646,ramp,FW_W,0,0,0,0,0,0,,0
0,30.1,10644,ramp,FW_W,0,0,0,0,0,0,,0
0,30.1,10639,ramp,FW_E,0,0,0,0,0,0,,0
0,30.1,10681,ramp,FW_E,0,0,0,0,0,0,,0
0,30.1,10490,ramp,FW_E,0,0,0,0,0,0,,0
0,30.1,10484,ramp,FW_E,0,0,0,0,0,0,,0
0,30.1,10481,offramp,FW_E,0,0,0,0,0,0,,0
0,30.1,10483,offramp,FW_E,0,0,0,0,0,0,,0
0,30.1,10491,offramp,FW_W,0,0,0,0,0,0,,0
0,30.1,10479,offramp,FW_W,0,0,0,0,0,0,,0
0,30.1,10643,offramp,FW_E,0,0,0,0,0,0,,0
0,30.1,10682,offramp,FW_E,0,0,0,0,0,0,,0
0,30.1,10638,offramp,FW_W,0,0,0,0,0,0,,0
0,30.1,10645,offramp,FW_W,0,0,0,0,0,0,,0
30.1,60.1,10480,ramp,FW_W,0,0,0,0,0,0,,0
30.1,60.1,10482,ramp,FW_W,0,0,0,0,0,0,,0
30.1,60.1,10646,ramp,FW_W,0,0,0,0,0,0,,0
30.1,60.1,10644,ramp,FW_W,0,0,0,0,0,0,,0
30.1,60.1,10639,ramp,FW_E,0,0,0,0,0,0,,0
30.1,60.1,10681,ramp,FW_E,0,0,0,0,0,0,,0
30.1,60.1,10490,ramp,FW_E,0,0,0,0,0,0,,0
30.1,60.1,10484,ramp,FW_E,0,0,0,0,0,0,,0
30.1,60.1,10481,offramp,FW_E,0,0,0,0,0,0,,0
30.1,60.1,10483,offramp,FW_E,0,0,0,0,0,0,,0
30.1,60.1,10491,offramp,FW_W,0,0,0,0,0,0,,0
30.1,60.1,10479,offramp,FW_W,0,0,0,0,0,0,,0
30.1,60.1,10643,offramp,FW_E,0,0,0,0,0,0,,0
30.1,60.1,10682,offramp,FW_E,0,0,0,0,0,0,,0
30.1,60.1,10638,offramp,FW_W,0,0,0,0,0,0,,0
30.1,60.1,10645,offramp,FW_W,0,0,0,0,0,0,,0
60.099999999999994,90.1,10480,ramp,FW_W,0,0,0,0,0,0,,0
60.099999999999994,90.1,10482,ramp,FW_W,0,2,2,0,0,0,43.675,0
60.099999999999994,90.1,10646,ramp,FW_W,0,0,0,0,0,0,,0
60.099999999999994,90.1,10644,ramp,FW_W,0,0,0,0,0,0,,0
60.099999999999994,90.1,10639,ramp,FW_E,0,0,0,0,0,0,,0
60.099999999999994,90.1,10681,ramp,FW_E,0,0,0,0,0,0,,0
60.099999999999994,90.1,10490,ramp,FW_E,0,0,0,0,0,0,,0
60.099999999999994,90.1,10484,ramp,FW_E,0,0,0,0,0,0,,0
60.099999999999994,90.1,10481,offramp,FW_E,0,0,0,0,0,0,,0
60.099999999999994,90.1,10483,offramp,FW_E,0,0,0,0,0,0,,0
60.099999999999994,90.1,10491,offramp,FW_W,0,0,0,0,0,0,,0
60.099999999999994,90.1,10479,offramp,FW_W,0,0,0,0,0,0,,0
60.099999999999994,90.1,10643,offramp,FW_E,0,0,0,0,0,0,,0
60.099999999999994,90.1,10682,offramp,FW_E,0,0,0,0,0,0,,0
60.099999999999994,90.1,10638,offramp,FW_W,0,0,0,0,0,0,,0
60.099999999999994,90.1,10645,offramp,FW_W,0,0,0,0,0,0,,0
90.1,120.1,10480,ramp,FW_W,0,0,0,0,0,0,,0
90.1,120.1,10482,ramp,FW_W,2,10,8,0,0,0,44.344,0
90.1,120.1,10646,ramp,FW_W,0,0,0,0,0,0,,0
90.1,120.1,10644,ramp,FW_W,0,0,0,0,0,0,,0
90.1,120.1,10639,ramp,FW_E,0,0,0,0,0,0,,0
90.1,120.1,10681,ramp,FW_E,0,0,0,0,0,0,,0
90.1,120.1,10490,ramp,FW_E,0,0,0,0,0,0,,0
90.1,120.1,10484,ramp,FW_E,0,1,1,0,0,0,40.48,0
90.1,120.1,10481,offramp,FW_E,0,0,0,0,0,0,,0
90.1,120.1,10483,offramp,FW_E,0,0,0,0,0,0,,0
90.1,120.1,10491,offramp,FW_W,0,0,0,0,0,0,,0
90.1,120.1,10479,offramp,FW_W,0,2,2,0,0,0,118.88,0
90.1,120.1,10643,offramp,FW_E,0,0,0,0,0,0,,0
90.1,120.1,10682,offramp,FW_E,0,0,0,0,0,0,,0
90.1,120.1,10638,offramp,FW_W,0,0,0,0,0,0,,0
90.1,120.1,10645,offramp,FW_W,0,0,0,0,0,0,,0
120.1,150.1,10480,ramp,FW_W,0,0,0,0,0,0,,0
120.1,150.1,10482,ramp,FW_W,10,10,8,8,0,0,43.049,0
120.1,150.1,10646,ramp,FW_W,0,0,0,0,0,0,,0
120.1,150.1,10644,ramp,FW_W,0,0,0,0,0,0,,0
120.1,150.1,10639,ramp,FW_E,0,0,0,0,0,0,,0
120.1,150.1,10681,ramp,FW_E,0,0,0,0,0,0,,0
120.1,150.1,10490,ramp,FW_E,0,5,6,1,0,0,48.976,0
120.1,150.1,10484,ramp,FW_E,1,0,0,1,0,0,,0
120.1,150.1,10481,offramp,FW_E,0,0,0,0,0,0,,0
120.1,150.1,10483,offramp,FW_E,0,0,0,0,0,0,,0
120.1,150.1,10491,offramp,FW_W,0,2,3,1,0,0,119.35,0
120.1,150.1,10479,offramp,FW_W,2,2,7,7,0,0,118.02,0
120.1,150.1,10643,offramp,FW_E,0,1,2,1,0,0,129.91,0
120.1,150.1,10682,offramp,FW_E,0,2,2,0,0,0,131.9,0
120.1,150.1,10638,offramp,FW_W,0,0,0,0,0,0,,0
120.1,150.1,10645,offramp,FW_W,0,0,0,0,0,0,,0
150.1,180.1,10480,ramp,FW_W,0,0,0,0,0,0,,0
150.1,180.1,10482,ramp,FW_W,10,18,14,6,0,0,43.83111111111111,0
150.1,180.1,10646,ramp,FW_W,0,0,0,0,0,0,,0
150.1,180.1,10644,ramp,FW_W,0,0,0,0,0,0,,0
150.1,180.1,10639,ramp,FW_E,0,1,1,0,0,0,44.91,0
150.1,180.1,10681,ramp,FW_E,0,0,0,0,0,0,,0
150.1,180.1,10490,ramp,FW_E,5,2,2,5,0,0,34.260000000000005,0
150.1,180.1,10484,ramp,FW_E,0,0,0,0,0,0,,0
150.1,180.1,10481,offramp,FW_E,0,0,0,0,0,0,,0
150.1,180.1,10483,offramp,FW_E,0,0,0,0,0,0,,0
150.1,180.1,10491,offramp,FW_W,2,1,4,5,0,0,104.39,0
150.1,180.1,10479,offramp,FW_W,2,1,2,3,0,0,123.04,0
150.1,180.1,10643,offramp,FW_E,1,0,0,1,0,0,,0
150.1,180.1,10682,offramp,FW_E,2,0,1,3,0,0,,0
150.1,180.1,10638,offramp,FW_W,0,0,0,0,0,0,,0
150.1,180.1,10645,offramp,FW_W,0,0,0,0,0,0,,0
180.1,210.1,10480,ramp,FW_W,0,0,0,0,0,0,,0
180.1,210.1,10482,ramp,FW_W,18,35,26,9,0,0,39.88971428571429,0
180.1,210.1,10646,ramp,FW_W,0,0,0,0,0,0,,0
180.1,210.1,10644,ramp,FW_W,0,1,1,0,0,0,41.08,0
