meter,native_entry_150,native_merge_150,model_merge_150,model_minus_native,native_pair_merge_150,native_stop_lt5_veh_sec,native_pair_stop_lt5_veh_sec
RM_C10480,5,6,3.540089231702485,-2.459910768297515,6,0,0
RM_C10482,12,10,24.764047418195176,14.764047418195176,10,0,0
RM_C10646,21,20,10.42301107399473,-9.57698892600527,20,0,0
RM_C10644,21,20,26.944444444444446,6.944444444444446,20,17,54
RM_C10639,1,1,1.0,0.0,1,0,0
RM_C10681,7,7,1.808031892069843,-5.1919681079301565,7,0,0
RM_C10490,9,9,13.49344828388972,4.49344828388972,9,0,0
RM_C10484,15,17,16.51020453917519,-0.4897954608248085,17,0,0
