controller,category,case_count,scenarios,mean_vehicle_hours_total_pct_vs_no_control,max_vehicle_hours_total_pct_vs_no_control,mean_stopped_vehicle_hours_pct_vs_no_control,max_stopped_vehicle_hours_pct_vs_no_control,mean_mean_speed_kph_pct_vs_no_control,max_mean_speed_kph_pct_vs_no_control,mean_prediction_total_abs_error_mean_veh_pct_vs_no_control,max_prediction_total_abs_error_mean_veh_pct_vs_no_control,mean_mean_decision_wall_sec,max_mean_decision_wall_sec,mean_mean_signal_split_abs_sec,max_mean_signal_split_abs_sec,mean_mean_signal_offset_abs_sec,max_mean_signal_offset_abs_sec,mean_vsl_mean_abs_step_kph,max_vsl_mean_abs_step_kph,mean_ramp_green_abs_step_sec,max_ramp_green_abs_step_sec,mean_controller_error_count,max_controller_error_count,mean_fallback_state_rows,max_fallback_state_rows
no-control,4_symmetric_high,1,sym_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3769943333333333,0.3769943333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfo,4_symmetric_high,1,sym_high,-0.13856342333164126,-0.13856342333164126,-2.5425155750126276,-2.5425155750126276,0.6492539461008388,0.6492539461008388,0.7630616316944052,0.7630616316944052,33.499710666666665,33.499710666666665,4.8,4.8,7.166666666666667,7.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
