sim_sec,sc,sg,requested,readback,ok,stage
900,9101,1,GREEN,GREEN,1,immediate
900,9102,1,GREEN,GREEN,1,immediate
900,9103,1,GREEN,GREEN,1,immediate
900,9104,1,GREEN,GREEN,1,immediate
900,9105,1,GREEN,GREEN,1,immediate
900,9106,1,GREEN,GREEN,1,immediate
900,9107,1,GREEN,GREEN,1,immediate
900,9108,1,GREEN,GREEN,1,immediate
900,1,1,RED,RED,1,immediate
900,1,2,RED,RED,1,immediate
900,1,3,GREEN,GREEN,1,immediate
900,1,4,RED,RED,1,immediate
900,1,5,RED,RED,1,immediate
900,1,6,RED,RED,1,immediate
900,1,7,GREEN,GREEN,1,immediate
900,1,8,RED,RED,1,immediate
900,5,1,RED,RED,1,immediate
900,5,2,GREEN,GREEN,1,immediate
900,5,3,RED,RED,1,immediate
900,5,4,RED,RED,1,immediate
900,5,5,RED,RED,1,immediate
900,5,6,GREEN,GREEN,1,immediate
900,5,7,RED,RED,1,immediate
900,5,8,RED,RED,1,immediate
900,6,1,RED,RED,1,immediate
900,6,2,RED,RED,1,immediate
900,6,3,GREEN,GREEN,1,immediate
900,6,4,RED,RED,1,immediate
900,6,5,RED,RED,1,immediate
900,6,6,RED,RED,1,immediate
900,6,7,GREEN,GREEN,1,immediate
900,6,8,RED,RED,1,immediate
900,7,1,RED,RED,1,immediate
900,7,2,RED,RED,1,immediate
900,7,3,RED,RED,1,immediate
900,7,4,RED,RED,1,immediate
900,7,5,RED,RED,1,immediate
900,7,6,RED,RED,1,immediate
900,7,7,GREEN,GREEN,1,immediate
900,7,8,RED,RED,1,immediate
900,11,1,GREEN,GREEN,1,immediate
900,11,2,RED,RED,1,immediate
900,11,3,RED,RED,1,immediate
900,11,4,RED,RED,1,immediate
900,11,5,GREEN,GREEN,1,immediate
900,11,6,RED,RED,1,immediate
900,11,7,RED,RED,1,immediate
900,11,8,RED,RED,1,immediate
900,12,1,RED,RED,1,immediate
900,12,2,RED,RED,1,immediate
900,12,3,RED,RED,1,immediate
900,12,4,GREEN,GREEN,1,immediate
900,12,5,RED,RED,1,immediate
900,12,6,RED,RED,1,immediate
900,12,7,RED,RED,1,immediate
900,12,8,GREEN,GREEN,1,immediate
900,16,1,RED,RED,1,immediate
900,16,2,GREEN,GREEN,1,immediate
900,16,3,RED,RED,1,immediate
900,16,4,RED,RED,1,immediate
900,16,5,RED,RED,1,immediate
900,16,6,GREEN,GREEN,1,immediate
900,16,7,RED,RED,1,immediate
900,16,8,RED,RED,1,immediate
900,101,1,RED,RED,1,immediate
900,101,2,RED,RED,1,immediate
900,101,3,GREEN,GREEN,1,immediate
900,101,4,RED,RED,1,immediate
900,101,5,RED,RED,1,immediate
900,101,6,RED,RED,1,immediate
900,101,7,GREEN,GREEN,1,immediate
900,101,8,RED,RED,1,immediate
900,105,1,RED,RED,1,immediate
900,105,2,RED,RED,1,immediate
900,105,3,GREEN,GREEN,1,immediate
900,105,4,RED,RED,1,immediate
900,105,5,RED,RED,1,immediate
900,105,6,RED,RED,1,immediate
900,105,7,GREEN,GREEN,1,immediate
900,105,8,RED,RED,1,immediate
900,107,1,RED,RED,1,immediate
900,107,2,RED,RED,1,immediate
900,107,3,GREEN,GREEN,1,immediate
900,107,4,RED,RED,1,immediate
900,107,5,RED,RED,1,immediate
900,107,6,RED,RED,1,immediate
900,107,7,GREEN,GREEN,1,immediate
900,107,8,RED,RED,1,immediate
900,108,1,RED,RED,1,immediate
900,108,2,RED,RED,1,immediate
900,108,3,RED,RED,1,immediate
900,108,4,GREEN,GREEN,1,immediate
900,108,5,RED,RED,1,immediate
900,108,6,RED,RED,1,immediate
900,108,7,RED,RED,1,immediate
900,108,8,GREEN,GREEN,1,immediate
900,109,1,RED,RED,1,immediate
900,109,2,RED,RED,1,immediate
900,109,3,RED,RED,1,immediate
900,109,4,RED,RED,1,immediate
900,109,5,GREEN,GREEN,1,immediate
900,109,6,RED,RED,1,immediate
900,109,7,RED,RED,1,immediate
900,109,8,RED,RED,1,immediate
900,1001,1,RED,RED,1,immediate
900,1001,2,GREEN,GREEN,1,immediate
900,1001,3,RED,RED,1,immediate
900,1001,4,RED,RED,1,immediate
900,1001,5,RED,RED,1,immediate
900,1001,6,GREEN,GREEN,1,immediate
900,1001,7,RED,RED,1,immediate
900,1001,8,RED,RED,1,immediate
900,1002,1,RED,RED,1,immediate
900,1002,2,GREEN,GREEN,1,immediate
900,1002,3,RED,RED,1,immediate
900,1002,4,RED,RED,1,immediate
900,1002,5,RED,RED,1,immediate
900,1002,6,GREEN,GREEN,1,immediate
900,1002,7,RED,RED,1,immediate
900,1002,8,RED,RED,1,immediate
900,1003,1,RED,RED,1,immediate
900,1003,2,RED,RED,1,immediate
900,1003,3,GREEN,GREEN,1,immediate
900,1003,4,RED,RED,1,immediate
900,1003,5,RED,RED,1,immediate
900,1003,6,RED,RED,1,immediate
900,1003,7,GREEN,GREEN,1,immediate
900,1003,8,RED,RED,1,immediate
900,1004,1,RED,RED,1,immediate
900,1004,2,GREEN,GREEN,1,immediate
900,1004,3,RED,RED,1,immediate
900,1004,4,RED,RED,1,immediate
900,1004,5,RED,RED,1,immediate
900,1004,6,GREEN,GREEN,1,immediate
900,1004,7,RED,RED,1,immediate
900,1004,8,RED,RED,1,immediate
900,1005,1,GREEN,GREEN,1,immediate
900,1005,2,RED,RED,1,immediate
900,1005,3,RED,RED,1,immediate
900,1005,4,RED,RED,1,immediate
900,1005,5,GREEN,GREEN,1,immediate
900,1005,6,RED,RED,1,immediate
900,1005,7,RED,RED,1,immediate
900,1005,8,RED,RED,1,immediate
