source_file,sim_sec,model_link,segment_index,count,length_km,lanes,mean_speed_kph,density_veh_km_lane,flow_proxy_veh_h
state_000001.json,1.0,FW_E,0,0.0,0.498032,2.0,0.0,0.0,0.0
state_000001.json,1.0,FW_E,1,0.0,0.31336,2.0,0.0,0.0,0.0
state_000001.json,1.0,FW_E,2,0.0,0.923223,2.0,0.0,0.0,0.0
state_000001.json,1.0,FW_E,3,0.0,0.293535,2.0,0.0,0.0,0.0
state_000001.json,1.0,FW_E,4,0.0,0.870853,2.0,0.0,0.0,0.0
state_000001.json,1.0,FW_W,0,1.0,0.536739,2.0,55.61193,0.9315514616973986,103.61074935862682
state_000001.json,1.0,FW_W,1,0.0,0.617511,2.0,0.0,0.0,0.0
state_000001.json,1.0,FW_W,2,0.0,0.58821,2.0,0.0,0.0,0.0
state_000001.json,1.0,FW_W,3,0.0,0.654785,2.0,0.0,0.0,0.0
state_000001.json,1.0,FW_W,4,0.0,0.501758,2.0,0.0,0.0,0.0
state_000060.json,60.0,FW_E,0,4.0,0.498032,2.0,97.894118,4.015806213255374,786.2476146111095
state_000060.json,60.0,FW_E,1,2.0,0.31336,2.0,109.137867,3.1912177687005356,696.5654008169516
state_000060.json,60.0,FW_E,2,7.0,0.923223,2.0,108.36371471428572,3.7910667303565875,821.6281472623624
state_000060.json,60.0,FW_E,3,0.0,0.293535,2.0,0.0,0.0,0.0
state_000060.json,60.0,FW_E,4,0.0,0.870853,2.0,0.0,0.0,0.0
state_000060.json,60.0,FW_W,0,7.0,0.536739,2.0,78.396312,6.52086023188179,1022.4227864939943
state_000060.json,60.0,FW_W,1,5.0,0.617511,2.0,107.1812252,4.048510876729321,867.8487120067497
state_000060.json,60.0,FW_W,2,5.0,0.58821,2.0,109.3089494,4.250182757858588,929.1660240390337
state_000060.json,60.0,FW_W,3,0.0,0.654785,2.0,0.0,0.0,0.0
state_000060.json,60.0,FW_W,4,0.0,0.501758,2.0,0.0,0.0,0.0
state_000120.json,120.0,FW_E,0,9.0,0.498032,2.0,92.69615877777778,9.03556397982459,1675.1241466411798
state_000120.json,120.0,FW_E,1,2.0,0.31336,2.0,118.953493,3.1912177687005356,759.2130010211895
state_000120.json,120.0,FW_E,2,10.0,0.923223,2.0,112.41817309999999,5.415809614795125,1217.6708455053654
state_000120.json,120.0,FW_E,3,1.0,0.293535,2.0,103.373141,1.7033743846560037,352.1663208816666
state_000120.json,120.0,FW_E,4,4.0,0.870853,2.0,106.7602645,2.296598851930234,490.37100176493624
state_000120.json,120.0,FW_W,0,3.0,0.536739,2.0,92.32871533333334,2.794654385092196,516.0536983524581
state_000120.json,120.0,FW_W,1,1.0,0.617511,2.0,100.962152,0.8097021753458642,163.4985482039996
state_000120.json,120.0,FW_W,2,4.0,0.58821,2.0,104.58725975,3.40014620628687,711.2239489298039
state_000120.json,120.0,FW_W,3,4.0,0.654785,2.0,104.8185595,3.0544377161969196,640.323522988462
state_000120.json,120.0,FW_W,4,4.0,0.501758,2.0,105.8210255,3.985985275770391,843.6020990198462
