road,input_no,source_link,start_sec,end_sec,desired_volume_vph,native_cont,native_vol_type
FW_E,1098,74,0.0,900.0,6209.28,false,STOCHASTIC
FW_E,1098,74,900.0,1800.0,8870.4,false,STOCHASTIC
FW_E,1098,74,1800.0,2700.0,9313.92,false,STOCHASTIC
FW_E,1098,74,2700.0,3600.0,7983.36,false,STOCHASTIC
FW_E,1098,74,3600.0,4500.0,6209.28,false,STOCHASTIC
FW_E,1098,74,4500.0,,4435.2,false,STOCHASTIC
FW_W,1099,26,0.0,900.0,7761.6,false,STOCHASTIC
FW_W,1099,26,900.0,1800.0,11088.0,false,STOCHASTIC
FW_W,1099,26,1800.0,2700.0,11642.4,false,STOCHASTIC
FW_W,1099,26,2700.0,3600.0,9979.2,false,STOCHASTIC
FW_W,1099,26,3600.0,4500.0,7761.6,false,STOCHASTIC
FW_W,1099,26,4500.0,,5544.0,false,STOCHASTIC
