input_no,time_int,start_sec,before_vph,selected_vph,profile_vph,abs_error_vph
1092,1-1,0.0,42.0,21.0,21.0,0.0
1092,1-2,900.0,60.0,30.0,30.0,0.0
1092,1-3,1800.0,63.0,31.5,31.5,0.0
1092,1-4,2700.0,54.0,27.0,27.0,0.0
1092,1-5,3600.0,42.0,21.0,21.0,0.0
1092,1-6,4500.0,30.0,15.0,15.0,0.0
1093,1-1,0.0,42.0,21.0,21.0,0.0
1093,1-2,900.0,60.0,30.0,30.0,0.0
1093,1-3,1800.0,63.0,31.5,31.5,0.0
1093,1-4,2700.0,54.0,27.0,27.0,0.0
1093,1-5,3600.0,42.0,21.0,21.0,0.0
1093,1-6,4500.0,30.0,15.0,15.0,0.0
1095,1-1,0.0,168.0,84.0,84.0,0.0
1095,1-2,900.0,240.0,120.0,120.0,0.0
1095,1-3,1800.0,252.0,126.0,126.0,0.0
1095,1-4,2700.0,216.0,108.0,108.0,0.0
1095,1-5,3600.0,168.0,84.0,84.0,0.0
1095,1-6,4500.0,120.0,60.0,60.0,0.0
1096,1-1,0.0,56.0,28.0,28.0,0.0
1096,1-2,900.0,80.0,40.0,40.0,0.0
1096,1-3,1800.0,84.0,42.0,42.0,0.0
1096,1-4,2700.0,72.0,36.0,36.0,0.0
1096,1-5,3600.0,56.0,28.0,28.0,0.0
1096,1-6,4500.0,40.0,20.0,20.0,0.0
1097,1-1,0.0,112.0,56.0,56.0,0.0
1097,1-2,900.0,160.0,80.0,80.0,0.0
1097,1-3,1800.0,168.0,84.0,84.0,0.0
1097,1-4,2700.0,144.0,72.0,72.0,0.0
1097,1-5,3600.0,112.0,56.0,56.0,0.0
1097,1-6,4500.0,80.0,40.0,40.0,0.0
1098,1-1,0.0,5544.0,3695.8521600000004,3695.852160000001,4.547473508864641e-13
1098,1-2,900.0,7920.0,5279.7888,5279.788800000001,9.094947017729282e-13
1098,1-3,1800.0,8316.0,5543.778240000001,5543.7782400000015,9.094947017729282e-13
1098,1-4,2700.0,7128.0,4751.809920000001,4751.809920000001,0.0
1098,1-5,3600.0,5544.0,3695.8521600000004,3695.852160000001,4.547473508864641e-13
1098,1-6,4500.0,3960.0,2639.8944,2639.8944000000006,4.547473508864641e-13
1099,1-1,0.0,5544.0,3695.8521600000004,3695.852160000001,4.547473508864641e-13
1099,1-2,900.0,7920.0,5279.7888,5279.788800000001,9.094947017729282e-13
1099,1-3,1800.0,8316.0,5543.778240000001,5543.7782400000015,9.094947017729282e-13
1099,1-4,2700.0,7128.0,4751.809920000001,4751.809920000001,0.0
1099,1-5,3600.0,5544.0,3695.8521600000004,3695.852160000001,4.547473508864641e-13
1099,1-6,4500.0,3960.0,2639.8944,2639.8944000000006,4.547473508864641e-13
1100,1-1,0.0,566.16,283.08,283.08,0.0
1100,1-2,900.0,808.8,404.4,404.4,0.0
1100,1-3,1800.0,849.24,424.62,424.62,0.0
1100,1-4,2700.0,727.92,363.96,363.96,0.0
1100,1-5,3600.0,566.16,283.08,283.08,0.0
1100,1-6,4500.0,404.4,202.2,202.2,0.0
1101,1-1,0.0,934.0,467.0,467.0,0.0
1101,1-2,900.0,1333.0,666.5,666.5,0.0
1101,1-3,1800.0,1400.0,700.0,700.0,0.0
1101,1-4,2700.0,1200.0,600.0,600.0,0.0
1101,1-5,3600.0,934.0,467.0,467.0,0.0
1101,1-6,4500.0,667.0,333.5,333.5,0.0
1102,1-1,0.0,933.0,466.5,466.5,0.0
1102,1-2,900.0,1333.0,666.5,666.5,0.0
1102,1-3,1800.0,1400.0,700.0,700.0,0.0
1102,1-4,2700.0,1200.0,600.0,600.0,0.0
1102,1-5,3600.0,933.0,466.5,466.5,0.0
1102,1-6,4500.0,667.0,333.5,333.5,0.0
1103,1-1,0.0,168.0,84.0,84.0,0.0
1103,1-2,900.0,240.0,120.0,120.0,0.0
1103,1-3,1800.0,252.0,126.0,126.0,0.0
1103,1-4,2700.0,216.0,108.0,108.0,0.0
1103,1-5,3600.0,168.0,84.0,84.0,0.0
1103,1-6,4500.0,120.0,60.0,60.0,0.0
1104,1-1,0.0,56.0,28.0,28.0,0.0
1104,1-2,900.0,80.0,40.0,40.0,0.0
1104,1-3,1800.0,84.0,42.0,42.0,0.0
1104,1-4,2700.0,72.0,36.0,36.0,0.0
1104,1-5,3600.0,56.0,28.0,28.0,0.0
1104,1-6,4500.0,40.0,20.0,20.0,0.0
1105,1-1,0.0,566.16,283.08,283.08,0.0
1105,1-2,900.0,808.8,404.4,404.4,0.0
1105,1-3,1800.0,849.24,424.62,424.62,0.0
1105,1-4,2700.0,727.92,363.96,363.96,0.0
1105,1-5,3600.0,566.16,283.08,283.08,0.0
1105,1-6,4500.0,404.4,202.2,202.2,0.0
1106,1-1,0.0,566.16,283.08,283.08,0.0
1106,1-2,900.0,808.8,404.4,404.4,0.0
1106,1-3,1800.0,849.24,424.62,424.62,0.0
1106,1-4,2700.0,727.92,363.96,363.96,0.0
1106,1-5,3600.0,566.16,283.08,283.08,0.0
1106,1-6,4500.0,404.4,202.2,202.2,0.0
1107,1-1,0.0,566.16,283.08,283.08,0.0
1107,1-2,900.0,808.8,404.4,404.4,0.0
1107,1-3,1800.0,849.24,424.62,424.62,0.0
1107,1-4,2700.0,727.92,363.96,363.96,0.0
1107,1-5,3600.0,566.16,283.08,283.08,0.0
1107,1-6,4500.0,404.4,202.2,202.2,0.0
