sim_sec,connector,lane,count,stopped_below5,mean_speed_kph,minimum_stopped_front_position_m,maximum_stopped_front_position_m
3150.0,10639,1,2,0,23.785,,
3150.0,10682,1,23,12,5.986086956521739,3.74,219.25
3151.0,10639,1,2,1,19.355,315.67,315.67
3151.0,10682,1,23,9,7.645217391304348,9.3,219.88
3152.0,10639,1,2,1,21.23,315.67,315.67
3152.0,10682,1,23,11,6.989565217391304,6.05,206.6
3153.0,10639,1,2,1,21.23,315.67,315.67
3153.0,10682,1,23,9,7.449565217391305,6.05,222.69
3154.0,10639,1,2,1,13.23,315.67,315.67
3154.0,10682,1,23,10,6.087391304347825,30.24,222.9
3155.0,10639,1,2,1,6.465,315.67,315.67
3155.0,10682,1,23,11,6.037826086956522,30.75,216.9
3156.0,10639,1,2,2,2.09,308.83,315.67
3156.0,10682,1,23,9,7.252608695652174,24.93,217.18
3157.0,10639,1,2,2,1.17,309.61,315.79
3157.0,10682,1,23,8,7.815652173913043,19.09,210.79
3158.0,10639,1,2,2,0.72,309.88,316.04
3158.0,10682,1,23,13,5.753043478260869,13.23,211.66
3159.0,10639,1,2,1,5.9399999999999995,310.16,310.16
3159.0,10682,1,23,11,6.2760869565217385,13.98,205.06
3160.0,10639,1,1,1,1.44,310.56,310.56
3160.0,10682,1,23,9,6.781739130434782,14.22,206.06
3161.0,10639,1,1,0,9.74,,
3161.0,10682,1,23,7,8.081739130434782,7.39,183.17
3162.0,10639,1,1,0,9.74,,
3162.0,10682,1,23,9,7.519565217391304,7.48,222.44
3163.0,10639,1,1,1,0.0,315.29,315.29
3163.0,10682,1,23,11,7.351739130434782,7.5,222.93
3164.0,10639,1,1,1,2.03,315.57,315.57
3164.0,10682,1,23,9,8.515217391304347,27.58,215.91
3165.0,10639,1,1,1,2.03,316.14,316.14
3165.0,10682,1,23,6,8.621739130434783,28.93,210.04
3166.0,10639,1,1,1,0.0,316.16,316.16
3166.0,10682,1,23,7,7.987826086956522,131.8,210.41
3167.0,10639,1,1,1,0.0,316.16,316.16
3167.0,10682,1,23,6,8.5,24.84,222.08
3168.0,10639,1,1,1,0.0,316.16,316.16
3168.0,10682,1,23,8,7.907826086956521,19.3,222.08
3169.0,10639,1,1,1,0.0,316.16,316.16
3169.0,10682,1,24,7,9.78875,13.61,222.08
3170.0,10639,1,1,1,0.0,316.16,316.16
3170.0,10682,1,24,6,9.62,14.79,215.75
3171.0,10639,1,2,1,19.78,316.16,316.16
3171.0,10682,1,23,10,7.906086956521739,15.66,216.23
3172.0,10639,1,2,1,22.12,316.16,316.16
3172.0,10682,1,24,12,7.480416666666667,16.71,217.18
3173.0,10639,1,2,1,22.12,316.16,316.16
3173.0,10682,1,24,11,8.025,11.63,202.95
3174.0,10639,1,2,1,22.12,316.16,316.16
3174.0,10682,1,24,13,7.650833333333334,7.04,220.94
3175.0,10639,1,2,1,22.12,316.16,316.16
3175.0,10682,1,24,14,6.747916666666666,7.04,221.87
3176.0,10639,1,2,1,22.12,316.16,316.16
3176.0,10682,1,24,14,7.00125,7.04,214.87
3177.0,10639,1,3,1,27.893333333333334,316.16,316.16
3177.0,10682,1,23,10,7.302173913043478,7.04,215.32
3178.0,10639,1,3,0,30.39333333333333,,
3178.0,10682,1,23,11,7.418260869565217,7.04,209.0
3179.0,10639,1,3,1,28.429999999999996,317.15,317.15
3179.0,10682,1,24,11,7.59,54.36,209.48
3180.0,10639,1,3,1,28.429999999999996,317.15,317.15
3180.0,10682,1,23,12,7.066521739130435,50.51,204.13
3181.0,10639,1,3,1,28.45,317.16,317.16
3181.0,10682,1,23,12,6.853478260869565,50.53,196.68
3182.0,10639,1,3,1,28.75,317.3,317.3
3182.0,10682,1,23,11,7.140434782608695,50.53,197.18
3183.0,10639,1,3,0,31.47,,
3183.0,10682,1,24,11,6.695,43.93,182.36
3184.0,10639,1,2,0,42.644999999999996,,
3184.0,10682,1,24,11,7.702916666666667,44.46,166.95
3185.0,10639,1,3,0,42.73333333333333,,
3185.0,10682,1,23,9,7.721304347826087,44.66,160.51
3186.0,10639,1,3,0,43.25,,
3186.0,10682,1,23,12,6.730434782608696,32.04,180.97
3187.0,10639,1,3,0,43.25,,
3187.0,10682,1,24,13,6.34125,32.7,221.04
3188.0,10639,1,3,0,43.25,,
3188.0,10682,1,24,12,6.461666666666667,33.21,215.22
3189.0,10639,1,3,0,43.25,,
3189.0,10682,1,23,11,6.152608695652174,33.58,215.72
3190.0,10639,1,3,0,43.25,,
3190.0,10682,1,23,13,6.211739130434783,28.67,209.12
3191.0,10639,1,3,0,43.25,,
3191.0,10682,1,23,12,6.149130434782609,21.92,209.82
3192.0,10639,1,3,0,42.336666666666666,,
3192.0,10682,1,23,12,6.068695652173912,22.7,203.1
3193.0,10639,1,3,0,40.92666666666667,,
