sim_sec,connector,lane,count,stopped_below5,mean_speed_kph,minimum_stopped_front_position_m,maximum_stopped_front_position_m
1050.0,10639,1,0,0,,,
1050.0,10682,1,21,7,9.469523809523809,4.71,221.83
1051.0,10639,1,0,0,,,
1051.0,10682,1,21,6,10.813809523809525,5.74,216.93
1052.0,10639,1,0,0,,,
1052.0,10682,1,20,7,10.999500000000001,6.52,218.11
1053.0,10639,1,0,0,,,
1053.0,10682,1,21,5,11.974761904761905,111.84,200.18
1054.0,10639,1,0,0,,,
1054.0,10682,1,21,8,10.925238095238095,103.82,200.97
1055.0,10639,1,0,0,,,
1055.0,10682,1,20,8,10.6975,95.83,194.91
1056.0,10639,1,0,0,,,
1056.0,10682,1,21,8,11.291904761904762,87.22,194.91
1057.0,10639,1,0,0,,,
1057.0,10682,1,21,6,12.140476190476189,5.17,182.17
1058.0,10639,1,1,0,43.24,,
1058.0,10682,1,21,6,12.03,98.63,193.87
1059.0,10639,1,1,0,42.22,,
1059.0,10682,1,20,8,12.14,93.05,193.87
1060.0,10639,1,1,0,42.22,,
1060.0,10682,1,21,6,12.547619047619047,93.74,220.56
1061.0,10639,1,1,0,42.22,,
1061.0,10682,1,21,9,11.373809523809523,87.54,220.56
1062.0,10639,1,1,0,42.22,,
1062.0,10682,1,22,8,11.87090909090909,75.47,214.64
1063.0,10639,1,1,0,42.22,,
1063.0,10682,1,22,9,9.999090909090908,69.42,222.86
1064.0,10639,1,1,0,42.22,,
1064.0,10682,1,22,8,9.644545454545455,69.42,209.15
1065.0,10639,1,1,0,42.22,,
1065.0,10682,1,22,6,9.427727272727273,77.52,209.62
1066.0,10639,1,1,0,42.22,,
1066.0,10682,1,22,10,9.67090909090909,66.08,204.47
1067.0,10639,1,1,0,42.22,,
1067.0,10682,1,23,11,8.641304347826088,67.18,222.79
1068.0,10639,1,1,0,42.22,,
1068.0,10682,1,23,10,8.75478260869565,60.64,206.29
1069.0,10639,1,1,0,42.22,,
1069.0,10682,1,23,11,7.798260869565217,60.83,198.91
1070.0,10639,1,1,0,42.22,,
1070.0,10682,1,23,10,8.294782608695652,55.02,193.37
1071.0,10639,1,1,0,42.22,,
1071.0,10682,1,23,12,6.7986956521739135,48.79,194.07
1072.0,10639,1,1,0,42.22,,
1072.0,10682,1,23,12,6.23391304347826,49.29,221.88
1073.0,10639,1,1,0,42.22,,
1073.0,10682,1,24,16,4.879166666666666,14.73,221.88
1074.0,10639,1,1,0,42.22,,
1074.0,10682,1,24,12,6.220833333333334,2.92,217.1
1075.0,10639,1,1,0,42.22,,
1075.0,10682,1,23,15,5.229565217391304,3.61,217.56
1076.0,10639,1,1,0,42.22,,
1076.0,10682,1,23,11,7.098260869565217,4.12,210.47
1077.0,10639,1,1,0,42.22,,
1077.0,10682,1,23,12,5.837826086956523,4.46,210.9
1078.0,10639,1,1,0,42.22,,
1078.0,10682,1,23,12,7.312608695652174,19.27,204.81
1079.0,10639,1,1,0,42.22,,
1079.0,10682,1,22,14,6.059545454545455,20.2,205.41
1080.0,10639,1,1,0,42.22,,
1080.0,10682,1,23,13,5.886086956521739,20.82,205.81
1081.0,10639,1,1,0,42.22,,
1081.0,10682,1,23,12,6.414782608695652,10.71,200.11
1082.0,10639,1,1,0,42.22,,
1082.0,10682,1,23,14,5.399565217391304,3.9,219.87
1083.0,10639,1,1,0,42.22,,
1083.0,10682,1,23,13,6.755217391304348,4.22,220.45
1084.0,10639,1,1,0,42.22,,
1084.0,10682,1,23,13,6.521304347826088,4.37,214.59
1085.0,10639,1,0,0,,,
1085.0,10682,1,22,12,6.269090909090909,4.37,215.14
1086.0,10639,1,0,0,,,
1086.0,10682,1,22,11,7.159545454545454,4.37,209.45
1087.0,10639,1,0,0,,,
1087.0,10682,1,22,11,7.307272727272727,4.37,210.68
1088.0,10639,1,0,0,,,
1088.0,10682,1,22,8,8.259090909090908,4.37,183.65
1089.0,10639,1,0,0,,,
1089.0,10682,1,21,9,7.466190476190476,5.01,179.64
1090.0,10639,1,0,0,,,
1090.0,10682,1,21,8,8.140476190476189,69.46,179.64
1091.0,10639,1,0,0,,,
1091.0,10682,1,21,7,9.058095238095238,62.56,222.96
1092.0,10639,1,0,0,,,
1092.0,10682,1,22,8,8.48409090909091,63.28,173.84
1093.0,10639,1,0,0,,,
1093.0,10682,1,21,7,8.65952380952381,50.55,167.3
1094.0,10639,1,0,0,,,
1094.0,10682,1,21,7,8.585238095238095,51.28,212.29
1095.0,10639,1,0,0,,,
1095.0,10682,1,21,7,8.111904761904762,40.09,213.65
1096.0,10639,1,0,0,,,
1096.0,10682,1,21,7,7.893809523809525,40.42,161.74
1097.0,10639,1,0,0,,,
1097.0,10682,1,21,5,8.428571428571429,33.77,159.84
1098.0,10639,1,0,0,,,
1098.0,10682,1,21,6,6.90095238095238,34.05,221.22
1099.0,10639,1,0,0,,,
1099.0,10682,1,21,9,6.388571428571429,28.23,159.84
1100.0,10639,1,0,0,,,
1100.0,10682,1,21,8,7.013333333333334,28.49,153.53
1101.0,10639,1,0,0,,,
1101.0,10682,1,21,6,7.035238095238095,21.72,183.62
1102.0,10639,1,0,0,,,
1102.0,10682,1,22,9,8.255,22.01,184.99
1103.0,10639,1,0,0,,,
1103.0,10682,1,22,9,7.855909090909091,16.0,186.36
1104.0,10639,1,0,0,,,
1104.0,10682,1,21,7,8.586190476190476,9.34,168.8
1105.0,10639,1,0,0,,,
1105.0,10682,1,22,4,8.991818181818182,10.16,144.82
1106.0,10639,1,0,0,,,
1106.0,10682,1,22,9,7.881818181818182,3.19,221.17
1107.0,10639,1,0,0,,,
1107.0,10682,1,22,10,8.335909090909091,4.07,214.69
1108.0,10639,1,0,0,,,
1108.0,10682,1,21,7,9.379999999999999,4.33,215.67
1109.0,10639,1,1,0,36.55,,
1109.0,10682,1,21,6,8.88952380952381,4.35,208.74
1110.0,10639,1,1,0,33.73,,
1110.0,10682,1,21,4,9.850476190476192,4.35,209.7
1111.0,10639,1,1,0,33.73,,
1111.0,10682,1,20,3,9.624500000000001,4.8,203.34
1112.0,10639,1,1,0,33.73,,
1112.0,10682,1,20,4,10.2165,5.53,203.84
1113.0,10639,1,1,0,33.73,,
1113.0,10682,1,20,4,10.1505,16.2,197.39
1114.0,10639,1,2,0,34.879999999999995,,
1114.0,10682,1,19,7,9.196842105263158,9.27,197.81
1115.0,10639,1,2,0,35.33,,
1115.0,10682,1,20,8,9.4465,9.27,191.45
1116.0,10639,1,2,0,38.3,,
1116.0,10682,1,19,5,10.455263157894738,81.41,191.99
1117.0,10639,1,2,0,38.3,,
1117.0,10682,1,19,6,11.388421052631578,74.42,186.81
1118.0,10639,1,2,0,38.004999999999995,,
1118.0,10682,1,19,6,12.001052631578949,75.41,187.17
1119.0,10639,1,2,0,37.7,,
1119.0,10682,1,18,6,10.754444444444445,69.8,181.77
1120.0,10639,1,2,0,37.4,,
1120.0,10682,1,19,7,11.606315789473685,62.44,182.73
1121.0,10639,1,2,0,37.849999999999994,,
1121.0,10682,1,19,6,13.821052631578949,56.91,177.52
1122.0,10639,1,2,0,37.849999999999994,,
1122.0,10682,1,19,7,12.208421052631579,50.01,178.61
1123.0,10639,1,2,0,37.849999999999994,,
1123.0,10682,1,19,6,12.391578947368421,50.67,171.52
1124.0,10639,1,2,0,37.849999999999994,,
1124.0,10682,1,18,7,12.548333333333334,51.18,172.39
1125.0,10639,1,2,0,37.849999999999994,,
1125.0,10682,1,17,5,11.852941176470589,45.35,166.38
1126.0,10639,1,2,0,37.849999999999994,,
1126.0,10682,1,18,6,13.48388888888889,41.3,167.54
1127.0,10639,1,2,0,36.44499999999999,,
