sim_sec,source,interval_sec,network_vehicles,inside_vehicles,outside_vehicles,ttt_veh_h_cumulative,observed_exit_events,terminal_exit_inferred_events,unresolved_inside_disappearances,observed_entry_events,appeared_inside_events,reappeared_inside_events,ttd_observed_plus_terminal_cumulative,stock_closure_residual_veh
1.0,fzp,1.0,7,4,3,0.0005555555555555556,0,0,0,0,4,0,0,0
2.0,fzp,1.0,11,6,5,0.0019444444444444444,0,0,0,0,2,0,0,0
3.0,fzp,1.0,16,11,5,0.0043055555555555555,0,0,0,0,5,0,0,0
4.0,fzp,1.0,26,15,11,0.007916666666666666,0,0,0,0,4,0,0,0
5.0,fzp,1.0,32,17,15,0.012361111111111111,0,0,0,0,2,0,0,0
6.0,fzp,1.0,39,18,21,0.017222222222222222,0,0,0,0,1,0,0,0
7.0,fzp,1.0,47,22,25,0.02277777777777778,0,0,0,0,4,0,0,0
8.0,fzp,1.0,53,27,26,0.029583333333333333,0,0,0,0,5,0,0,0
9.0,fzp,1.0,59,29,30,0.03736111111111111,0,0,0,0,2,0,0,0
10.0,fzp,1.0,64,33,31,0.04597222222222222,0,0,0,0,4,0,0,0
11.0,fzp,1.0,71,35,36,0.05541666666666666,0,0,0,0,2,0,0,0
12.0,fzp,1.0,74,36,38,0.06527777777777777,0,0,0,0,1,0,0,0
13.0,fzp,1.0,79,37,42,0.07541666666666666,0,0,0,0,1,0,0,0
14.0,fzp,1.0,83,39,44,0.08597222222222221,0,0,0,0,2,0,0,0
15.0,fzp,1.0,90,44,46,0.09749999999999999,0,0,0,0,5,0,0,0
16.0,fzp,1.0,92,46,46,0.10999999999999999,0,0,0,0,2,0,0,0
17.0,fzp,1.0,100,49,51,0.12319444444444443,0,0,0,0,3,0,0,0
18.0,fzp,1.0,106,53,53,0.1373611111111111,0,0,0,0,4,0,0,0
19.0,fzp,1.0,110,55,55,0.1523611111111111,0,0,0,0,2,0,0,0
20.0,fzp,1.0,113,56,57,0.16777777777777778,0,0,0,0,1,0,0,0
21.0,fzp,1.0,122,63,59,0.18430555555555556,0,0,0,0,7,0,0,0
22.0,fzp,1.0,127,65,62,0.20208333333333334,0,0,0,1,1,0,0,0
23.0,fzp,1.0,133,68,65,0.22055555555555556,0,0,0,0,3,0,0,0
24.0,fzp,1.0,139,70,69,0.23972222222222223,0,0,0,0,2,0,0,0
25.0,fzp,1.0,147,77,70,0.2601388888888889,0,0,0,0,7,0,0,0
26.0,fzp,1.0,150,80,70,0.2819444444444445,0,0,0,0,3,0,0,0
27.0,fzp,1.0,161,87,74,0.30513888888888896,0,0,0,0,7,0,0,0
