bin,link0,n_enter
0,13,9
0,21,14
0,26,224
0,32,46
0,42,17
0,55,55
0,60,26
0,66,24
0,69,39
0,74,218
0,76,30
0,80,33
0,90,3
0,99,24
0,112,2
0,113,24
0,117,24
0,138,8
0,164,6
0,201,1
0,217,1
0,225,2
0,236,5
0,256,6
0,293,13
0,341,7
0,343,9
0,364,4
0,379,11
0,10318,1
0,10381,3
0,1210008203,1
0,1220000704,38
0,1220009503,1
0,1220011200,2
0,1220012001,4
0,1220013100,2
0,1220042300,29
0,1220044500,24
150,13,10
150,21,14
150,26,217
150,32,47
150,42,17
150,55,44
150,60,22
150,66,22
150,69,31
150,74,224
150,76,25
150,80,22
150,90,8
150,99,22
150,112,4
150,113,18
150,117,22
150,138,8
150,164,4
150,201,1
150,217,2
150,225,2
150,236,5
150,256,1
150,293,14
150,341,10
150,343,7
150,364,6
150,379,14
150,10381,2
150,10585,1
150,1210009700,1
150,1220000704,34
150,1220009503,1
150,1220011200,3
150,1220012001,1
150,1220013100,2
150,1220042300,42
150,1220044500,19
300,13,11
300,21,10
300,26,254
300,32,41
300,42,23
300,55,42
300,60,17
300,66,24
300,69,41
300,74,218
300,76,29
300,80,29
300,90,10
300,99,20
300,112,4
300,113,31
300,117,20
300,138,13
300,164,3
300,201,2
300,217,1
300,225,1
300,236,7
300,256,4
300,293,9
300,341,3
300,343,8
300,364,4
300,379,6
300,10269,2
300,10359,1
300,10381,1
300,10585,1
300,1210009700,1
300,1210012103,1
300,1220000704,31
300,1220011200,4
300,1220012001,1
300,1220013100,1
300,1220042300,32
300,1220044500,31
450,13,12
450,21,15
450,26,242
450,32,34
450,42,24
450,55,56
450,60,21
450,66,18
450,69,35
450,74,223
450,76,17
450,80,26
450,90,10
450,99,30
450,112,4
450,113,17
450,117,19
450,138,8
450,164,10
450,225,1
450,236,2
450,256,5
450,293,15
450,341,12
450,343,9
450,364,3
450,379,11
450,10269,1
450,10359,1
450,10585,1
450,1210012103,1
450,1220000704,33
450,1220011200,3
450,1220013100,1
450,1220042300,36
450,1220044500,25
600,13,9
600,21,13
600,26,268
600,32,49
600,42,21
600,55,55
600,60,19
600,66,29
600,69,38
600,74,239
600,76,24
600,80,16
600,90,1
600,99,20
600,112,3
600,113,23
600,117,23
600,138,13
600,164,9
600,201,1
600,217,2
600,236,2
600,256,5
600,293,20
600,341,12
600,343,7
600,364,7
600,379,9
600,10318,1
600,10350,1
600,10381,1
600,10585,1
600,1210008203,1
600,1210009700,1
600,1220000704,37
600,1220011200,6
600,1220013100,3
600,1220042300,46
600,1220044500,24
750,13,6
750,21,10
750,26,211
750,32,35
750,42,23
750,55,54
750,60,18
750,66,23
750,69,30
750,74,243
750,76,21
750,80,28
750,90,11
750,99,22
750,112,3
750,113,22
750,117,24
750,138,13
750,164,2
750,201,1
750,217,1
750,225,1
750,236,3
750,256,8
750,293,19
750,341,7
750,343,9
750,364,1
750,379,9
750,10585,1
750,1210008203,1
750,1210009700,2
750,1210012103,1
750,1220000704,34
750,1220009503,2
750,1220011200,4
750,1220012001,2
750,1220013100,4
750,1220042300,41
750,1220044500,23
900,13,13
900,21,16
900,26,306
900,32,62
900,42,26
900,55,80
900,60,29
900,66,32
900,69,59
900,74,289
900,76,20
900,80,33
900,90,15
900,99,31
900,112,8
900,113,43
900,117,36
900,138,22
900,164,11
900,199,1
900,201,2
900,217,1
900,225,1
900,236,12
900,256,7
900,293,29
900,341,11
900,343,7
900,364,5
900,379,18
900,10359,1
900,10381,2
900,1210009700,1
900,1220000704,54
900,1220009503,2
900,1220011200,5
900,1220013100,3
900,1220042300,50
900,1220044500,31
1050,13,10
1050,21,15
1050,26,302
1050,32,65
1050,42,30
1050,55,78
1050,60,23
1050,66,31
1050,69,58
1050,74,299
1050,76,39
1050,80,35
1050,90,8
1050,99,45
1050,112,8
1050,113,23
1050,117,36
1050,138,15
1050,164,10
1050,199,3
1050,201,1
1050,217,3
1050,225,2
1050,236,5
1050,256,6
1050,293,25
1050,341,16
1050,343,10
1050,364,8
1050,379,16
1050,10319,1
1050,10359,1
1050,1210009700,2
1050,1220000704,64
1050,1220009503,2
1050,1220011200,5
1050,1220012001,1
1050,1220013100,4
1050,1220042300,59
1050,1220044500,42
1200,13,10
1200,21,23
1200,26,301
1200,32,45
1200,42,32
1200,55,66
1200,60,31
1200,66,37
1200,69,76
1200,74,307
1200,76,35
1200,80,33
1200,90,9
1200,99,32
1200,112,2
1200,113,28
1200,117,39
1200,138,17
1200,164,6
1200,217,2
1200,225,3
1200,236,4
1200,256,8
1200,293,21
1200,341,20
1200,343,9
1200,364,5
1200,379,12
1200,10269,1
1200,10319,1
1200,10381,2
1200,1220000704,48
1200,1220009503,1
1200,1220011200,5
1200,1220012001,1
1200,1220013100,3
1200,1220042300,50
1200,1220044500,23
1350,13,14
1350,21,22
1350,26,295
1350,32,50
1350,42,33
1350,55,82
1350,60,30
1350,66,30
1350,69,50
1350,74,296
1350,76,37
1350,80,43
1350,90,6
1350,99,30
1350,112,3
1350,113,35
1350,117,31
1350,138,15
1350,164,4
1350,201,1
1350,217,2
1350,236,2
1350,256,9
1350,293,23
1350,341,15
1350,343,15
1350,364,7
1350,379,14
1350,10269,2
1350,10319,1
1350,10381,1
1350,1210012103,1
1350,1220000704,50
1350,1220009503,2
1350,1220011200,9
1350,1220042300,60
1350,1220044500,22
1500,13,14
1500,21,16
1500,26,311
1500,32,47
1500,42,29
1500,55,73
1500,60,31
1500,66,27
1500,69,53
1500,74,306
1500,76,32
1500,80,47
1500,90,7
1500,99,34
1500,112,3
1500,113,36
1500,117,35
1500,138,12
1500,164,11
1500,199,1
1500,201,3
1500,217,1
1500,225,1
1500,236,6
1500,256,12
1500,293,18
1500,341,11
1500,343,12
1500,364,8
1500,379,15
1500,10269,1
1500,10318,1
1500,10350,2
1500,10381,1
1500,10585,1
1500,1220000704,51
1500,1220009503,2
1500,1220011200,4
1500,1220012001,1
1500,1220013100,2
1500,1220042300,49
1500,1220044500,39
1650,13,16
1650,21,27
1650,26,293
1650,32,49
1650,42,29
1650,55,61
1650,60,25
1650,66,31
1650,69,57
1650,74,298
1650,76,27
1650,80,47
1650,90,6
1650,99,30
1650,112,6
1650,113,21
1650,117,35
1650,138,19
1650,164,10
1650,199,1
1650,217,2
1650,225,2
1650,236,4
1650,256,8
1650,293,23
1650,341,10
1650,343,12
1650,364,5
1650,379,15
1650,10269,2
1650,10318,1
1650,1210009700,1
1650,1220000704,59
1650,1220009503,2
1650,1220011200,7
1650,1220013100,2
1650,1220042300,45
1650,1220044500,36
1800,13,15
1800,21,11
1800,26,302
1800,32,58
1800,42,29
1800,55,70
1800,60,23
1800,66,37
1800,69,71
1800,74,307
1800,76,34
1800,80,42
1800,90,11
1800,99,21
1800,112,5
1800,113,46
1800,117,39
1800,138,21
1800,164,8
1800,201,1
1800,217,2
1800,236,10
1800,256,5
1800,293,31
1800,341,14
1800,343,13
1800,364,6
1800,379,16
1800,10269,2
1800,1210009700,1
1800,1220000704,67
1800,1220009503,3
1800,1220011200,6
1800,1220013100,3
1800,1220042300,57
1800,1220044500,37
1950,13,12
1950,21,15
1950,26,268
1950,32,59
1950,42,31
1950,55,83
1950,60,33
1950,66,37
1950,69,62
1950,74,297
1950,76,33
1950,80,29
1950,90,11
1950,99,32
1950,112,2
1950,113,33
1950,117,33
1950,138,14
1950,164,7
1950,199,1
1950,201,1
1950,217,2
1950,225,1
1950,236,8
1950,256,5
1950,293,25
1950,341,15
1950,343,11
1950,364,7
1950,379,16
1950,10269,1
1950,10359,2
1950,10585,1
1950,1220000704,52
1950,1220009503,2
1950,1220011200,2
1950,1220013100,6
1950,1220042300,71
1950,1220044500,44
2100,13,16
2100,21,28
2100,26,228
2100,32,65
2100,42,30
2100,55,83
2100,60,35
2100,66,31
2100,69,55
2100,74,301
2100,76,22
2100,80,31
2100,90,13
2100,99,21
2100,112,5
2100,113,32
2100,117,40
2100,138,14
2100,164,11
2100,199,1
2100,217,4
2100,236,4
2100,256,6
2100,293,22
2100,341,10
2100,343,11
2100,364,6
2100,379,27
2100,10269,2
2100,10318,1
2100,1220000704,55
2100,1220011200,11
2100,1220013100,5
2100,1220042300,67
2100,1220044500,38
2250,13,14
2250,21,21
2250,26,242
2250,32,54
2250,42,44
2250,55,73
2250,60,38
2250,66,38
2250,69,57
2250,74,296
2250,76,29
2250,80,27
2250,90,9
2250,99,23
2250,112,4
2250,113,29
2250,117,40
2250,138,24
2250,164,8
2250,199,1
2250,201,2
2250,217,1
2250,225,6
2250,236,10
2250,256,3
2250,293,26
2250,341,13
2250,343,14
2250,364,4
2250,379,22
2250,10269,1
2250,10319,1
2250,10350,2
2250,1220000704,62
2250,1220009503,1
2250,1220011200,9
2250,1220012001,1
2250,1220013100,1
2250,1220042300,69
2250,1220044500,42
2400,13,20
2400,21,20
2400,26,247
2400,32,65
2400,42,28
2400,55,63
2400,60,36
2400,66,30
2400,69,68
2400,74,199
2400,76,33
2400,80,34
2400,90,6
2400,99,27
2400,112,4
2400,113,38
2400,117,38
2400,138,16
2400,164,6
2400,217,2
2400,225,2
2400,236,8
2400,256,6
2400,293,40
2400,341,5
2400,343,13
2400,364,7
2400,379,12
2400,10359,1
2400,1210012103,1
2400,1220000704,62
2400,1220009503,3
2400,1220011200,9
2400,1220013100,4
2400,1220042300,56
2400,1220044500,39
2550,13,16
2550,21,21
2550,26,229
2550,32,51
2550,42,26
2550,55,81
2550,60,27
2550,66,26
2550,69,62
2550,74,179
2550,76,31
2550,80,27
2550,90,6
2550,99,21
2550,112,2
2550,113,30
2550,117,31
2550,138,13
2550,164,9
2550,199,2
2550,201,2
2550,217,3
2550,225,1
2550,236,3
2550,256,8
2550,293,24
2550,341,13
2550,343,13
2550,364,7
2550,379,15
2550,1210009700,2
2550,1220000704,65
2550,1220009503,3
2550,1220011200,9
2550,1220012001,1
2550,1220013100,2
2550,1220042300,54
2550,1220044500,48
2700,13,10
2700,21,19
2700,26,210
2700,32,55
2700,42,24
2700,55,74
2700,60,19
2700,66,36
2700,69,60
2700,74,171
2700,76,33
2700,80,28
2700,90,11
2700,99,24
2700,112,5
2700,113,34
2700,117,34
2700,138,20
2700,164,5
2700,199,1
2700,201,2
2700,217,2
2700,225,1
2700,236,2
2700,256,7
2700,293,22
2700,341,5
2700,343,13
2700,364,6
2700,379,15
2700,10319,1
2700,10350,2
2700,10585,1
2700,1220000704,42
2700,1220009503,2
2700,1220011200,9
2700,1220013100,2
2700,1220042300,50
2700,1220044500,28
2850,13,7
2850,21,14
2850,26,214
2850,32,39
2850,42,27
2850,55,63
2850,60,32
2850,66,31
2850,69,48
2850,74,191
2850,76,30
2850,80,32
2850,90,16
2850,99,22
2850,112,1
2850,113,20
2850,117,28
2850,138,10
2850,164,10
2850,217,2
2850,236,2
2850,256,5
2850,293,13
2850,341,17
2850,343,13
2850,364,4
2850,379,21
2850,10318,1
2850,10319,1
2850,1220000704,48
2850,1220009503,1
2850,1220011200,5
2850,1220012001,1
2850,1220013100,5
2850,1220042300,37
2850,1220044500,32
3000,13,11
3000,21,14
3000,26,192
3000,32,44
3000,42,29
3000,55,51
3000,60,24
3000,66,45
3000,69,51
3000,74,155
3000,76,35
3000,80,29
3000,90,7
3000,99,20
3000,112,6
3000,113,31
3000,117,28
3000,138,18
3000,164,9
3000,199,1
3000,201,1
3000,217,2
3000,225,1
3000,236,4
3000,256,6
3000,293,21
3000,341,11
3000,343,6
3000,364,9
3000,379,12
3000,10381,2
3000,1210009700,2
3000,1210012103,1
3000,1220000704,44
3000,1220009503,2
3000,1220011200,2
3000,1220013100,5
3000,1220042300,43
3000,1220044500,30
3150,13,8
3150,21,17
3150,26,186
3150,32,53
3150,42,19
3150,55,74
3150,60,21
3150,66,36
3150,69,49
3150,74,175
3150,76,28
3150,80,28
3150,90,10
3150,99,24
3150,112,2
3150,113,28
3150,117,43
3150,138,14
3150,164,5
3150,199,1
3150,201,2
3150,217,1
3150,225,2
3150,236,7
3150,256,8
3150,293,24
3150,341,10
3150,343,15
3150,364,5
3150,379,13
3150,10269,1
3150,10319,1
3150,10350,1
3150,10381,1
3150,1210009700,3
3150,1220000704,42
3150,1220009503,1
3150,1220011200,2
3150,1220012001,1
3150,1220013100,2
3150,1220042300,50
3150,1220044500,36
3300,13,11
3300,21,15
3300,26,187
3300,32,48
3300,42,26
3300,55,71
3300,60,17
3300,66,26
3300,69,55
3300,74,157
3300,76,29
3300,80,29
3300,90,9
3300,99,24
3300,112,6
3300,113,33
3300,117,30
3300,138,16
3300,164,2
3300,201,1
3300,217,2
3300,225,1
3300,236,4
3300,256,1
3300,293,22
3300,341,8
3300,343,13
3300,364,5
3300,379,17
3300,10269,5
3300,10318,1
3300,10350,1
3300,1220000704,48
3300,1220009503,1
3300,1220011200,2
3300,1220013100,3
3300,1220042300,46
3300,1220044500,24
3450,13,13
3450,21,13
3450,26,171
3450,32,61
3450,42,36
3450,55,60
3450,60,26
3450,66,36
3450,69,46
3450,74,153
3450,76,36
3450,80,33
3450,90,11
3450,99,26
3450,112,4
3450,113,36
3450,117,31
3450,138,11
3450,164,10
3450,199,1
3450,201,1
3450,217,3
3450,225,2
3450,236,4
3450,256,5
3450,293,22
3450,341,9
3450,343,12
3450,364,5
3450,379,10
3450,10269,2
3450,10318,2
3450,10319,1
3450,10381,1
3450,10585,1
3450,1210009700,2
3450,1210012103,1
3450,1220000704,50
