bin,link0,n_enter
3450,1220009503,1
3450,1220011200,4
3450,1220012001,2
3450,1220042300,49
3450,1220044500,38
3600,13,5
3600,21,11
3600,26,179
3600,32,40
3600,42,27
3600,55,45
3600,60,19
3600,66,21
3600,69,31
3600,74,140
3600,76,24
3600,80,28
3600,90,3
3600,99,19
3600,112,2
3600,113,25
3600,117,21
3600,138,10
3600,164,5
3600,217,1
3600,236,2
3600,256,6
3600,293,15
3600,341,9
3600,343,10
3600,364,2
3600,379,3
3600,10269,1
3600,1210012103,1
3600,1220000704,22
3600,1220011200,2
3600,1220012001,1
3600,1220013100,5
3600,1220042300,40
3600,1220044500,18
3750,13,8
3750,21,11
3750,26,178
3750,32,35
3750,42,20
3750,55,51
3750,60,20
3750,66,19
3750,69,50
3750,74,132
3750,76,28
3750,80,33
3750,90,2
3750,99,22
3750,112,1
3750,113,16
3750,117,27
3750,138,9
3750,164,7
3750,199,1
3750,201,2
3750,217,2
3750,236,2
3750,256,5
3750,293,19
3750,341,5
3750,343,8
3750,364,5
3750,379,10
3750,10269,2
3750,10381,1
3750,1210009700,2
3750,1210012103,1
3750,1220000704,36
3750,1220009503,1
3750,1220011200,7
3750,1220012001,3
3750,1220013100,4
3750,1220042300,43
3750,1220044500,32
3900,13,7
3900,21,12
3900,26,153
3900,32,35
3900,42,21
3900,55,46
3900,60,20
3900,66,25
3900,69,20
3900,74,136
3900,76,30
3900,80,26
3900,90,5
3900,99,24
3900,112,1
3900,113,13
3900,117,23
3900,138,13
3900,164,4
3900,201,1
3900,217,2
3900,236,5
3900,256,4
3900,293,13
3900,341,8
3900,343,10
3900,364,2
3900,379,7
3900,10269,1
3900,1220000704,20
3900,1220011200,5
3900,1220013100,3
3900,1220042300,33
3900,1220044500,29
4050,13,7
4050,21,7
4050,26,212
4050,32,30
4050,42,29
4050,55,58
4050,60,21
4050,66,17
4050,69,36
4050,74,118
4050,76,21
4050,80,26
4050,90,7
4050,99,26
4050,113,17
4050,117,19
4050,138,9
4050,164,3
4050,201,2
4050,217,1
4050,236,3
4050,256,4
4050,293,22
4050,341,11
4050,343,7
4050,364,4
4050,379,11
4050,10269,1
4050,10318,1
4050,10350,1
4050,10381,1
4050,1210009700,3
4050,1210012103,1
4050,1220000704,43
4050,1220011200,2
4050,1220013100,1
4050,1220042300,34
4050,1220044500,16
4200,13,12
4200,21,11
4200,26,205
4200,32,36
4200,42,19
4200,55,57
4200,60,34
4200,66,22
4200,69,41
4200,74,128
4200,76,24
4200,80,23
4200,90,8
4200,99,19
4200,112,2
4200,113,27
4200,117,21
4200,138,9
4200,164,4
4200,201,1
4200,225,1
4200,236,4
4200,256,3
4200,293,19
4200,341,9
4200,343,9
4200,364,3
4200,379,6
4200,10269,1
4200,10318,2
4200,1210012103,1
4200,1220000704,45
4200,1220009503,1
4200,1220011200,3
4200,1220013100,2
4200,1220042300,50
4200,1220044500,21
4350,13,13
4350,21,10
4350,26,253
4350,32,44
4350,42,27
4350,55,49
4350,60,21
4350,66,21
4350,69,38
4350,74,129
4350,76,26
4350,80,24
4350,90,5
4350,99,19
4350,112,2
4350,113,20
4350,117,22
4350,138,10
4350,164,7
4350,201,1
4350,217,2
4350,225,1
4350,236,6
4350,256,7
4350,293,22
4350,341,8
4350,343,11
4350,364,2
4350,379,5
4350,1210008203,1
4350,1220000704,29
4350,1220011200,3
4350,1220013100,4
4350,1220042300,28
4350,1220044500,24
4500,13,9
4500,21,10
4500,26,186
4500,32,24
4500,42,14
4500,55,34
4500,60,21
4500,66,10
4500,69,25
4500,74,159
4500,76,19
4500,80,18
4500,90,7
4500,99,30
4500,112,3
4500,113,13
4500,117,14
4500,138,9
4500,164,5
4500,217,3
4500,225,1
4500,236,3
4500,256,8
4500,293,14
4500,341,6
4500,343,9
4500,364,5
4500,379,11
4500,10350,1
4500,1210009700,1
4500,1220000704,30
4500,1220011200,6
4500,1220012001,1
4500,1220013100,1
4500,1220042300,28
4500,1220044500,24
4650,13,10
4650,21,11
4650,26,189
4650,32,32
4650,42,15
4650,55,32
4650,60,10
4650,66,20
4650,69,28
4650,74,144
4650,76,7
4650,80,13
4650,90,5
4650,99,25
4650,112,1
4650,113,17
4650,117,21
4650,138,6
4650,164,3
4650,199,1
4650,236,2
4650,256,3
4650,293,7
4650,341,7
4650,343,4
4650,379,7
4650,10319,1
4650,1210009700,1
4650,1210012103,1
4650,1220000704,24
4650,1220011200,3
4650,1220042300,24
4650,1220044500,11
4800,13,3
4800,21,10
4800,26,160
4800,32,28
4800,42,13
4800,55,26
4800,60,16
4800,66,15
4800,69,23
4800,74,166
4800,76,19
4800,80,15
4800,90,3
4800,99,19
4800,113,18
4800,117,17
4800,138,16
4800,164,6
4800,201,1
4800,217,1
4800,236,2
4800,256,4
4800,293,14
4800,341,4
4800,343,6
4800,364,3
4800,379,8
4800,10269,2
4800,1220000704,35
4800,1220009503,1
4800,1220011200,3
4800,1220042300,24
4800,1220044500,16
4950,13,5
4950,21,13
4950,26,207
4950,32,28
4950,42,17
4950,55,39
4950,60,12
4950,66,20
4950,69,23
4950,74,129
4950,76,19
4950,80,21
4950,90,5
4950,99,25
4950,112,4
4950,113,14
4950,117,15
4950,138,7
4950,164,3
4950,225,1
4950,236,6
4950,256,6
4950,293,10
4950,341,2
4950,343,2
4950,364,1
4950,379,12
4950,1220000704,25
4950,1220009503,1
4950,1220011200,2
4950,1220013100,4
4950,1220042300,22
4950,1220044500,11
5100,13,7
5100,21,10
5100,26,153
5100,32,27
5100,42,9
5100,55,38
5100,60,15
5100,66,20
5100,69,28
5100,74,158
5100,76,21
5100,80,16
5100,90,2
5100,99,28
5100,112,1
5100,113,18
5100,117,22
5100,138,9
5100,164,5
5100,236,6
5100,256,3
5100,293,15
5100,341,5
5100,343,11
5100,364,5
5100,379,9
5100,1210009700,1
5100,1220000704,30
5100,1220011200,1
5100,1220012001,1
5100,1220013100,1
5100,1220042300,21
5100,1220044500,31
5250,13,9
5250,21,10
5250,26,189
5250,32,17
5250,42,10
5250,55,28
5250,60,12
5250,66,15
5250,69,30
5250,74,147
5250,76,17
5250,80,19
5250,90,8
5250,99,26
5250,112,2
5250,113,18
5250,117,18
5250,138,4
5250,164,1
5250,236,4
5250,256,5
5250,293,10
5250,341,6
5250,343,5
5250,364,7
5250,379,12
5250,10269,1
5250,10318,1
5250,10319,1
5250,10350,1
5250,10381,1
5250,1220000704,28
5250,1220011200,4
5250,1220013100,1
5250,1220042300,18
5250,1220044500,18
