bin,32_rampL1_stoprows,32_rampL1_qtail,32_ramp_nonL1_stoprows,32_sig_qtail_min,32_sig_stoprows,32_sigL1_qtail,10482_stoprows,10482_rows,10490_stoprows,10490_rows,10481_stoprows,10481_rows,10491_stoprows,10491_rows,L2_2900-4092_stoprows,L2_0-2100_stoprows,31_rampL1_stoprows,31_rampL1_qtail,31_sig_qtail,31_sig_stoprows,10480_stoprows,68_rampL1_stoprows,68_rampL1_qtail,68_sig_qtail,68_sig_stoprows,10646_stoprows,10681_stoprows,69_rampL1_qtail,69_rampL1_stoprows,10644_stoprows,70_stoprows,10639_stoprows,rm_R_D_W,rm_R_D_E,rm_R_F_W,rm_R_F_E,g_SC1001_p1,g_SC1001_p3,g_SC1004_p1,g_SC1004_p3,cnt_32,qt_32,rc_R_D_W,rc_R_F_E,run
0,0,,0,1947.8,3,1947.8,0,32,0,14,,,0,10,,0,0,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,g1
150,0,,0,1895.2,217,1895.2,0,217,0,83,0.0,34.0,1,119,0.0,4,0,,,0,0.0,0.0,,,0.0,0.0,,,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,42.0,1948.1,5.0,0.0,g1
300,0,,0,1275.8,767,1275.8,0,198,0,57,0.0,87.0,0,101,0.0,32,0,,,0,0.0,2.0,235.6,246.6,5.0,0.0,0.0,,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,56.0,1948.0,4.0,0.0,g1
450,0,,0,1717.8,1324,1726.0,0,155,0,58,0.0,112.0,0,153,0.0,106,0,,,0,0.0,1.0,239.4,,0.0,0.0,0.0,,0,12.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,68.0,1867.0,9.0,1.0,g1
600,0,,0,1592.4,2372,1602.4,0,206,0,37,0.0,107.0,1,186,0.0,57,0,,,0,0.0,1.0,310.8,238.5,4.0,0.0,0.0,,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,95.0,1847.7,5.0,1.0,g1
750,0,,0,1546.2,2978,1546.2,0,239,0,80,0.0,122.0,0,197,0.0,57,0,,,0,0.0,8.0,219.5,237.7,7.0,1.0,0.0,,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,141.0,1586.7,6.0,0.0,g1
900,0,,0,1497.8,3102,1497.8,0,183,0,41,123.0,257.0,0,243,0.0,148,0,,,0,1.0,2.0,240.1,246.1,5.0,0.0,0.0,,0,0.0,35.0,0.0,1800.0,1800.0,1800.0,1800.0,22.0,70.7,22.0,70.7,160.0,1542.3,6.0,2.0,g1
1050,1,1267.6,0,1271.4,2862,1271.4,0,253,0,90,230.0,476.0,7,206,0.0,298,0,,,0,0.0,9.0,228.9,234.2,9.0,0.0,0.0,,0,3.0,24.0,0.0,1695.6,1800.0,1800.0,1800.0,24.0,69.4,20.0,71.9,172.0,1499.0,9.0,0.0,g1
1200,0,,0,1474.6,2796,1474.6,0,257,0,125,589.0,955.0,1,264,0.0,663,0,,,0,0.0,2.0,311.3,306.0,3.0,0.0,0.0,,0,5.0,1.0,0.0,1800.0,1800.0,1800.0,1800.0,24.0,69.4,20.0,71.9,170.0,1504.4,13.0,3.0,g1
1350,0,,0,1473.3,2965,1482.8,0,186,0,70,861.0,1266.0,11,333,0.0,1767,0,,,0,0.0,8.0,235.1,322.7,16.0,4.0,0.0,1729.1,2,11.0,1.0,1.0,1800.0,1800.0,1800.0,1800.0,24.0,69.4,20.0,71.9,166.0,1500.3,7.0,1.0,g1
1500,0,,0,1271.8,3107,1271.8,81,319,0,92,1227.0,1635.0,9,313,0.0,2157,1,357.4,352.7,1,19.0,34.0,185.6,238.9,8.0,42.0,1.0,,0,7.0,0.0,2.0,498.4,1800.0,1800.0,1031.6,23.0,72.4,20.0,71.9,174.0,1483.8,7.0,0.0,g1
1650,0,,0,1472.8,3019,1474.7,20,236,0,100,1334.0,1820.0,3,228,0.0,3161,0,,,0,5.0,17.0,5.1,238.4,6.0,6.0,0.0,,0,1.0,5.0,10.0,798.4,1800.0,1800.0,1331.6,23.0,72.4,20.0,71.9,166.0,1504.2,12.0,4.0,g1
1800,0,,0,1272.7,2739,1272.7,11,277,0,134,1294.0,1830.0,1,253,0.0,4040,1,612.7,,0,6.0,5.0,239.6,235.6,4.0,1.0,0.0,1738.9,1,6.0,20.0,2.0,1098.4,1800.0,1800.0,1631.6,23.0,72.4,20.0,71.9,158.0,1505.6,17.0,3.0,g1
1950,0,,0,1494.7,2729,1505.1,0,234,0,91,1377.0,1910.0,2,198,0.0,5125,0,,,0,1.0,23.0,201.5,238.3,12.0,1.0,0.0,,0,2.0,0.0,6.0,1398.4,1800.0,1800.0,1800.0,23.0,72.4,20.0,71.9,157.0,1521.0,15.0,4.0,g1
2100,0,,0,1485.2,2854,1485.2,714,985,23,86,1287.0,1760.0,2,139,0.0,5935,0,,615.0,2,135.0,32.0,218.0,238.7,27.0,302.0,7.0,1718.1,2,127.0,0.0,23.0,0.0,474.8,727.7,237.4,23.0,74.6,20.0,71.9,170.0,1513.6,12.0,1.0,g1
2250,1,1270.8,0,1507.3,2764,1511.7,2068,2179,7,100,1249.0,1712.0,5,144,0.0,5588,1,349.1,,0,509.0,27.0,232.4,228.1,18.0,193.0,45.0,,0,127.0,1.0,84.0,0.0,1057.3,1371.2,211.5,23.0,75.0,20.0,71.9,168.0,1517.9,69.0,7.0,g1
2400,0,,1,1458.5,2896,1481.5,2277,2823,0,98,1038.0,1453.0,6,318,0.0,6608,1,354.6,,0,411.0,14.0,189.2,222.7,3.0,0.0,4.0,1702.3,3,4.0,46.0,63.0,300.0,1357.3,1671.2,511.5,23.0,75.0,24.0,69.4,166.0,1512.1,116.0,7.0,g1
2550,90,961.9,106,981.7,2873,981.7,2155,2914,0,85,1159.0,1608.0,0,220,0.0,7371,1,348.7,353.6,1,279.0,12.0,230.9,239.0,23.0,0.0,0.0,1700.0,1,52.0,74.0,19.0,600.0,1657.3,1800.0,811.5,23.0,75.0,24.0,69.4,175.0,1022.1,112.0,4.0,g1
2700,126,935.3,216,930.9,2770,950.4,1479,2534,0,93,1270.0,1723.0,0,165,0.0,7297,0,,625.4,1,35.0,5.0,230.4,238.6,19.0,0.0,0.0,,0,1.0,108.0,4.0,900.0,1800.0,1800.0,1111.5,23.0,75.0,24.0,69.4,183.0,969.9,107.0,3.0,g1
2850,11,950.4,17,996.1,2821,996.1,573,1634,0,92,922.0,1297.0,5,228,0.0,6903,0,,,0,0.0,7.0,227.8,251.4,4.0,0.0,0.0,1704.3,1,10.0,124.0,3.0,1200.0,1800.0,1800.0,1411.5,23.0,75.0,24.0,69.4,169.0,950.3,80.0,6.0,g1
