link,bin,seg,lane,rows,stopped,mean_speed
2,0,1700,1,1,0,122.88
2,0,1700,2,2,0,123.14
2,0,1700,3,2,0,127.125
2,0,1700,4,1,0,139.78
2,0,1800,1,2,0,133.67
2,0,1800,2,1,0,124.09
2,0,1800,3,1,0,147.66
2,0,1800,4,1,0,126.36
2,0,1900,3,1,0,139.9
2,0,1900,4,2,0,133.07
2,0,2100,3,1,0,139.9
2,0,2100,4,1,0,139.78
2,0,2300,3,1,0,139.9
2,0,2300,4,1,0,139.78
2,150,1700,1,43,0,102.86209
2,150,1700,2,18,0,114.39223
2,150,1700,3,25,0,117.20599
2,150,1700,4,29,0,121.39
2,150,1800,1,56,0,98.12036
2,150,1800,2,18,0,113.593895
2,150,1800,3,27,0,117.45407
2,150,1800,4,20,0,120.1985
2,150,1900,1,67,1,63.38672
2,150,1900,2,25,0,92.2944
2,150,1900,3,21,0,107.41428
2,150,1900,4,27,0,120.58888
2,150,2000,1,18,0,75.47111
2,150,2000,2,22,1,103.13591
2,150,2000,3,28,0,114.45643
2,150,2000,4,22,0,120.461815
2,150,2100,1,9,0,68.35445
2,150,2100,2,9,0,108.138885
2,150,2100,3,22,0,116.82681
2,150,2100,4,25,0,123.0452
2,150,2200,1,9,0,65.55889
2,150,2200,2,21,0,110.10476
2,150,2200,3,25,0,119.046
2,150,2200,4,18,0,120.33278
2,150,2300,1,5,0,77.792
2,150,2300,2,12,0,107.03167
2,150,2300,3,26,0,107.64885
2,150,2300,4,28,0,117.30892
2,150,4200,1,10,0,118.39199
2,150,4200,2,3,0,112.486664
2,150,4200,3,8,0,122.49
2,150,4200,4,4,0,122.1875
2,150,4300,1,6,0,111.655
2,150,4300,2,2,0,116.16
2,150,4300,3,5,0,123.15
2,150,4300,4,3,0,116.69
2,150,4400,1,34,0,48.679707
2,150,4400,2,7,0,66.83
2,150,4400,3,11,0,108.9
2,150,4400,4,8,0,116.167496
2,150,4500,1,19,0,34.744213
2,150,4500,2,8,0,50.835
2,150,4500,3,5,0,123.647995
2,150,4500,4,3,0,102.30666
2,150,4600,1,15,0,42.33867
2,150,4600,2,7,0,53.49286
2,150,4600,3,8,0,124.47
2,150,4600,4,6,0,112.115
2,300,1700,1,54,0,93.849075
2,300,1700,2,26,0,103.27885
2,300,1700,3,27,0,113.18926
2,300,1700,4,26,0,115.14731
2,300,1800,1,76,6,67.170135
2,300,1800,2,23,0,100.651306
2,300,1800,3,30,0,108.187996
2,300,1800,4,28,0,112.70965
2,300,1900,1,108,5,49.892776
2,300,1900,2,24,1,71.485
2,300,1900,3,28,0,91.82322
2,300,1900,4,34,0,103.6653
2,300,2000,1,24,1,59.539997
2,300,2000,2,30,5,61.383
2,300,2000,3,36,0,83.13917
2,300,2000,4,44,0,102.226364
2,300,2100,1,18,0,74.675
2,300,2100,2,24,0,72.65041
2,300,2100,3,35,0,91.17114
2,300,2100,4,34,0,104.22059
2,300,2200,1,26,0,67.73731
2,300,2200,2,25,0,76.216
2,300,2200,3,29,0,93.15345
2,300,2200,4,35,0,99.206
2,300,2300,1,26,0,66.731926
2,300,2300,2,26,0,72.47346
2,300,2300,3,42,0,95.81952
2,300,2300,4,32,0,103.48187
2,300,4200,1,22,0,115.85091
2,300,4200,2,10,0,122.158005
2,300,4200,3,20,0,119.502
2,300,4200,4,18,0,120.052216
2,300,4300,1,27,0,106.85445
2,300,4300,2,11,0,125.13818
2,300,4300,3,10,0,120.436
2,300,4300,4,13,0,121.050766
2,300,4400,1,45,0,70.319115
2,300,4400,2,15,0,103.07867
2,300,4400,3,17,0,117.630585
2,300,4400,4,18,0,120.363335
2,300,4500,1,15,0,44.84667
2,300,4500,2,16,0,112.565
2,300,4500,3,15,0,114.631996
2,300,4500,4,16,0,118.20125
2,300,4600,1,15,0,38.949333
2,300,4600,2,12,0,93.09583
2,300,4600,3,14,0,120.38286
2,300,4600,4,12,0,122.07916
2,450,1700,1,196,76,21.22204
2,450,1700,2,31,0,73.853226
2,450,1700,3,39,0,93.42102
2,450,1700,4,37,0,102.163246
2,450,1800,1,201,78,21.74622
2,450,1800,2,37,0,80.8654
2,450,1800,3,36,0,97.314445
2,450,1800,4,37,0,103.05297
2,450,1900,1,215,75,19.918186
2,450,1900,2,49,5,51.259796
2,450,1900,3,50,1,73.7184
2,450,1900,4,59,3,67.12135
2,450,2000,1,32,4,29.09
2,450,2000,2,28,2,68.119644
2,450,2000,3,48,0,83.267296
2,450,2000,4,42,0,88.07191
2,450,2100,1,20,0,74.779
2,450,2100,2,23,0,84.94174
2,450,2100,3,34,0,91.80529
2,450,2100,4,43,0,98.31069
2,450,2200,1,28,0,78.17643
2,450,2200,2,26,0,77.71731
2,450,2200,3,32,0,97.756874
2,450,2200,4,28,0,101.63536
2,450,2300,1,28,0,90.00358
2,450,2300,2,28,0,68.66679
2,450,2300,3,29,0,88.39483
2,450,2300,4,38,0,103.08579
2,450,4200,1,23,0,116.412605
2,450,4200,2,12,0,117.63917
2,450,4200,3,19,0,118.70684
2,450,4200,4,17,0,120.003525
2,450,4300,1,20,0,111.2795
2,450,4300,2,16,0,118.86188
2,450,4300,3,16,0,117.29063
2,450,4300,4,13,0,122.87769
2,450,4400,1,44,0,61.298634
2,450,4400,2,9,1,71.02111
2,450,4400,3,19,0,110.6758
2,450,4400,4,17,0,119.854706
2,450,4500,1,17,0,59.89588
2,450,4500,2,22,0,90.16181
2,450,4500,3,19,0,116.10316
2,450,4500,4,16,0,111.491875
2,450,4600,1,14,0,46.65214
2,450,4600,2,17,0,86.10529
2,450,4600,3,17,0,107.850586
2,450,4600,4,18,0,109.65889
2,600,1700,1,174,55,22.459942
2,600,1700,2,26,0,82.176155
2,600,1700,3,32,0,99.42687
2,600,1700,4,37,0,106.83513
2,600,1800,1,210,72,19.685097
2,600,1800,2,22,1,89.66228
2,600,1800,3,33,0,102.68879
2,600,1800,4,40,0,110.943504
2,600,1900,1,196,60,20.578724
2,600,1900,2,28,0,87.63178
2,600,1900,3,33,0,103.92273
2,600,1900,4,32,0,103.380936
2,600,2000,1,31,5,36.109356
2,600,2000,2,18,0,87.16556
2,600,2000,3,28,0,110.692856
2,600,2000,4,41,0,112.80195
2,600,2100,1,11,0,95.7909
2,600,2100,2,18,0,83.95
2,600,2100,3,26,0,117.8577
2,600,2100,4,35,0,114.75143
2,600,2200,1,17,0,83.96059
2,600,2200,2,25,0,70.845604
2,600,2200,3,31,0,109.45387
2,600,2200,4,26,0,112.135
2,600,2300,1,17,0,90.22059
2,600,2300,2,18,0,68.05945
2,600,2300,3,34,0,112.07794
2,600,2300,4,40,0,115.0505
2,600,4200,1,25,0,116.8432
2,600,4200,2,8,0,111.96
2,600,4200,3,17,0,118.18823
2,600,4200,4,16,0,116.27687
2,600,4300,1,28,0,111.24322
2,600,4300,2,12,0,114.85
2,600,4300,3,21,0,118.46762
2,600,4300,4,16,0,114.73187
2,600,4400,1,47,1,64.072975
2,600,4400,2,14,2,83.61214
2,600,4400,3,21,0,112.00952
2,600,4400,4,16,0,116.55125
2,600,4500,1,13,0,50.99077
2,600,4500,2,15,0,113.256
2,600,4500,3,16,0,113.56375
2,600,4500,4,18,0,116.100555
2,600,4600,1,13,0,52.46154
2,600,4600,2,11,0,100.99727
2,600,4600,3,21,0,117.219055
2,600,4600,4,15,0,118.64
