link,bin,lane,rows,stopped,mean_speed,qtail_min,nveh
10480,150,1,5,0,43.382,,2
10480,300,1,9,0,44.57,,2
10480,450,1,11,0,47.721817,,4
10480,600,1,23,0,47.471737,,9
10480,750,1,22,0,46.396816,,9
10480,900,1,36,1,41.0275,148.69000244140625,13
10480,1050,1,30,0,39.685337,,14
10480,1200,1,26,0,40.20731,,11
10480,1350,1,42,0,43.300476,,16
10480,1500,1,51,19,21.048431,127.36000061035156,10
10480,1650,1,52,5,32.31769,132.92999267578125,17
10480,1800,1,56,6,33.33857,127.9800033569336,21
10480,1950,1,26,1,41.945766,0.20999999344348907,11
10480,2100,1,164,135,6.3820124,67.93000030517578,14
10480,2250,1,517,509,0.47179884,15.329999923706055,23
10480,2400,1,529,411,2.8513231,15.380000114440918,28
10480,2550,1,370,279,3.6603513,47.91999816894531,25
10480,2700,1,89,35,17.424831,82.47000122070312,20
10480,2850,1,35,0,36.03743,,14
10480,3000,1,39,0,39.149487,,16
10480,3150,1,47,1,40.127872,144.77000427246094,18
10480,3300,1,38,0,40.63974,,15
10480,3450,1,19,0,40.51158,,7
10480,3600,1,25,0,42.338398,,10
10480,3750,1,123,98,7.052033,68.44000244140625,12
10480,3900,1,451,441,0.62487805,10.069999694824219,21
10480,4050,1,512,391,3.102246,10.220000267028809,30
10480,4200,1,595,577,0.34744537,5.670000076293945,23
10480,4350,1,690,690,0.0,5.78000020980835,23
10480,4500,1,690,690,0.0,5.78000020980835,23
10480,4650,1,690,690,0.0,5.78000020980835,23
10480,4800,1,606,476,2.3451154,1.75,33
10480,4950,1,649,632,0.29662555,4.380000114440918,22
10480,5100,1,660,660,0.0,5.510000228881836,22
10480,5250,1,568,438,2.6939614,0.5400000214576721,33
10482,0,2,32,0,42.769375,,7
10482,150,1,76,0,38.47,,13
10482,150,2,141,0,39.927094,,27
10482,300,1,66,0,41.477577,,11
10482,300,2,132,0,40.418865,,24
10482,450,1,66,0,41.721367,,14
10482,450,2,89,0,38.813595,,17
10482,600,1,82,0,41.81939,,14
10482,600,2,124,0,41.95347,,21
10482,750,1,110,0,38.94373,,17
10482,750,2,129,0,39.804184,,23
10482,900,1,69,0,43.031303,,15
10482,900,2,114,0,40.06886,,19
10482,1050,1,107,0,40.55505,,18
10482,1050,2,146,0,40.960342,,26
10482,1200,1,129,0,41.865273,,24
10482,1200,2,128,0,40.29633,,24
10482,1350,1,54,0,42.674442,,11
10482,1350,2,132,0,42.52962,,22
10482,1500,1,154,43,25.974417,349.0199890136719,23
10482,1500,2,165,38,25.929817,349.32000732421875,22
10482,1650,1,102,10,35.174217,361.5899963378906,24
10482,1650,2,134,10,37.48276,360.19000244140625,27
10482,1800,1,111,8,35.32207,372.0199890136719,25
10482,1800,2,166,3,38.721806,366.80999755859375,35
10482,1950,1,90,0,39.14689,,18
10482,1950,2,144,0,41.205345,,32
10482,2100,1,502,371,9.848187,219.85000610351562,33
10482,2100,2,483,343,10.529359,213.2100067138672,33
10482,2250,1,1074,1030,1.3248882,84.81999969482422,48
10482,2250,2,1105,1038,2.1770227,84.41000366210938,51
10482,2400,1,1396,1127,2.333209,16.34000015258789,64
10482,2400,2,1427,1150,2.4377644,1.4299999475479126,64
10482,2550,1,1460,1079,2.9638903,0.28999999165534973,64
10482,2550,2,1454,1076,3.038095,0.8399999737739563,64
10482,2700,1,1272,742,5.849811,1.059999942779541,69
10482,2700,2,1262,737,5.641133,0.6700000166893005,68
10482,2850,1,836,299,11.812034,0.30000001192092896,68
10482,2850,2,798,274,13.456328,0.05000000074505806,68
10482,3000,1,56,7,29.937857,287.0899963378906,17
10482,3000,2,126,5,36.802223,341.6300048828125,27
10482,3150,1,83,0,39.68,,13
10482,3150,2,177,0,41.88469,,32
10482,3300,1,92,0,40.819454,,18
10482,3300,2,109,0,41.056236,,22
10482,3450,1,106,0,39.82566,,19
10482,3450,2,146,0,40.533356,,27
10482,3600,1,110,0,40.888817,,19
10482,3600,2,164,0,41.225548,,29
10482,3750,1,247,173,11.41502,302.6499938964844,15
10482,3750,2,313,226,11.133547,296.8800048828125,18
10482,3900,1,634,579,3.1709464,204.22000122070312,30
10482,3900,2,685,605,4.5229926,198.89999389648438,34
10482,4050,1,783,583,4.15742,187.27999877929688,39
10482,4050,2,794,613,3.5591562,179.11000061035156,40
10482,4200,1,799,754,1.5542678,194.88999938964844,32
10482,4200,2,861,798,2.2875957,190.83999633789062,36
10482,4350,1,1148,1121,0.7343293,94.45999908447266,44
10482,4350,2,1245,1196,1.4070362,95.55000305175781,53
10482,4500,1,1584,1570,0.22895202,2.319999933242798,58
10482,4500,2,1667,1651,0.28904018,10.119999885559082,61
10482,4650,1,1740,1740,0.0,2.319999933242798,58
10482,4650,2,1770,1770,0.0,10.119999885559082,59
10482,4800,1,1544,1301,1.8791386,0.20000000298023224,63
10482,4800,2,1586,1323,1.9654034,0.8999999761581421,65
10482,4950,1,1627,1502,0.9430978,1.0,58
10482,4950,2,1707,1601,0.75099003,0.20999999344348907,60
10482,5100,1,1740,1740,0.0,1.0,58
10482,5100,2,1800,1800,0.0,3.369999885559082,60
10482,5250,1,1537,1285,2.0047755,1.0,62
10482,5250,2,1608,1337,1.9267101,0.05999999865889549,66
10484,0,1,15,0,41.122665,,4
10484,150,1,97,0,40.345154,,15
10484,300,1,101,0,39.80802,,17
10484,450,1,115,0,42.78722,,20
10484,600,1,145,0,37.856346,,22
10484,750,1,83,0,41.561447,,17
10484,900,1,103,0,41.83398,,22
10484,1050,1,230,0,41.33178,,42
10484,1200,1,202,1,41.70772,383.4599914550781,36
10484,1350,1,142,0,40.416904,,25
10484,1500,1,224,0,39.161964,,38
10484,1650,1,203,0,39.833794,,35
10484,1800,1,118,0,40.379917,,21
10484,1950,1,150,0,39.636932,,24
10484,2100,1,261,95,20.213488,296.1199951171875,23
10484,2250,1,239,33,30.445438,319.1199951171875,37
10484,2400,1,191,0,40.33293,,32
10484,2550,1,170,0,41.506058,,31
10484,2700,1,184,0,41.46636,,32
10484,2850,1,137,0,39.12905,,24
10484,3000,1,221,0,39.635475,,37
10484,3150,1,195,0,40.971233,,33
10484,3300,1,177,0,43.197514,,32
10484,3450,1,249,2,37.591404,336.7300109863281,40
10484,3600,1,203,0,39.340244,,35
10484,3750,1,174,47,26.646723,334.989990234375,21
10484,3900,1,174,5,38.871666,357.9100036621094,33
10484,4050,1,171,0,41.793625,,30
10484,4200,1,255,60,23.420315,222.6300048828125,27
10484,4350,1,509,190,16.113852,248.32000732421875,50
10484,4500,1,578,245,14.968096,223.05999755859375,49
10484,4650,1,266,73,21.293308,216.94000244140625,37
10484,4800,1,82,0,40.224266,,15
10484,4950,1,234,75,23.001623,293.9800109863281,25
10484,5100,1,295,77,22.345423,293.1499938964844,36
10484,5250,1,238,63,23.953068,329.239990234375,27
10490,0,1,14,0,42.394287,,4
10490,150,1,83,0,36.288555,,17
10490,300,1,57,0,41.048595,,14
10490,450,1,58,0,42.072067,,13
10490,600,1,37,0,42.443516,,9
10490,750,1,80,0,43.634876,,16
