link,bin,rows_nc,stopped_nc,mean_speed_nc,ttt_nc,rows_g1,stopped_g1,mean_speed_g1,ttt_g1,d
1,150,8.0,0.0,71.0025,0.011111111111111112,8.0,0.0,71.0025,0.011111111111111112,0.0
1,300,15.0,0.0,83.05067,0.020833333333333332,15.0,0.0,83.05067,0.020833333333333332,0.0
1,450,18.0,0.0,61.672775,0.025,18.0,0.0,61.672775,0.025,0.0
1,600,13.0,0.0,68.426926,0.018055555555555554,13.0,0.0,68.426926,0.018055555555555554,0.0
1,750,22.0,0.0,51.09364,0.030555555555555555,22.0,0.0,51.09364,0.030555555555555555,0.0
1,900,14.0,0.0,66.207146,0.019444444444444445,24.0,0.0,56.837498,0.03333333333333333,0.013888888888888888
1,1050,31.0,0.0,51.940323,0.043055555555555555,45.0,0.0,51.319107,0.0625,0.019444444444444445
1,1200,37.0,0.0,53.80297,0.05138888888888889,28.0,0.0,54.987144,0.03888888888888889,-0.012499999999999997
1,1350,33.0,0.0,52.85212,0.04583333333333333,29.0,0.0,67.14241,0.04027777777777778,-0.00555555555555555
1,1500,24.0,0.0,61.793747,0.03333333333333333,23.0,0.0,57.64261,0.03194444444444444,-0.001388888888888891
1,1650,22.0,0.0,58.215908,0.030555555555555555,34.0,0.0,51.320293,0.04722222222222222,0.016666666666666666
1,1800,30.0,0.0,64.736,0.041666666666666664,42.0,0.0,53.91738,0.058333333333333334,0.01666666666666667
1,1950,49.0,0.0,53.62653,0.06805555555555555,30.0,0.0,63.565998,0.041666666666666664,-0.026388888888888885
1,2100,14.0,0.0,68.50357,0.019444444444444445,37.0,0.0,54.898647,0.05138888888888889,0.03194444444444444
1,2250,37.0,0.0,59.05676,0.05138888888888889,28.0,0.0,55.364998,0.03888888888888889,-0.012499999999999997
1,2400,40.0,0.0,58.741997,0.05555555555555555,34.0,0.0,60.345,0.04722222222222222,-0.008333333333333331
1,2550,29.0,0.0,54.597584,0.04027777777777778,36.0,0.0,60.334446,0.05,0.009722222222222222
1,2700,24.0,0.0,72.3125,0.03333333333333333,30.0,0.0,57.502,0.041666666666666664,0.008333333333333331
1,2850,41.0,0.0,51.280975,0.05694444444444444,33.0,0.0,78.18818,0.04583333333333333,-0.011111111111111113
1,3000,39.0,0.0,60.113075,0.05416666666666667,33.0,0.0,60.518486,0.04583333333333333,-0.008333333333333338
