link,bin,lane,cls,rows,stopped,qtail_min,qhead_max,nveh
32,450,2,ramp,218,0,,,28
32,450,2,signal,683,402,1725.050048828125,1954.18994140625,82
32,450,3,ramp,16,0,,,10
32,450,3,signal,811,524,1739.0899658203125,1953.93994140625,51
32,600,1,ramp,411,0,,,42
32,600,1,signal,1024,692,1626.18994140625,1954.0400390625,85
32,600,2,ramp,369,0,,,38
32,600,2,signal,1021,647,1626.199951171875,1954.5400390625,100
32,600,3,ramp,37,0,,,17
32,600,3,signal,1078,853,1620.219970703125,1954.06005859375,67
32,750,1,ramp,315,0,,,35
32,750,1,signal,1329,1012,1545.3499755859375,1954.0400390625,102
32,750,2,ramp,304,0,,,35
32,750,2,signal,1362,1029,1543.72998046875,1954.5400390625,112
32,750,3,ramp,22,0,,,14
32,750,3,signal,1430,1114,1555.949951171875,1953.6600341796875,87
32,900,1,ramp,469,0,,,46
32,900,1,signal,1506,1012,1501.3900146484375,1954.25,110
32,900,2,ramp,381,0,,,39
32,900,2,signal,1440,941,1505.010009765625,1954.1300048828125,110
32,900,3,ramp,34,0,,,18
32,900,3,signal,1570,1175,1513.1800537109375,1954.1400146484375,80
32,1050,1,ramp,584,2,1268.9000244140625,1273.68994140625,67
32,1050,1,signal,1365,850,1479.530029296875,1954.25,105
32,1050,2,ramp,519,0,,,63
32,1050,2,signal,1427,843,1478.3499755859375,1953.989990234375,119
32,1050,3,ramp,74,0,,,25
32,1050,3,signal,1664,1194,1481.699951171875,1954.1199951171875,84
32,1200,1,ramp,477,0,,,51
32,1200,1,signal,1379,920,1504.030029296875,1954.239990234375,106
32,1200,2,ramp,351,0,,,45
32,1200,2,signal,1514,992,1494.219970703125,1954.4200439453125,120
32,1200,3,ramp,32,0,,,16
32,1200,3,signal,1530,1033,1493.219970703125,1954.1099853515625,78
32,1350,1,ramp,468,2,1272.1300048828125,1273.260009765625,50
32,1350,1,signal,1586,939,1495.510009765625,1954.1700439453125,119
32,1350,2,ramp,349,0,,,46
32,1350,2,signal,1453,869,1501.949951171875,1954.4200439453125,116
32,1350,3,ramp,47,0,,,20
32,1350,3,signal,1469,1065,1490.9200439453125,1953.800048828125,72
32,1500,1,ramp,573,1,1266.93994140625,1266.93994140625,50
32,1500,1,signal,1683,1120,1271.2099609375,1954.1700439453125,119
32,1500,2,ramp,339,0,,,42
32,1500,2,signal,1552,952,1443.030029296875,1953.949951171875,123
32,1500,3,ramp,49,0,,,20
32,1500,3,signal,1673,1257,1444.719970703125,1954.18994140625,76
32,1650,1,ramp,489,0,,,55
32,1650,1,signal,1414,909,1270.449951171875,1954.27001953125,107
32,1650,2,ramp,368,0,,,42
