bin,32_rampL1_stoprows,32_rampL1_qtail,32_ramp_nonL1_stoprows,32_sig_qtail_min,32_sig_stoprows,32_sigL1_qtail,10482_stoprows,10482_rows,10490_stoprows,10490_rows,10481_stoprows,10481_rows,10491_stoprows,10491_rows,L2_2900-4092_stoprows,L2_0-2100_stoprows,31_rampL1_stoprows,31_rampL1_qtail,31_sig_qtail,31_sig_stoprows,10480_stoprows,68_rampL1_stoprows,68_rampL1_qtail,68_sig_qtail,68_sig_stoprows,10646_stoprows,10681_stoprows,69_rampL1_qtail,69_rampL1_stoprows,10644_stoprows,70_stoprows,10639_stoprows,rm_R_D_W,rm_R_D_E,rm_R_F_W,rm_R_F_E,g_SC1001_p1,g_SC1001_p3,g_SC1004_p1,g_SC1004_p3,cnt_32,qt_32,rc_R_D_W,rc_R_F_E,run
0,0,,0,1947.8,3,1947.8,0,32,0,14,,,0,10,,0,0,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,nc
150,0,,0,1895.2,217,1895.2,0,217,0,83,0.0,34.0,1,119,0.0,4,0,,,0,0.0,0.0,,,0.0,0.0,,,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,42.0,1948.1,5.0,0.0,nc
300,0,,0,1275.8,767,1275.8,0,198,0,57,0.0,87.0,0,101,0.0,32,0,,,0,0.0,2.0,235.6,246.6,5.0,0.0,0.0,,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,56.0,1948.0,4.0,0.0,nc
450,0,,0,1717.8,1324,1726.0,0,155,0,58,0.0,112.0,0,153,0.0,106,0,,,0,0.0,1.0,239.4,,0.0,0.0,0.0,,0,12.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,68.0,1867.0,9.0,1.0,nc
600,0,,0,1592.4,2372,1602.4,0,206,0,37,0.0,107.0,1,186,0.0,57,0,,,0,0.0,1.0,310.8,238.5,4.0,0.0,0.0,,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,95.0,1847.7,5.0,1.0,nc
750,0,,0,1546.2,2978,1546.2,0,239,0,80,0.0,122.0,0,197,0.0,57,0,,,0,0.0,8.0,219.5,237.7,7.0,1.0,0.0,,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,141.0,1586.7,6.0,0.0,nc
900,0,,0,1497.8,3738,1497.8,0,184,0,40,123.0,258.0,0,225,0.0,143,3,596.6,616.7,1,0.0,5.0,14.8,237.7,10.0,3.0,0.0,,0,0.0,70.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,160.0,1542.3,6.0,2.0,nc
1050,0,,0,1446.9,4104,1448.9,0,255,0,95,484.0,753.0,27,245,0.0,363,1,624.0,,0,0.0,10.0,207.5,7.7,1.0,0.0,0.0,,0,4.0,3.0,1.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,201.0,1497.8,8.0,0.0,nc
1200,1,1273.7,0,1423.3,4241,1425.5,0,257,0,123,1236.0,1556.0,2,211,0.0,796,0,,616.7,1,1.0,7.0,211.4,239.5,4.0,4.0,0.0,,0,9.0,63.0,9.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,212.0,1467.9,12.0,1.0,nc
1350,1,1275.2,0,1409.8,4579,1409.8,0,186,0,69,1880.0,2264.0,15,280,0.0,1915,0,,,0,0.0,12.0,205.8,5.3,4.0,0.0,0.0,1729.1,2,3.0,2.0,3.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,211.0,1450.9,9.0,1.0,nc
1500,0,,0,1272.1,5064,1272.1,0,215,0,79,2283.0,2710.0,24,343,0.0,2581,0,,,0,0.0,61.0,155.8,164.1,18.0,0.0,0.0,,0,7.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,224.0,1420.8,8.0,1.0,nc
1650,5,1274.4,0,1298.2,5394,1324.3,0,205,0,91,2666.0,3073.0,73,359,0.0,3721,0,,,0,0.0,87.0,179.4,232.5,62.0,0.0,0.0,,0,0.0,0.0,10.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,237.0,1274.4,6.0,2.0,nc
1800,38,1252.8,0,1271.9,5706,1271.9,0,255,0,99,3065.0,3534.0,112,361,13.0,5234,1,627.5,,0,0.0,20.0,197.6,201.2,29.0,1.0,0.0,1738.9,1,0.0,7.0,24.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,256.0,1352.7,15.0,3.0,nc
1950,47,1250.5,0,1293.0,5715,1293.0,0,231,0,63,3362.0,3751.0,250,508,478.0,6195,0,,,0,0.0,28.0,221.6,238.5,77.0,1.0,0.0,,0,0.0,4.0,28.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,247.0,1339.0,16.0,4.0,nc
2100,86,1256.2,0,1271.4,5808,1271.4,0,325,0,51,3254.0,3678.0,318,582,1011.0,7036,0,,,0,0.0,32.0,2.7,246.2,28.0,0.0,0.0,1718.1,2,0.0,0.0,7.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,267.0,1345.8,11.0,4.0,nc
2250,172,1211.3,1,1283.7,5759,1287.9,0,250,0,52,3199.0,3671.0,459,691,1590.0,7832,0,,,0,0.0,65.0,4.2,218.9,52.0,2.0,0.0,,0,5.0,0.0,36.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,272.0,1288.0,8.0,4.0,nc
2400,77,1250.6,0,1270.3,5703,1270.3,0,221,0,115,3272.0,3688.0,340,649,2089.0,8861,0,,,0,12.0,42.0,182.4,239.1,37.0,0.0,2.0,1702.3,3,0.0,0.0,87.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,260.0,1362.5,11.0,6.0,nc
2550,63,1255.5,7,1285.9,5726,1285.9,0,309,0,51,3360.0,3738.0,386,611,2862.0,10430,0,,,0,5.0,68.0,2.4,238.0,39.0,0.0,0.0,1700.0,1,10.0,19.0,152.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,260.0,1345.1,15.0,8.0,nc
2700,48,1272.3,0,1270.7,5740,1270.7,0,271,0,58,3322.0,3713.0,264,507,3246.0,11559,0,,,0,0.0,28.0,205.7,257.8,12.0,2.0,0.0,,0,0.0,0.0,30.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,250.0,1349.7,13.0,8.0,nc
2850,181,1261.9,0,1270.5,5668,1270.5,0,231,0,57,3257.0,3736.0,392,689,3605.0,11972,0,,,0,2.0,16.0,13.5,237.9,15.0,0.0,0.0,1704.3,1,10.0,1.0,26.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,261.0,1312.7,8.0,5.0,nc
3000,28,1274.8,0,1271.5,5758,1271.5,0,139,0,44,3206.0,3750.0,267,614,3976.0,12249,2,620.0,,0,24.0,14.0,227.8,242.9,24.0,1.0,0.0,,0,4.0,0.0,6.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,238.0,1356.6,12.0,1.0,nc
3150,95,1254.3,0,1271.5,5885,1271.5,0,260,0,33,3291.0,3781.0,357,612,3746.0,12266,1,364.4,,0,0.0,56.0,178.2,242.3,25.0,1.0,0.0,1729.6,1,5.0,6.0,4.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,260.0,1312.6,8.0,2.0,nc
3300,102,1262.9,0,1270.9,5798,1270.9,0,201,0,53,3379.0,3809.0,308,596,4064.0,12029,0,,,0,4.0,16.0,231.4,297.0,6.0,0.0,0.0,,0,0.0,4.0,26.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,260.0,1271.2,5.0,3.0,nc
3450,31,1256.0,0,1271.7,5954,1271.7,1,253,0,38,3370.0,3797.0,305,575,4354.0,11569,2,327.7,384.5,2,0.0,20.0,194.3,198.9,29.0,0.0,0.0,,0,0.0,13.0,7.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,261.0,1342.7,10.0,4.0,nc
