bin,rows,nveh,stopped
0,14591,990,1692
150,40785,1912,6149
300,58413,2673,9690
450,68567,3115,13176
600,76338,3445,16306
750,82318,3625,19161
900,91449,4144,22162
1050,105090,4691,26293
1200,118032,5069,31564
1350,127672,5436,37124
1500,136781,5733,42296
1650,145642,6007,48556
1800,154645,6387,52062
1950,164793,6662,58071
2100,173119,6921,65770
2250,182667,7261,72605
2400,191972,7531,79505
2550,194369,7630,83041
2700,197052,7650,85991
2850,197201,7641,86372
3000,196511,7625,86373
3150,197227,7646,88809
3300,197510,7593,90717
3450,199213,7687,92248
3600,198276,7513,92464
3750,193721,7402,91149
3900,190477,7268,91675
4050,189214,7184,92093
4200,190375,7238,93533
4350,190051,7199,94111
4500,189824,7141,95974
4650,187754,7028,96534
4800,185136,6956,95185
4950,186139,6958,96263
5100,184122,6948,95221
5250,181998,6855,92449
