t,rm_R_D_W,rm_R_F_W,rm_R_D_E,rm_R_F_E,g_SC5_p1,g_SC5_p2,g_SC5_p3,g_SC5_p4,g_SC101_p1,g_SC101_p2,g_SC101_p3,g_SC101_p4,g_SC105_p1,g_SC105_p2,g_SC105_p3,g_SC105_p4,g_SC1001_p1,g_SC1001_p2,g_SC1001_p3,g_SC1001_p4,g_SC1002_p1,g_SC1002_p2,g_SC1002_p3,g_SC1002_p4,g_SC1004_p1,g_SC1004_p2,g_SC1004_p3,g_SC1004_p4,cnt_32,stp_32,qt_32,fcnt_32,cnt_31,stp_31,qt_31,fcnt_31,cnt_68,stp_68,qt_68,fcnt_68,cnt_69,stp_69,qt_69,fcnt_69,cnt_70,stp_70,qt_70,fcnt_70,cnt_420,stp_420,qt_420,fcnt_420,cnt_329,stp_329,qt_329,fcnt_329,cnt_66,stp_66,qt_66,fcnt_66,rc_R_D_W,rc_R_D_E,rc_R_F_W,rc_R_F_E,rc_D,rc_F,stopped_vehicles,total_vehicles
1,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,0,0,0.0,,0,0,0.0,,0,0,0.0,,,,,,0,0,0.0,,0,0,0.0,,0,0,0.0,,1,0,0.0,1,0,0,0,0,0,0,0,8
150,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,42,2,1948.072685,42.0,9,0,0.0,9.0,0,0,0.0,,,,,41.0,0,0,0.0,,0,0,0.0,,0,0,0.0,,25,0,0.0,25,5,6,0,0,11,0,134,988
300,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,56,4,1947.982799,56.0,15,0,0.0,15.0,36,0,0.0,36.0,,,,34.0,1,0,0.0,1.0,8,0,0.0,8.0,0,0,0.0,,42,8,2628.112438,42,4,3,15,0,7,15,242,1701
450,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,68,19,1866.957856,68.0,38,0,0.0,38.0,40,0,0.0,40.0,,,,41.0,5,0,0.0,5.0,27,0,0.0,27.0,0,0,0.0,,50,16,2569.604785,50,9,5,19,1,14,20,375,2163
600,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,95,32,1847.697486,95.0,28,0,0.0,28.0,44,0,0.0,44.0,,,,32.0,1,0,0.0,1.0,23,0,0.0,23.0,2,0,0.0,2.0,51,23,2531.163163,51,5,6,26,1,11,27,496,2416
750,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,141,71,1586.656243,141.0,50,0,0.0,50.0,53,1,340.786953,53.0,,,,39.0,2,0,0.0,2.0,21,0,0.0,21.0,10,3,0.09878,10.0,65,27,2498.271286,65,6,7,17,0,13,17,551,2682
900,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,160,85,1542.294705,160.0,46,0,0.0,46.0,39,3,333.951492,39.0,,,,32.0,1,0,0.0,1.0,26,0,0.0,26.0,7,0,0.0,7.0,73,31,2477.759839,73,6,4,18,2,10,20,648,2796
1050,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,201,112,1497.823952,201.0,42,0,0.0,42.0,43,0,0.0,43.0,,,,60.0,2,0,0.0,2.0,15,0,0.0,15.0,9,2,1.706955,9.0,81,41,2441.778413,81,8,9,27,0,17,27,830,3297
1200,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,212,116,1467.906059,212.0,43,0,0.0,43.0,67,1,218.285405,67.0,,,,61.0,2,0,0.0,2.0,25,6,680.584548,25.0,13,6,73.3558,13.0,90,41,2416.338191,90,12,14,31,1,26,32,1004,3758
1350,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,211,127,1450.858009,211.0,32,0,0.0,32.0,40,0,0.0,40.0,,,,78.0,8,1,333.148696,8.0,30,3,673.74797,30.0,20,3,38.055236,20.0,107,51,2224.706241,107,9,4,27,1,13,28,1086,4135
1500,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,224,140,1420.759517,224.0,27,0,0.0,27.0,40,1,347.003984,40.0,,,,55.0,2,0,0.0,2.0,27,1,713.182174,27.0,27,15,0.372364,27.0,120,71,2097.20044,120,8,7,44,1,15,45,1297,4389
1650,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,237,146,1274.378382,237.0,34,0,0.0,34.0,65,20,187.627584,65.0,,,,52.0,2,0,0.0,2.0,19,0,0.0,19.0,26,17,1.804438,26.0,121,79,2062.510159,121,6,11,38,2,17,40,1460,4665
1800,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,256,173,1352.72305,256.0,37,0,0.0,37.0,61,11,280.849125,61.0,,,,58.0,7,0,0.0,7.0,22,0,0.0,22.0,37,25,0.924558,37.0,135,88,1970.035109,135,15,9,25,3,24,28,1629,5009
1950,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,247,164,1339.043589,247.0,34,0,0.0,34.0,76,9,268.152978,76.0,,,,70.0,7,1,313.403103,7.0,28,7,689.296107,28.0,40,23,2.274525,40.0,155,96,1800.663784,155,16,5,28,4,21,32,1762,5361
2100,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,267,165,1345.772742,267.0,25,0,0.0,25.0,67,10,293.471427,67.0,,,,65.0,7,0,0.0,7.0,32,4,698.690703,32.0,43,26,2.585652,43.0,172,110,1722.393035,172,11,9,23,4,20,27,2019,5643
2250,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,272,168,1288.000965,272.0,42,0,0.0,42.0,64,14,209.066432,64.0,,,,57.0,5,0,0.0,5.0,27,4,692.643134,27.0,47,27,0.786492,47.0,181,113,1706.838641,181,8,5,35,4,13,39,2095,5925
2400,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,260,168,1362.527161,260.0,29,0,0.0,29.0,79,11,182.414958,79.0,,,,62.0,8,0,0.0,8.0,31,4,692.729075,31.0,61,49,0.751546,61.0,200,125,1694.86111,200,11,12,30,6,23,36,2275,6341
2550,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,260,156,1345.08204,260.0,20,0,0.0,20.0,75,18,206.306124,75.0,,,,75.0,7,0,0.0,7.0,28,6,681.474166,28.0,63,47,3.342027,63.0,207,133,1684.357423,207,15,9,23,8,24,31,2419,6534
2700,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,250,154,1349.670606,250.0,28,0,0.0,28.0,71,12,221.424679,71.0,,,,64.0,3,0,0.0,3.0,28,0,0.0,28.0,61,42,0.929995,61.0,212,147,1698.117019,212,13,17,31,8,30,39,2608,6687
2850,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,261,165,1312.661051,261.0,20,0,0.0,20.0,39,2,335.030032,39.0,,,,63.0,8,0,0.0,8.0,20,0,0.0,20.0,61,47,2.747962,61.0,222,154,1697.714893,222,8,4,32,5,12,37,2767,6745
3000,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,238,164,1356.640146,238.0,34,0,0.0,34.0,47,1,328.082842,47.0,,,,51.0,2,0,0.0,2.0,20,0,0.0,20.0,60,39,2.372388,60.0,236,169,1682.115909,236,12,10,38,1,22,39,2888,6782
3150,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,260,161,1312.619624,260.0,46,0,0.0,46.0,49,9,268.565462,49.0,,,,53.0,1,0,0.0,1.0,17,0,0.0,17.0,59,39,1.360709,59.0,260,180,1682.957822,260,8,5,24,2,13,26,2891,6784
3300,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,260,172,1271.215946,260.0,32,0,0.0,32.0,63,4,244.278317,63.0,,,,51.0,0,0,0.0,,29,0,0.0,29.0,55,41,0.9748,55.0,278,196,1678.614889,278,5,9,24,3,14,27,3040,6895
3450,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,261,168,1342.683323,261.0,37,0,0.0,37.0,42,3,334.413052,42.0,,,,52.0,10,0,0.0,10.0,16,0,0.0,16.0,56,41,2.269292,56.0,277,217,1669.735676,277,10,12,30,4,22,34,3042,6972
3600,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,278,174,1292.893257,278.0,60,0,0.0,60.0,40,6,321.310225,40.0,,,,48.0,2,0,0.0,2.0,24,0,0.0,24.0,60,41,0.202245,60.0,298,230,1691.943094,298,10,11,36,1,21,37,3111,7086
3750,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,261,174,1282.464101,261.0,28,0,0.0,28.0,42,1,339.482413,42.0,,,,32.0,5,1,331.445778,5.0,29,0,0.0,29.0,56,37,2.265333,56.0,299,248,1701.209123,299,5,7,23,2,12,25,3007,6885
3900,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,249,171,1329.60075,249.0,14,0,0.0,14.0,54,2,322.984628,54.0,,,,54.0,5,1,331.285239,5.0,19,0,0.0,19.0,60,43,0.914945,60.0,299,246,1729.475361,299,4,7,19,0,11,19,3050,6852
4050,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,241,172,1343.217297,241.0,33,0,0.0,33.0,46,1,347.003984,46.0,,,,22.0,6,0,0.0,6.0,22,0,0.0,22.0,64,44,0.105921,64.0,301,250,1711.119799,301,7,15,30,3,22,33,3009,6657
4200,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,232,145,1351.118895,232.0,20,0,0.0,20.0,51,3,237.722738,51.0,,,,31.0,1,0,0.0,1.0,28,0,0.0,28.0,63,48,0.134743,63.0,297,246,1686.54326,297,7,7,23,1,14,24,3064,6614
4350,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,242,161,1329.11515,242.0,21,0,0.0,21.0,40,5,291.286713,40.0,,,,42.0,2,0,0.0,2.0,18,0,0.0,18.0,58,38,1.036177,58.0,302,241,1732.104328,302,13,7,17,1,20,18,3037,6611
4500,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,256,161,1290.146196,256.0,31,0,0.0,31.0,50,4,261.824462,50.0,,,,41.0,1,0,0.0,1.0,12,0,0.0,12.0,48,32,1.387577,48.0,301,245,1717.736187,301,6,5,21,3,11,24,2981,6681
4650,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,236,160,1343.327993,236.0,37,0,0.0,37.0,49,8,315.749011,49.0,,,,26.0,5,0,0.0,5.0,16,0,0.0,16.0,56,37,5.706228,56.0,290,244,1737.093403,290,8,14,23,1,22,24,2983,6587
4800,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,250,171,1301.746277,250.0,38,0,0.0,38.0,33,0,0.0,33.0,,,,27.0,1,0,0.0,1.0,23,2,709.476442,23.0,58,40,2.045543,58.0,289,234,1769.356302,289,8,5,18,2,13,20,2953,6389
4950,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,246,174,1335.968845,246.0,26,0,0.0,26.0,43,0,0.0,43.0,,,,23.0,0,0,0.0,,17,0,0.0,17.0,59,40,1.410258,59.0,283,237,1754.509566,283,5,6,11,2,11,13,2809,6269
5100,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,243,176,1337.089153,243.0,21,0,0.0,21.0,56,7,284.702141,56.0,,,,23.0,4,0,0.0,4.0,27,0,0.0,27.0,62,44,0.801457,62.0,276,231,1774.997735,276,5,3,12,2,8,14,2813,6241
5250,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,239,160,1345.501785,239.0,31,0,0.0,31.0,47,4,245.126907,47.0,,,,29.0,4,0,0.0,4.0,24,0,0.0,24.0,57,32,4.779433,57.0,276,227,1782.20022,276,6,14,7,3,20,10,2720,6199
5400,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,235,168,1315.545402,235.0,20,0,0.0,20.0,51,2,305.686005,51.0,,,,32.0,3,0,0.0,3.0,22,0,0.0,22.0,61,42,3.043609,61.0,271,233,1762.858588,271,3,2,14,1,5,15,2824,6196
