bin,corridor SC5-SC101-SC1002-SC105,freeway 26/2/24,link 420 (SC105 appr),link 66 (SC1004 S),other connectors,other links,ramp approach 32/31/68/69/70,ramp connectors,total
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,-0.1,0.2,0.1,-0.2,0.3,0.2,-0.6,0.1,0.0
1050,0.4,0.1,0.6,-0.2,-0.6,0.4,-1.2,-0.1,-0.6000000000000001
1200,0.7,-0.7,1.3,-0.2,-0.5,1.5,-1.9,-0.1,0.10000000000000009
1350,0.9,-1.4,2.3,-0.2,-1.0,1.4,-1.7,0.1,0.3999999999999997
1500,0.5,-1.5,3.0,-0.2,-1.2,3.2,-3.2,0.4,0.9999999999999996
1650,0.4,-1.2,3.5,-0.3,-2.2,3.6,-4.1,0.1,-0.1999999999999993
1800,0.4,-1.0,3.2,-0.3,-2.7,4.1,-4.2,-0.0,-0.5000000000000004
1950,0.2,-1.2,3.1,-0.3,-2.7,3.7,-4.2,-0.0,-1.4
2100,-0.3,-4.0,3.3,-0.3,-2.2,4.7,-4.0,2.3,-0.5
2250,-0.1,-6.6,3.5,-0.2,-2.7,4.7,-4.0,4.4,-0.9999999999999991
2400,-0.3,-10.3,4.2,-0.2,-2.9,6.1,-3.4,4.2,-2.6000000000000014
2550,-0.4,-13.3,5.8,-0.4,-2.1,4.5,-2.4,4.1,-4.200000000000001
2700,0.3,-13.5,6.6,-0.5,-3.0,4.1,-2.2,3.0,-5.2
2850,0.1,-13.8,7.2,-0.5,-2.6,3.5,-3.0,1.9,-7.200000000000001
3000,1.0,-13.7,7.8,-0.5,-3.1,2.6,-3.2,0.1,-9.0
3150,1.5,-15.9,7.5,-0.5,-2.7,3.1,-4.4,0.1,-11.3
3300,1.1,-18.7,7.4,-0.3,-2.8,0.9,-3.0,0.0,-15.399999999999997
3450,1.3,-17.2,7.2,-0.4,-3.1,-1.8,-2.4,0.1,-16.299999999999997
3600,1.9,-17.1,7.0,-0.5,-1.7,-4.4,-2.1,0.1,-16.800000000000004
3750,2.9,-20.4,7.8,-0.5,-1.5,-6.6,-0.9,0.9,-18.299999999999997
3900,3.5,-19.8,8.5,-0.6,-2.1,-5.5,-3.3,2.5,-16.799999999999997
4050,3.3,-17.5,8.9,-0.5,-2.2,-5.2,-3.8,2.9,-14.1
4200,2.8,-20.1,9.3,-0.5,-1.6,-2.5,-2.5,3.3,-11.8
4350,2.2,-23.2,9.4,-0.5,-1.0,-4.6,-1.6,5.1,-14.2
4500,2.0,-25.6,9.4,-0.4,-1.7,-4.3,-1.4,6.5,-15.500000000000002
4650,1.3,-26.8,9.7,-0.4,0.3,-0.1,-1.7,6.2,-11.500000000000004
4800,0.9,-24.8,10.3,-0.2,0.4,1.6,0.0,5.4,-6.4
4950,1.4,-24.1,9.8,-0.3,1.6,2.6,-0.2,5.9,-3.3000000000000025
5100,1.3,-25.8,9.7,-0.4,1.8,3.3,-0.4,6.5,-4.000000000000002
5250,1.2,-29.3,9.6,-0.2,2.6,4.8,-0.6,6.8,-5.100000000000001
