link,bin,rows,stopped,mean_speed
1,150,8,0,71.0025
1,300,11,0,75.652725
1,450,19,0,59.87579
1,600,18,0,65.92556
1,750,17,0,51.29353
1,900,22,0,75.28409
1,1050,39,0,53.626408
1,1200,32,0,67.47781
1,1350,29,0,60.618275
1,1500,27,0,58.68667
1,1650,26,0,62.961155
1,1800,31,0,69.866776
1,1950,36,0,61.41
1,2100,34,0,49.255585
1,2250,32,0,60.297188
1,2400,35,0,64.556
1,2550,27,0,54.421852
1,2700,33,0,64.186966
1,2850,45,0,53.72978
1,3000,35,0,60.152
1,3150,27,0,65.85926
1,3300,25,0,64.3624
1,3450,32,0,65.88469
1,3600,27,0,62.27815
1,3750,26,0,56.221153
1,3900,28,0,57.20857
1,4050,21,0,62.485237
1,4200,36,0,51.058334
1,4350,32,0,63.112186
1,4500,30,0,52.293003
1,4650,25,0,50.521202
1,4800,13,0,71.47
1,4950,26,0,67.87346
1,5100,37,0,59.995678
1,5250,21,0,52.62381
2,0,405,0,119.96975
2,150,4034,2,109.99229
2,300,5700,35,100.72846
2,450,6160,293,93.21377
2,600,5897,226,97.546234
2,750,6851,512,87.26193
2,900,8111,921,72.307465
2,1050,10348,1581,60.90936
2,1200,13965,3436,42.948772
2,1350,16858,5643,30.001955
2,1500,18920,7242,22.918297
2,1650,20031,7518,23.679565
2,1800,20120,8266,21.38674
2,1950,21020,9596,20.059958
2,2100,21144,10303,16.353813
2,2250,22581,11638,15.296635
2,2400,23915,12809,15.046562
2,2550,24592,13327,14.659943
2,2700,24972,14501,13.411665
2,2850,25158,14885,12.713597
2,3000,24921,14612,12.280542
2,3150,24736,14673,12.600659
2,3300,24612,14539,12.727612
2,3450,23609,13112,13.662957
2,3600,22744,12733,13.323973
2,3750,22788,13155,13.108148
2,3900,23596,13707,14.0767145
2,4050,24097,13898,14.131905
2,4200,25309,15548,12.312731
2,4350,26450,16186,13.033804
2,4500,26171,15634,13.878895
2,4650,25397,15393,11.693205
2,4800,25526,16094,11.291206
2,4950,25456,15756,11.415072
2,5100,25848,16263,11.322086
2,5250,25696,15780,11.768988
3,0,16,0,40.605
3,150,21,0,40.20905
3,300,18,0,42.23833
3,450,20,0,41.612
3,600,15,0,42.15867
3,750,14,0,42.682858
3,900,19,0,42.099476
3,1050,24,0,40.256252
3,1200,13,0,42.333847
3,1350,32,0,41.28344
3,1500,25,0,41.697998
3,1650,28,0,42.221428
3,1800,31,0,42.169353
3,1950,23,0,41.85087
3,2100,25,0,40.3788
3,2250,31,0,39.787422
3,2400,36,0,41.70778
3,2550,29,0,42.569656
3,2700,24,0,41.448334
3,2850,15,0,42.970665
3,3000,11,0,41.79091
3,3150,25,0,41.8444
3,3300,16,0,43.8275
3,3450,23,0,40.43174
3,3600,15,0,39.232
3,3750,15,0,42.308
3,3900,14,0,41.572144
3,4050,11,0,43.022728
3,4200,21,0,40.01905
3,4350,24,0,41.338333
3,4500,19,0,40.24842
3,4650,16,0,41.16375
3,4800,11,0,40.662727
