t,rm_R_D_W,rm_R_F_W,rm_R_D_E,rm_R_F_E,g_SC5_p1,g_SC5_p2,g_SC5_p3,g_SC5_p4,g_SC101_p1,g_SC101_p2,g_SC101_p3,g_SC101_p4,g_SC105_p1,g_SC105_p2,g_SC105_p3,g_SC105_p4,g_SC1001_p1,g_SC1001_p2,g_SC1001_p3,g_SC1001_p4,g_SC1002_p1,g_SC1002_p2,g_SC1002_p3,g_SC1002_p4,g_SC1004_p1,g_SC1004_p2,g_SC1004_p3,g_SC1004_p4,cnt_32,stp_32,qt_32,fcnt_32,cnt_31,stp_31,qt_31,fcnt_31,cnt_68,stp_68,qt_68,fcnt_68,cnt_69,stp_69,qt_69,fcnt_69,cnt_70,stp_70,qt_70,fcnt_70,cnt_420,stp_420,qt_420,fcnt_420,cnt_329,stp_329,qt_329,fcnt_329,cnt_66,stp_66,qt_66,fcnt_66,rc_R_D_W,rc_R_D_E,rc_R_F_W,rc_R_F_E,rc_D,rc_F,stopped_vehicles,total_vehicles
1,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,0,0,0.0,,,,,,,,,,,,,,,,,,0,0,0.0,,0,0,0.0,,1,0,0.0,1,0,0,0,0,0,0,0,8
150,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,42,2,1948.072685,42.0,,,,9.0,,,,,,,,41.0,,,,,0,0,0.0,,0,0,0.0,,25,0,0.0,25,5,6,0,0,11,0,134,988
300,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,56,4,1942.747346,56.0,,,,15.0,,,,36.0,,,,34.0,,,,1.0,8,0,0.0,8.0,0,0,0.0,,42,8,2628.112438,42,4,3,18,0,7,18,243,1702
450,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,67,22,1883.383092,67.0,,,,36.0,,,,33.0,,,,42.0,,,,3.0,25,0,0.0,25.0,0,0,0.0,,50,16,2569.604785,50,10,5,17,1,15,18,373,2158
600,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,89,31,1773.5837,89.0,,,,27.0,,,,36.0,,,,32.0,,,,,25,0,0.0,25.0,2,0,0.0,2.0,51,23,2531.163163,51,4,6,29,1,10,30,493,2436
750,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,142,58,1620.736898,142.0,,,,45.0,,,,54.0,,,,42.0,,,,1.0,25,0,0.0,25.0,10,3,0.09878,10.0,65,27,2498.271286,65,6,4,11,0,10,11,548,2726
900,1800.0,1800.0,1800.0,1800.0,46.0,34.666666666666664,34.666666666666664,22.666666666666664,22.0,22.666666666666664,52.666666666666664,40.666666666666664,34.0,40.666666666666664,40.666666666666664,22.666666666666664,22.0,22.666666666666664,70.66666666666666,22.666666666666664,22.0,22.666666666666664,58.666666666666664,34.666666666666664,22.0,22.666666666666664,70.66666666666666,22.666666666666664,161,82,1543.73243,161.0,,,,41.0,,,,49.0,,,,32.0,,,,,16,0,0.0,16.0,7,0,0.0,7.0,73,31,2477.759839,73,5,7,14,2,12,16,649,2838
1050,1800.0,1800.0,1800.0,1800.0,46.0,28.666666666666664,40.666666666666664,22.666666666666664,34.0,22.666666666666664,52.666666666666664,28.666666666666664,34.0,46.666666666666664,34.666666666666664,22.666666666666664,22.0,22.666666666666668,70.66666666666667,22.666666666666668,22.0,22.666666666666664,70.66666666666666,22.666666666666664,22.0,22.666666666666668,70.66666666666667,22.666666666666668,173,60,1501.385648,173.0,,,,40.0,,,,54.0,,,,61.0,,,,7.0,27,0,0.0,27.0,4,0,0.0,4.0,81,41,2442.109729,81,7,8,20,0,15,20,963,3360
1200,1800.0,1800.0,1800.0,1800.0,46.0,28.666666666666664,40.666666666666664,22.666666666666664,40.0,22.666666666666664,52.666666666666664,22.666666666666664,34.0,46.666666666666664,34.666666666666664,22.666666666666664,22.0,22.666666666666664,70.66666666666666,22.666666666666664,22.0,22.666666666666664,70.66666666666666,22.666666666666664,22.0,22.666666666666664,70.66666666666666,22.666666666666664,175,65,1524.565086,175.0,,,,45.0,,,,51.0,,,,62.0,,,,5.0,37,12,636.45471,37.0,12,3,4.553154,12.0,91,46,2391.648326,91,13,19,31,2,32,33,1142,3845
1350,0.0,710.0020885177703,364.99895574111486,364.99895574111486,52.0,22.666666666666664,40.666666666666664,22.666666666666664,40.0,22.666666666666664,52.666666666666664,22.666666666666664,34.0,46.666666666666664,34.666666666666664,22.666666666666664,24.0,22.275862068965516,69.44827586206897,22.275862068965516,46.0,22.666666666666664,46.66666666666666,22.666666666666664,20.0,23.057471264367813,71.88505747126436,23.057471264367813,160,45,1514.90534,160.0,,,,37.0,,,,40.0,,,,87.0,,,,14.0,57,30,648.730983,57.0,19,6,66.185242,19.0,107,55,2310.045347,107,6,3,25,2,9,27,1287,4298
