link,bin,lane,rows,stopped,mean_speed,qtail_min,nveh
10480,150,1,5,0,43.382,,2
10480,300,1,7,0,44.111427,,2
10480,450,1,16,0,43.303123,,5
10480,600,1,24,1,43.489166,147.47000122070312,10
10480,750,1,23,0,45.624783,,8
10480,900,1,31,1,42.01419,143.3699951171875,11
10480,1050,1,41,0,43.73927,,16
10480,1200,1,23,0,39.95174,,8
10480,1350,1,172,145,5.295523,73.58000183105469,13
10480,1500,1,445,437,0.5217528,3.2300000190734863,23
10480,1650,1,553,439,2.6787522,1.309999942779541,31
10480,1800,1,551,414,3.002069,2.5399999618530273,35
10480,1950,1,668,646,0.38252994,2.009999990463257,24
10480,2100,1,720,720,0.0,2.009999990463257,24
10480,2250,1,638,516,2.2266614,1.190000057220459,34
10480,2400,1,609,465,2.9402134,0.9100000262260437,37
10480,2550,1,735,714,0.33327892,2.569999933242798,25
10480,2700,1,626,514,2.0007188,0.05999999865889549,33
10480,2850,1,641,626,0.27154446,0.3700000047683716,22
10480,3000,1,566,423,2.704099,0.9700000286102295,32
10480,3150,1,517,376,3.1276402,0.10999999940395355,34
10480,3300,1,620,606,0.24704838,0.5799999833106995,21
10480,3450,1,630,630,0.0,1.2899999618530273,21
10480,3600,1,630,630,0.0,1.2899999618530273,21
10480,3750,1,630,630,0.0,1.2899999618530273,21
10480,3900,1,630,630,0.0,1.2899999618530273,21
10480,4050,1,630,630,0.0,1.2899999618530273,21
10480,4200,1,572,431,2.9322727,0.46000000834465027,35
10480,4350,1,618,498,2.2620711,0.5299999713897705,32
10480,4500,1,677,660,0.2985081,1.2400000095367432,23
10480,4650,1,690,690,0.0,3.890000104904175,23
10480,4800,1,690,690,0.0,3.890000104904175,23
10480,4950,1,690,690,0.0,3.890000104904175,23
10480,5100,1,690,690,0.0,3.890000104904175,23
10480,5250,1,690,690,0.0,3.890000104904175,23
10482,0,1,3,0,42.736668,,1
10482,0,2,25,0,42.209198,,6
10482,150,1,75,0,39.041733,,15
10482,150,2,149,0,39.262077,,27
10482,300,1,69,0,40.315796,,11
10482,300,2,132,0,41.207653,,24
10482,450,1,84,0,41.035954,,17
10482,450,2,69,0,39.15348,,14
10482,600,1,121,0,41.828102,,21
10482,600,2,80,0,41.625626,,14
10482,750,1,121,0,41.034462,,22
10482,750,2,123,0,37.07016,,21
10482,900,1,99,0,42.82939,,17
10482,900,2,81,0,40.505802,,17
10482,1050,1,88,0,40.26682,,16
10482,1050,2,162,0,40.899197,,31
10482,1200,1,96,0,38.90604,,17
10482,1200,2,168,0,41.15375,,30
10482,1350,1,266,194,10.62579,307.67999267578125,17
10482,1350,2,304,199,13.245921,297.04998779296875,22
10482,1500,1,769,701,3.123134,185.07000732421875,33
10482,1500,2,764,688,3.6389008,190.35000610351562,38
10482,1650,1,1009,784,3.6988404,136.52999877929688,50
10482,1650,2,970,736,4.276443,140.11000061035156,54
10482,1800,1,1044,709,4.5372605,117.87000274658203,58
10482,1800,2,989,667,5.6799192,113.05999755859375,64
10482,1950,1,1299,1205,1.0452117,66.66999816894531,52
10482,1950,2,1365,1265,1.7295532,48.97999954223633,61
10482,2100,1,1711,1705,0.08717124,7.349999904632568,58
10482,2100,2,1792,1787,0.061925225,1.25,61
10482,2250,1,1547,1340,1.7325275,0.23000000417232513,63
10482,2250,2,1628,1367,1.9419472,0.8500000238418579,65
10482,2400,1,1392,1059,2.9002728,0.699999988079071,62
10482,2400,2,1526,1131,3.242097,0.25,67
10482,2550,1,1526,1429,0.7198755,0.3199999928474426,53
10482,2550,2,1773,1652,0.8836323,0.07000000029802322,62
10482,2700,1,1402,1135,2.3957846,2.7200000286102295,59
10482,2700,2,1687,1459,1.6059039,0.49000000953674316,67
10482,2850,1,1554,1459,0.7606821,0.3799999952316284,55
10482,2850,2,1789,1667,0.7977474,0.41999998688697815,64
10482,3000,1,1450,1193,2.0987792,0.3799999952316284,59
10482,3000,2,1689,1441,1.7265956,0.9700000286102295,68
10482,3150,1,1372,999,3.1479008,0.8700000047683716,61
10482,3150,2,1554,1153,3.0874388,1.4600000381469727,69
10482,3300,1,1630,1523,0.8118589,0.6200000047683716,58
10482,3300,2,1781,1661,0.8420662,0.009999999776482582,63
10482,3450,1,1740,1740,0.0,3.0299999713897705,58
10482,3450,2,1890,1890,0.0,1.850000023841858,63
10482,3600,1,1740,1740,0.0,3.0299999713897705,58
10482,3600,2,1890,1890,0.0,1.850000023841858,63
10482,3750,1,1740,1740,0.0,3.0299999713897705,58
10482,3750,2,1890,1890,0.0,1.850000023841858,63
10482,3900,1,1740,1740,0.0,3.0299999713897705,58
10482,3900,2,1890,1890,0.0,1.850000023841858,63
10482,4050,1,1740,1740,0.0,3.0299999713897705,58
10482,4050,2,1890,1890,0.0,1.850000023841858,63
10482,4200,1,1544,1252,2.1963148,0.009999999776482582,63
10482,4200,2,1682,1452,1.5886564,0.3499999940395355,67
10482,4350,1,1470,1072,3.1796393,0.49000000953674316,65
10482,4350,2,1534,1160,2.8929725,0.10000000149011612,65
10482,4500,1,1714,1576,0.9261785,1.7899999618530273,61
10482,4500,2,1643,1544,0.769087,0.23999999463558197,57
10482,4650,1,1830,1830,0.0,4.039999961853027,61
10482,4650,2,1710,1710,0.0,3.7200000286102295,57
10482,4800,1,1830,1830,0.0,4.039999961853027,61
10482,4800,2,1710,1710,0.0,3.7200000286102295,57
10482,4950,1,1830,1830,0.0,4.039999961853027,61
10482,4950,2,1710,1710,0.0,3.7200000286102295,57
10482,5100,1,1830,1830,0.0,4.039999961853027,61
10482,5100,2,1710,1710,0.0,3.7200000286102295,57
10482,5250,1,1830,1830,0.0,4.039999961853027,61
10482,5250,2,1710,1710,0.0,3.7200000286102295,57
10484,0,1,15,0,41.122665,,4
10484,150,1,97,0,40.35897,,15
10484,300,1,108,0,39.9375,,18
10484,450,1,132,0,41.966515,,22
10484,600,1,152,0,38.772762,,23
10484,750,1,73,0,41.903835,,16
10484,900,1,110,0,41.751545,,24
10484,1050,1,168,0,41.09488,,32
10484,1200,1,184,0,43.25342,,33
10484,1350,1,276,78,24.598442,283.6000061035156,30
10484,1500,1,252,33,30.179167,262.8999938964844,45
10484,1650,1,214,4,37.90112,328.42999267578125,33
10484,1800,1,139,0,39.61964,,24
10484,1950,1,189,33,28.21254,282.4200134277344,26
10484,2100,1,486,148,17.123169,240.13999938964844,42
10484,2250,1,175,28,27.042686,305.20001220703125,29
10484,2400,1,178,0,40.172867,,30
10484,2550,1,193,13,34.94565,350.55999755859375,30
10484,2700,1,189,2,38.52836,375.20001220703125,34
