seg,rows_ramp,rows_signal,stopped_ramp,stopped_signal,L1_ramp_share,L1_stop_ramp_share,L23_rows_ramp,L23_rows_signal,L23_stopped_ramp,L23_stopped_signal,veh_h_L1,veh_h_L23,run
-100,1.0,0.0,0.0,0.0,1.0,,,,,,0.001388888888888889,,nc
0,497.0,78.0,0.0,0.0,0.8643478260869565,,1021.0,139.0,0.0,0.0,0.7986111111111112,1.6111111111111112,nc
100,533.0,80.0,0.0,0.0,0.8694942903752039,,1071.0,136.0,0.0,0.0,0.8513888888888889,1.676388888888889,nc
200,536.0,84.0,0.0,0.0,0.864516129032258,,1072.0,132.0,0.0,0.0,0.8611111111111112,1.6722222222222223,nc
300,516.0,83.0,0.0,0.0,0.8614357262103506,,1095.0,134.0,0.0,0.0,0.8319444444444445,1.7069444444444444,nc
400,517.0,82.0,0.0,0.0,0.8631051752921536,,1124.0,128.0,0.0,0.0,0.8319444444444445,1.738888888888889,nc
500,516.0,78.0,0.0,0.0,0.8686868686868687,,1110.0,138.0,0.0,0.0,0.825,1.7333333333333334,nc
600,512.0,72.0,0.0,0.0,0.8767123287671232,,1122.0,147.0,0.0,0.0,0.8111111111111111,1.7625,nc
700,490.0,75.0,0.0,0.0,0.8672566371681416,,1134.0,133.0,0.0,0.0,0.7847222222222222,1.7597222222222222,nc
800,563.0,97.0,0.0,0.0,0.853030303030303,,1080.0,122.0,0.0,0.0,0.9166666666666666,1.6694444444444445,nc
900,627.0,86.0,0.0,0.0,0.879382889200561,,1052.0,115.0,0.0,0.0,0.9902777777777778,1.6208333333333333,nc
1000,267.0,88.0,0.0,0.0,0.752112676056338,,482.0,116.0,0.0,0.0,0.4930555555555556,0.8305555555555556,nc
1100,193.0,99.0,0.0,0.0,0.660958904109589,,197.0,112.0,0.0,0.0,0.40555555555555556,0.42916666666666664,nc
1200,1480.0,1035.0,897.0,447.0,0.588469184890656,0.6674107142857143,19.0,1048.0,6.0,558.0,3.4930555555555554,1.4819444444444445,nc
1300,1081.0,7211.0,856.0,6107.0,0.1303666184273999,0.1229355163004452,22.0,15855.0,16.0,12806.0,11.516666666666667,22.051388888888887,nc
1400,0.0,9252.0,0.0,7947.0,0.0,0.0,0.0,18077.0,0.0,14826.0,12.85,25.106944444444444,nc
1500,0.0,9050.0,0.0,7483.0,0.0,0.0,0.0,17696.0,0.0,14169.0,12.569444444444445,24.57777777777778,nc
1600,0.0,8304.0,0.0,6894.0,0.0,0.0,0.0,17040.0,0.0,13433.0,11.533333333333333,23.666666666666668,nc
