link,bin,rows,stopped,mean_speed
1,150,8,0,71.0025
1,300,15,0,83.05067
1,450,18,0,61.672775
1,600,13,0,68.426926
1,750,22,0,51.09364
1,900,14,0,66.207146
1,1050,31,0,51.940323
1,1200,37,0,53.80297
1,1350,33,0,52.85212
1,1500,24,0,61.793747
1,1650,22,0,58.215908
1,1800,30,0,64.736
1,1950,49,0,53.62653
1,2100,14,0,68.50357
1,2250,37,0,59.05676
1,2400,40,0,58.741997
1,2550,29,0,54.597584
1,2700,24,0,72.3125
1,2850,41,0,51.280975
1,3000,39,0,60.113075
1,3150,28,0,54.22036
1,3300,32,0,63.08344
1,3450,21,0,64.53476
1,3600,32,0,51.769062
1,3750,33,0,50.099697
1,3900,39,0,58.782566
1,4050,27,0,58.059628
1,4200,29,0,53.309654
1,4350,13,0,62.80385
1,4500,36,0,53.780834
1,4650,26,0,62.01192
1,4800,17,0,58.09647
1,4950,32,0,53.139374
1,5100,36,0,52.531666
1,5250,29,0,53.653793
2,0,405,0,119.96975
2,150,4045,4,109.2008
2,300,5712,32,101.37911
2,450,5779,107,101.4965
2,600,5257,60,106.80225
2,750,6057,58,100.76039
2,900,6623,152,92.3701
2,1050,8140,367,87.99852
2,1200,10196,799,70.597626
2,1350,11338,1919,52.520397
2,1500,13795,2582,40.36653
2,1650,15520,3738,33.929295
2,1800,16914,5251,28.406376
2,1950,18794,6673,24.850288
2,2100,20421,8047,20.923622
2,2250,21778,9423,19.961748
2,2400,23568,10952,18.088797
2,2550,25152,13292,14.397731
2,2700,26673,14805,14.139573
2,2850,27400,15577,13.458426
2,3000,27778,16225,12.12756
2,3150,27831,16012,12.605089
2,3300,27932,16094,12.725199
2,3450,27864,15923,12.829195
2,3600,26964,14564,14.239957
2,3750,27390,14454,14.419154
2,3900,27538,14464,14.882392
2,4050,27712,14832,14.025058
2,4200,29038,15950,13.430328
2,4350,29808,16622,12.552101
2,4500,30603,17109,12.956573
2,4650,31453,17797,12.272887
2,4800,31858,18404,10.979898
2,4950,31742,17933,12.748995
2,5100,31716,17557,12.87602
2,5250,32643,18327,12.191863
3,0,16,0,40.605
3,150,21,0,40.20905
3,300,18,0,42.23833
3,450,20,0,41.612
3,600,15,0,42.15867
3,750,14,0,42.682858
3,900,19,0,42.099476
3,1050,24,0,40.256252
3,1200,13,0,42.333847
3,1350,32,0,41.28344
3,1500,25,0,41.697998
3,1650,28,0,42.221428
3,1800,31,0,42.169353
3,1950,23,0,41.85087
3,2100,25,0,40.3788
3,2250,31,0,39.787422
3,2400,36,0,41.70778
3,2550,29,0,42.569656
3,2700,24,0,41.448334
3,2850,15,0,42.970665
3,3000,11,0,41.79091
3,3150,25,0,41.8444
3,3300,16,0,43.8275
3,3450,23,0,40.43174
3,3600,15,0,39.232
3,3750,15,0,42.308
3,3900,14,0,41.572144
3,4050,11,0,43.022728
3,4200,21,0,40.01905
3,4350,24,0,41.338333
3,4500,19,0,40.24842
3,4650,16,0,41.16375
3,4800,11,0,40.662727
3,4950,7,0,38.96857
3,5100,13,0,42.806923
3,5250,16,0,43.0525
4,150,5,0,42.076
4,300,2,0,40.434998
4,450,2,0,43.695
4,600,1,0,44.23
4,750,4,0,43.2975
4,900,2,0,38.46
4,1050,8,0,41.00875
4,1200,4,0,43.39
4,1350,2,0,40.88
4,1500,5,0,40.338
4,1650,9,0,39.47667
4,1800,8,0,40.43
4,1950,7,0,42.43714
4,2100,8,0,45.175
4,2250,6,0,41.308334
4,2400,6,0,48.966663
4,2550,7,0,38.66286
4,2700,4,0,42.97
4,2850,1,0,33.82
4,3000,4,0,43.0175
4,3150,9,0,40.133335
4,3300,4,0,46.375
4,3450,3,0,36.899998
4,3600,4,0,43.03
4,3750,1,0,40.53
4,3900,4,0,40.5375
4,4050,4,0,43.747498
4,4200,1,0,46.1
4,4350,6,0,41.508335
4,4500,5,0,43.664
4,4650,2,0,43.225
4,4800,3,0,43.710003
4,5100,2,0,40.989998
4,5250,1,0,67.77
5,0,3,0,44.836666
5,150,7,0,41.16143
5,300,5,0,40.858
5,450,7,0,42.271427
5,600,7,0,42.075714
5,750,5,0,42.856
5,900,5,0,41.834
5,1050,7,0,41.284283
5,1200,4,0,43.405
5,1350,11,0,42.225456
5,1500,8,0,41.34625
5,1650,10,0,41.481
5,1800,11,0,42.26909
5,1950,6,0,41.0
5,2100,10,0,40.429
5,2250,13,0,40.134617
5,2400,11,0,41.45909
5,2550,8,0,41.4375
5,2700,8,0,40.127502
5,2850,5,0,43.64
5,3000,6,0,41.535
5,3150,5,0,42.138
5,3300,7,0,42.637142
5,3450,8,0,37.785
5,3600,3,0,38.24
5,3750,5,0,42.938
5,3900,1,0,41.23
5,4050,2,0,43.64
5,4200,8,0,40.4425
5,4350,9,0,41.30111
5,4500,7,0,41.079998
5,4650,4,0,42.502502
5,4800,2,0,37.515
5,4950,2,0,35.75
5,5100,5,0,43.038002
5,5250,5,0,43.564003
6,0,5,0,40.808002
6,150,5,0,39.496
6,300,7,0,41.57
6,450,6,0,41.001667
6,600,2,0,44.565002
6,750,2,0,42.195
6,900,7,0,41.768574
6,1050,6,0,40.938335
6,1200,5,0,43.624
6,1350,6,0,42.09
6,1500,7,0,42.677143
6,1650,8,0,42.33875
6,1800,7,0,42.77429
6,1950,8,0,42.17125
6,2100,5,0,40.278
6,2250,5,0,38.948
6,2400,9,0,41.99222
6,2550,8,0,43.1475
6,2700,8,0,41.69375
6,2850,4,0,43.4875
6,3000,2,0,40.585
6,3150,7,0,42.817142
6,3300,5,0,42.36
6,3450,5,0,39.426003
6,3600,3,0,38.176666
6,3750,5,0,43.014
6,3900,6,0,41.086666
6,4050,5,0,43.332
6,4200,6,0,43.265
6,4350,3,0,39.59667
6,4500,3,0,43.286667
6,4650,4,0,43.645
6,4800,3,0,45.053333
6,4950,2,0,38.645
6,5100,4,0,41.9525
6,5250,2,0,40.29
7,150,2,0,43.61
7,450,3,0,39.936665
7,750,2,0,40.16
7,900,1,0,44.11
7,1050,3,0,41.65333
7,1200,4,0,41.260002
7,1350,2,0,43.88
7,1500,3,0,39.783333
7,1650,7,0,41.625713
7,1800,5,0,38.797997
7,1950,4,0,39.629997
7,2100,6,0,41.523335
7,2250,5,0,42.34
7,2400,4,0,42.685
7,2550,2,0,37.935
7,2700,2,0,30.57
7,2850,2,0,42.465
7,3000,2,0,39.339996
7,3150,7,0,40.857143
7,3300,1,0,42.0
7,3450,5,0,36.988
7,3600,2,0,38.42
7,3750,2,0,41.760002
7,3900,3,0,41.02667
7,4050,2,0,41.239998
7,4200,2,0,39.915
7,4350,3,0,40.649998
7,4500,2,0,42.754997
7,4650,2,0,38.54
7,4800,1,0,74.3
7,5250,1,0,41.51
8,150,1,0,44.31
8,450,4,0,39.1325
8,750,1,0,46.15
8,900,1,0,44.47
8,1050,4,0,41.46
