t,rm_R_D_W,rm_R_F_W,rm_R_D_E,rm_R_F_E,g_SC5_p1,g_SC5_p2,g_SC5_p3,g_SC5_p4,g_SC101_p1,g_SC101_p2,g_SC101_p3,g_SC101_p4,g_SC105_p1,g_SC105_p2,g_SC105_p3,g_SC105_p4,g_SC1001_p1,g_SC1001_p2,g_SC1001_p3,g_SC1001_p4,g_SC1002_p1,g_SC1002_p2,g_SC1002_p3,g_SC1002_p4,g_SC1004_p1,g_SC1004_p2,g_SC1004_p3,g_SC1004_p4,cnt_32,stp_32,qt_32,fcnt_32,cnt_31,stp_31,qt_31,fcnt_31,cnt_68,stp_68,qt_68,fcnt_68,cnt_69,stp_69,qt_69,fcnt_69,cnt_70,stp_70,qt_70,fcnt_70,cnt_420,stp_420,qt_420,fcnt_420,cnt_329,stp_329,qt_329,fcnt_329,cnt_66,stp_66,qt_66,fcnt_66,rc_R_D_W,rc_R_D_E,rc_R_F_W,rc_R_F_E,rc_D,rc_F,stopped_vehicles,total_vehicles
1500,498.4054061416841,1800.0,1800.0,1031.5945938583159,46.0,22.666666666666664,46.666666666666664,22.666666666666664,70.0,22.666666666666664,22.666666666666664,22.666666666666664,40.0,22.666666666666664,40.666666666666664,34.666666666666664,23.0,21.298850574712645,72.40229885057471,21.298850574712645,52.0,22.666666666666668,40.66666666666666,22.666666666666668,20.0,23.057471264367813,71.88505747126436,23.057471264367813,174,70,1483.804606,174.0,,,,41.0,,,,52.0,,,,55.0,,,,11.0,84,60,572.377902,84.0,20,12,3.252246,20.0,119,70,2099.03448,119,7,8,36,0,15,36,1463,4415
1650,798.4054061416841,1800.0,1800.0,1331.5945938583159,52.0,22.666666666666664,40.666666666666664,22.666666666666664,70.0,22.666666666666664,22.666666666666664,22.666666666666664,46.0,28.666666666666664,40.666666666666664,22.666666666666664,23.0,21.298850574712645,72.40229885057471,21.298850574712645,46.0,22.666666666666668,46.66666666666666,22.666666666666668,20.0,23.057471264367813,71.88505747126436,23.057471264367813,166,72,1504.171015,166.0,,,,47.0,,,,48.0,,,,52.0,,,,11.0,104,79,520.475527,104.0,29,15,0.494332,29.0,118,74,2070.743582,118,12,16,44,4,28,48,1649,4716
1800,1098.4054061416841,1800.0,1800.0,1631.5945938583159,52.0,22.666666666666664,40.666666666666664,22.666666666666664,64.0,22.666666666666664,28.666666666666664,22.666666666666664,46.0,28.666666666666664,40.666666666666664,22.666666666666664,23.0,21.298850574712645,72.40229885057471,21.298850574712645,46.0,22.66666666666667,46.66666666666666,22.66666666666667,20.0,23.057471264367813,71.88505747126436,23.057471264367813,158,63,1505.562086,158.0,,,,36.0,,,,53.0,,,,58.0,,,,10.0,95,53,570.481135,95.0,38,29,3.314357,38.0,131,86,1986.133219,131,17,9,24,3,26,27,1724,4999
1950,1398.4054061416841,1800.0,1800.0,1800.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,64.0,22.666666666666664,28.666666666666664,22.666666666666664,46.0,28.666666666666664,40.666666666666664,22.666666666666664,23.0,21.298850574712645,72.40229885057471,21.298850574712645,46.0,22.666666666666675,46.66666666666665,22.666666666666675,20.0,23.057471264367813,71.88505747126436,23.057471264367813,157,69,1520.966713,157.0,,,,40.0,,,,66.0,,,,70.0,,,,13.0,103,52,385.962293,103.0,43,28,3.425434,43.0,151,102,1891.121473,151,15,6,29,4,21,33,1894,5316
2100,0.0,727.7446078547703,474.8369280968199,237.41846404840993,52.0,22.666666666666664,40.666666666666664,22.666666666666664,64.0,22.666666666666664,28.666666666666664,22.666666666666664,46.0,28.666666666666664,40.666666666666664,22.666666666666664,23.0,20.187606196901548,74.6247876061969,20.187606196901548,40.0,22.666666666666675,52.66666666666665,22.666666666666675,20.0,23.057471264367813,71.88505747126436,23.057471264367813,170,66,1513.556835,170.0,,,,24.0,,,,57.0,,,,65.0,,,,11.0,107,60,509.952293,107.0,46,33,0.030867,46.0,168,113,1801.086305,168,12,6,24,1,18,25,2046,5600
2250,0.0,1371.2337407049613,1057.3052160791988,211.4610432158397,52.0,22.666666666666664,40.666666666666664,22.666666666666664,64.0,28.666666666666664,22.666666666666664,22.666666666666664,40.0,28.666666666666664,40.666666666666664,28.666666666666664,23.0,20.0,75.0,20.0,40.0,22.66666666666667,52.66666666666666,22.66666666666667,20.0,23.057471264367813,71.88505747126436,23.057471264367813,168,66,1517.923777,168.0,,,,48.0,,,,48.0,,,,57.0,,,,6.0,99,61,571.070563,99.0,50,35,2.503685,50.0,178,122,1751.371835,178,69,10,73,7,79,80,2308,5970
2400,300.0,1671.2337407049613,1357.3052160791988,511.4610432158397,52.0,22.666666666666664,40.666666666666664,22.666666666666664,58.0,22.666666666666664,28.666666666666664,28.666666666666664,28.0,22.666666666666664,34.666666666666664,52.666666666666664,23.0,20.0,75.0,20.0,40.0,22.66666666666667,52.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,166,70,1512.092447,166.0,,,,32.0,,,,56.0,,,,62.0,,,,14.0,116,75,367.385425,116.0,59,37,0.420967,59.0,199,133,1728.840967,199,116,7,27,7,123,34,2386,6271
2550,600.0,1800.0,1657.3052160791988,811.4610432158397,52.0,22.666666666666664,40.666666666666664,22.666666666666664,58.0,34.666666666666664,22.666666666666664,22.666666666666664,34.0,34.666666666666664,40.666666666666664,28.666666666666664,23.0,20.0,75.0,20.0,34.0,22.66666666666667,58.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,175,66,1022.131664,175.0,,,,41.0,,,,60.0,,,,75.0,,,,7.0,151,107,343.419582,151.0,56,45,1.571368,56.0,204,137,1722.833516,204,112,7,24,4,119,28,2590,6515
2700,900.0,1800.0,1800.0,1111.4610432158397,52.0,22.666666666666664,40.666666666666664,22.666666666666664,58.0,22.666666666666664,34.666666666666664,22.666666666666664,34.0,40.666666666666664,40.666666666666664,22.666666666666664,23.0,20.0,75.0,20.0,22.0,22.66666666666667,70.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,183,79,969.907782,183.0,,,,37.0,,,,65.0,,,,64.0,,,,16.0,170,126,249.518871,170.0,59,52,0.254429,59.0,204,153,1711.456029,204,107,9,29,3,116,32,2599,6547
2850,1200.0,1800.0,1800.0,1411.4610432158397,52.0,22.666666666666664,40.666666666666664,22.666666666666664,58.0,22.666666666666664,34.666666666666664,22.666666666666664,34.0,40.666666666666664,40.666666666666664,22.666666666666664,23.0,20.0,75.0,20.0,40.0,22.66666666666667,52.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,169,65,950.267199,169.0,,,,35.0,,,,54.0,,,,63.0,,,,15.0,175,133,256.207548,175.0,60,43,3.977509,60.0,214,150,1729.919421,214,80,6,30,6,86,36,2657,6627
3000,1500.0,1800.0,1800.0,1711.4610432158397,52.0,22.666666666666664,40.666666666666664,22.666666666666664,58.0,34.666666666666664,22.666666666666664,22.666666666666664,46.0,28.666666666666664,40.666666666666664,22.666666666666664,23.0,20.0,75.0,20.0,22.0,22.66666666666667,70.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,148,62,1517.615116,148.0,,,,50.0,,,,61.0,,,,51.0,,,,13.0,199,152,191.825138,199.0,60,44,2.614114,60.0,227,156,1729.795966,227,21,9,39,1,30,40,2779,6606
3150,1800.0,1800.0,1800.0,1800.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,40.0,22.666666666666664,46.666666666666664,28.666666666666664,46.0,28.666666666666664,40.666666666666664,22.666666666666664,23.0,20.0,75.0,20.0,40.0,22.66666666666667,52.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,155,55,1533.247644,155.0,,,,31.0,,,,44.0,,,,53.0,,,,12.0,204,151,141.831144,204.0,65,53,1.950571,65.0,250,170,1674.725931,250,8,8,29,2,16,31,2818,6593
3300,1800.0,1800.0,1800.0,1800.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,34.0,22.666666666666664,46.666666666666664,34.666666666666664,46.0,28.666666666666664,40.666666666666664,22.666666666666664,23.0,20.0,75.0,20.0,40.0,22.66666666666667,52.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,162,54,1519.536809,162.0,,,,35.0,,,,48.0,,,,51.0,,,,20.0,202,147,167.158141,202.0,65,54,0.016252,65.0,270,188,1670.963216,270,6,10,23,5,16,28,2820,6646
3450,1800.0,1800.0,1800.0,1800.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,34.0,22.666666666666664,40.666666666666664,40.666666666666664,46.0,28.666666666666664,40.666666666666664,22.666666666666664,77.0,20.0,21.0,20.0,40.0,22.66666666666667,52.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,153,52,1539.107462,153.0,,,,46.0,,,,55.0,,,,52.0,,,,28.0,194,143,176.526627,194.0,60,50,1.708355,60.0,273,208,1667.398655,273,8,6,35,2,14,37,2859,6578
3600,1800.0,1800.0,1800.0,1800.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,34.0,22.666666666666664,40.666666666666664,40.666666666666664,34.0,22.666666666666664,40.666666666666664,40.666666666666664,25.0,21.311475409836067,70.37704918032787,21.311475409836067,46.0,22.66666666666667,46.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,223,147,1529.146691,223.0,,,,33.0,,,,57.0,,,,48.0,,,,30.0,186,148,203.05925,186.0,66,51,1.219073,66.0,291,222,1671.052778,291,8,12,38,1,20,39,2972,6737
3750,0.0,656.1753696892572,391.9123151553714,391.9123151553714,52.0,22.666666666666664,40.666666666666664,22.666666666666664,40.0,46.666666666666664,22.666666666666664,28.666666666666664,34.0,22.666666666666664,40.666666666666664,40.666666666666664,23.0,20.55708689975337,73.88582620049326,20.55708689975337,40.0,22.666666666666675,52.66666666666665,22.666666666666675,20.0,23.057471264367813,71.88505747126436,23.057471264367813,181,88,1464.729522,181.0,,,,35.0,,,,70.0,,,,32.0,,,,32.0,207,158,193.300804,207.0,59,51,0.737913,59.0,291,241,1691.776277,291,4,5,15,1,9,16,2798,6481
3900,0.0,1215.3346374879486,1424.6653625120514,0.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,22.0,22.666666666666664,22.666666666666664,70.66666666666666,40.0,22.666666666666664,52.666666666666664,22.666666666666664,23.0,20.0,75.0,20.0,40.0,22.66666666666667,52.66666666666666,22.66666666666667,20.0,23.057471264367813,71.88505747126436,23.057471264367813,161,72,1486.524447,161.0,,,,47.0,,,,61.0,,,,54.0,,,,20.0,219,175,142.551895,219.0,64,55,0.911762,64.0,289,241,1762.922599,289,40,6,25,0,46,25,2916,6428
4050,300.0,1515.3346374879486,1724.6653625120514,300.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,22.0,28.666666666666668,22.666666666666668,64.66666666666667,40.0,22.666666666666664,52.666666666666664,22.666666666666664,23.0,20.0,75.0,20.0,34.0,22.66666666666667,58.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,140,54,1508.213061,140.0,,,,31.0,,,,49.0,,,,22.0,,,,28.0,228,174,113.868922,228.0,59,45,1.310444,59.0,292,245,1750.123332,292,80,9,32,17,89,49,3009,6315
4200,0.0,724.2481221896494,357.8759389051753,357.8759389051753,52.0,22.666666666666664,40.666666666666664,22.666666666666664,28.0,46.66666666666667,22.666666666666668,40.66666666666667,28.0,34.666666666666664,52.666666666666664,22.666666666666664,23.0,20.0,75.0,20.0,28.0,22.66666666666667,64.66666666666666,22.66666666666667,26.0,23.057471264367813,65.88505747126436,23.057471264367813,148,61,1514.698893,148.0,,,,33.0,,,,41.0,,,,31.0,,,,17.0,236,197,89.508252,236.0,60,49,0.44056,60.0,289,247,1739.759242,289,62,5,20,2,67,22,2894,6308
4350,0.0,900.5410451824232,899.4589548175768,0.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,40.0,22.666666666666664,28.666666666666664,46.666666666666664,28.0,34.666666666666664,52.666666666666664,22.666666666666664,77.0,20.0,21.0,20.0,22.0,22.66666666666667,70.66666666666666,22.66666666666667,26.0,24.29269293924466,63.41461412151067,24.29269293924466,139,52,1519.898986,139.0,,,,43.0,,,,47.0,,,,42.0,,,,20.0,246,215,96.033779,246.0,61,53,2.94415,61.0,293,241,1756.586,293,91,20,24,2,111,26,2941,6334
4500,0.0,923.2977810906021,730.585182424498,146.1170364848997,52.0,22.666666666666664,40.666666666666664,22.666666666666664,64.0,22.666666666666664,28.666666666666664,22.666666666666664,28.0,34.666666666666664,52.666666666666664,22.666666666666664,24.0,20.0,74.0,20.0,28.0,40.66666666666667,46.66666666666666,22.66666666666667,26.0,25.594087203847057,60.811825592305894,25.594087203847057,207,149,1518.476824,207.0,,,,42.0,,,,59.0,,,,41.0,,,,19.0,238,187,79.661901,238.0,62,54,1.731066,62.0,293,248,1774.768662,293,114,21,34,19,135,53,3071,6365
4650,0.0,1627.3515922004492,1372.648407799551,0.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,64.0,22.666666666666664,28.666666666666664,22.666666666666664,28.0,34.666666666666664,52.666666666666664,22.666666666666664,23.0,20.0,75.0,20.0,40.0,22.66666666666667,52.66666666666666,22.66666666666667,26.0,20.965199018338865,70.06960196332227,20.965199018338865,176,102,1015.755997,176.0,,,,51.0,,,,45.0,,,,26.0,,,,19.0,248,209,74.810931,248.0,64,52,0.75457,64.0,284,248,1776.640092,284,140,24,37,3,164,40,3081,6276
4800,300.0,1800.0,1672.648407799551,300.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,70.0,22.666666666666664,22.666666666666664,22.666666666666664,28.0,34.666666666666664,52.666666666666664,22.666666666666664,77.0,20.0,21.0,20.0,40.0,22.66666666666667,52.66666666666666,22.66666666666667,26.0,20.965199018338865,70.06960196332227,20.965199018338865,187,112,941.000776,187.0,,,,53.0,,,,39.0,,,,27.0,,,,23.0,260,229,62.568017,260.0,52,35,2.478055,52.0,284,243,1800.387516,284,140,3,11,18,143,29,3066,6238
4950,0.0,695.555959464493,372.2220202677535,372.2220202677535,52.0,22.666666666666664,40.666666666666664,22.666666666666664,70.0,22.666666666666664,22.666666666666664,22.666666666666664,28.0,22.666666666666664,64.66666666666666,22.666666666666664,24.0,20.0,74.0,20.0,46.0,22.66666666666667,46.66666666666666,22.66666666666667,26.0,22.08833468003559,67.82333063992883,22.08833468003559,238,178,888.831545,238.0,,,,49.0,,,,50.0,,,,23.0,,,,25.0,260,218,52.498214,260.0,67,56,3.245212,67.0,280,242,1813.839986,280,117,6,10,8,123,18,2971,6161
5100,0.0,873.7513603603418,926.2486396396583,0.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,70.0,22.666666666666664,22.666666666666664,22.666666666666664,34.0,22.666666666666668,58.66666666666666,22.666666666666668,23.0,20.0,75.0,20.0,34.0,22.666666666666675,58.66666666666665,22.666666666666675,26.0,23.271638323608926,65.45672335278216,23.271638323608926,205,130,901.570795,205.0,,,,49.0,,,,60.0,,,,23.0,,,,9.0,263,226,81.199428,263.0,66,58,3.756557,66.0,271,232,1807.845415,271,140,18,19,2,158,21,3093,6216
5250,137.71258150218992,688.5629075109496,673.7245109868605,0.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,70.0,22.666666666666664,22.666666666666664,22.666666666666664,34.0,22.666666666666668,58.66666666666666,22.666666666666668,23.0,20.0,75.0,20.0,22.0,22.66666666666668,70.66666666666664,22.66666666666668,20.0,24.518333233802252,68.96333353239548,24.518333233802252,207,133,846.555786,207.0,,,,55.0,,,,44.0,,,,29.0,,,,9.0,260,228,58.250447,260.0,63,45,2.000761,63.0,272,231,1814.89552,272,140,15,13,16,155,29,3004,6069
5400,0.0,1477.9820334062133,1222.0179665937867,0.0,52.0,22.666666666666664,40.666666666666664,22.666666666666664,70.0,22.666666666666664,22.666666666666664,22.666666666666664,34.0,22.666666666666668,52.66666666666666,28.666666666666668,23.0,20.0,75.0,20.0,52.0,40.66666666666668,22.666666666666643,22.66666666666668,20.0,24.51833323380226,68.96333353239548,24.51833323380226,195,105,828.382651,195.0,,,,44.0,,,,38.0,,,,32.0,,,,6.0,258,218,53.964968,258.0,63,52,2.136019,63.0,269,229,1803.812322,269,117,24,30,38,141,68,2927,6041
