t,rm_R_D_W,rm_R_F_W,rm_R_D_E,rm_R_F_E,g_SC5_p1,g_SC5_p2,g_SC5_p3,g_SC5_p4,g_SC101_p1,g_SC101_p2,g_SC101_p3,g_SC101_p4,g_SC105_p1,g_SC105_p2,g_SC105_p3,g_SC105_p4,g_SC1001_p1,g_SC1001_p2,g_SC1001_p3,g_SC1001_p4,g_SC1002_p1,g_SC1002_p2,g_SC1002_p3,g_SC1002_p4,g_SC1004_p1,g_SC1004_p2,g_SC1004_p3,g_SC1004_p4,cnt_32,stp_32,qt_32,fcnt_32,cnt_31,stp_31,qt_31,fcnt_31,cnt_68,stp_68,qt_68,fcnt_68,cnt_69,stp_69,qt_69,fcnt_69,cnt_70,stp_70,qt_70,fcnt_70,cnt_420,stp_420,qt_420,fcnt_420,cnt_329,stp_329,qt_329,fcnt_329,cnt_66,stp_66,qt_66,fcnt_66,rc_R_D_W,rc_R_D_E,rc_R_F_W,rc_R_F_E,rc_D,rc_F,stopped_vehicles,total_vehicles
1,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,0,0,0.0,,,,,,,,,,,,,,,,,,0,0,0.0,,0,0,0.0,,1,0,0.0,1,0,0,0,0,0,0,0,8
150,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,42,2,1948.072685,42.0,,,,9.0,,,,,,,,41.0,,,,,0,0,0.0,,0,0,0.0,,25,0,0.0,25,5,6,0,0,11,0,134,988
300,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,56,4,1947.982799,56.0,,,,15.0,,,,36.0,,,,34.0,,,,1.0,8,0,0.0,8.0,0,0,0.0,,42,8,2628.112438,42,4,3,15,0,7,15,242,1701
450,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,68,19,1866.957856,68.0,,,,38.0,,,,40.0,,,,41.0,,,,5.0,27,0,0.0,27.0,0,0,0.0,,50,16,2569.604785,50,9,5,19,1,14,20,375,2163
600,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,95,32,1847.697486,95.0,,,,28.0,,,,44.0,,,,32.0,,,,1.0,23,0,0.0,23.0,2,0,0.0,2.0,51,23,2531.163163,51,5,6,26,1,11,27,496,2416
750,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,141,71,1586.656243,141.0,,,,50.0,,,,53.0,,,,39.0,,,,2.0,21,0,0.0,21.0,10,3,0.09878,10.0,65,27,2498.271286,65,6,7,17,0,13,17,551,2682
900,1800.0,1800.0,1800.0,1800.0,34.0,22.666666666666664,40.666666666666664,40.666666666666664,22.0,22.666666666666664,46.666666666666664,46.666666666666664,34.0,28.666666666666664,34.666666666666664,40.666666666666664,22.0,22.666666666666664,70.66666666666666,22.666666666666664,46.0,22.666666666666664,40.666666666666664,28.666666666666664,22.0,22.666666666666664,70.66666666666666,22.666666666666664,160,85,1542.294705,160.0,,,,46.0,,,,39.0,,,,32.0,,,,1.0,26,0,0.0,26.0,7,0,0.0,7.0,73,31,2477.759839,73,6,4,18,2,10,20,648,2796
1050,1695.6118222165787,1800.0,1800.0,1800.0,40.0,28.666666666666664,46.666666666666664,22.666666666666664,34.0,22.666666666666664,46.666666666666664,34.666666666666664,40.0,22.666666666666664,40.666666666666664,34.666666666666664,24.0,22.275862068965516,69.44827586206897,22.275862068965516,40.0,22.666666666666664,46.666666666666664,28.666666666666664,20.0,23.057471264367816,71.88505747126437,23.057471264367816,172,69,1498.955727,172.0,,,,38.0,,,,48.0,,,,60.0,,,,13.0,22,0,0.0,22.0,7,0,0.0,7.0,81,41,2442.109729,81,9,10,19,0,19,19,957,3317
1200,1800.0,1800.0,1800.0,1800.0,34.0,28.666666666666664,52.666666666666664,22.666666666666664,64.0,22.666666666666664,22.666666666666664,28.666666666666664,40.0,22.666666666666664,40.666666666666664,34.666666666666664,24.0,22.275862068965516,69.44827586206897,22.275862068965516,40.0,22.666666666666664,46.666666666666664,28.666666666666664,20.0,23.057471264367813,71.88505747126436,23.057471264367813,170,66,1504.380726,170.0,,,,38.0,,,,66.0,,,,61.0,,,,1.0,53,16,620.086281,53.0,14,2,113.049651,14.0,90,45,2398.026543,90,13,15,28,3,28,31,1155,3762
1350,1800.0,1800.0,1800.0,1800.0,40.0,28.666666666666664,46.666666666666664,22.666666666666664,64.0,22.666666666666664,22.666666666666664,28.666666666666664,40.0,22.666666666666664,40.666666666666664,34.666666666666664,24.0,22.275862068965516,69.44827586206897,22.275862068965516,28.0,22.666666666666664,64.66666666666666,22.666666666666664,20.0,23.057471264367813,71.88505747126436,23.057471264367813,166,73,1500.310716,166.0,,,,29.0,,,,58.0,,,,78.0,,,,9.0,75,49,594.706519,75.0,14,5,70.218995,14.0,107,56,2305.397462,107,7,4,27,1,11,28,1285,4136
