link,bin,lane,cls,rows,stopped,qtail_min,qhead_max,nveh
31,0,1,ramp,11,0,,,7
31,0,1,signal,22,0,,,5
31,0,2,signal,24,0,,,2
31,150,1,ramp,38,0,,,17
31,150,1,signal,202,0,,,43
31,150,2,ramp,3,0,,,1
31,150,2,signal,122,0,,,27
31,150,3,signal,55,0,,,15
31,300,1,ramp,45,0,,,18
31,300,1,signal,249,0,,,62
31,300,2,signal,260,0,,,48
31,300,3,ramp,3,0,,,1
31,300,3,signal,146,0,,,31
31,450,1,ramp,43,0,,,23
31,450,1,signal,380,0,,,76
31,450,2,ramp,5,0,,,4
31,450,2,signal,374,0,,,73
31,450,3,ramp,7,0,,,4
31,450,3,signal,271,0,,,56
31,600,1,ramp,113,0,,,28
31,600,1,signal,344,0,,,88
31,600,2,ramp,39,0,,,13
31,600,2,signal,370,0,,,79
31,600,3,ramp,26,0,,,10
31,600,3,signal,267,0,,,55
31,750,1,ramp,65,0,,,23
31,750,1,signal,399,0,,,90
31,750,2,ramp,19,0,,,8
31,750,2,signal,422,0,,,91
31,750,3,ramp,20,0,,,5
31,750,3,signal,317,0,,,66
31,900,1,ramp,105,3,596.5599975585938,614.7000122070312,30
31,900,1,signal,439,1,616.6699829101562,616.6699829101562,92
31,900,2,ramp,30,0,,,6
31,900,2,signal,453,0,,,83
31,900,3,ramp,21,0,,,4
31,900,3,signal,315,0,,,54
31,1050,1,ramp,177,1,623.989990234375,623.989990234375,46
31,1050,1,signal,456,0,,,95
31,1050,2,ramp,44,0,,,15
31,1050,2,signal,459,0,,,98
31,1050,3,ramp,34,0,,,9
31,1050,3,signal,300,0,,,72
31,1200,1,ramp,138,0,,,38
31,1200,1,signal,367,1,616.739990234375,616.739990234375,69
31,1200,2,ramp,52,0,,,14
31,1200,2,signal,446,0,,,78
31,1200,3,ramp,29,0,,,9
31,1200,3,signal,349,0,,,54
31,1350,1,ramp,95,0,,,37
31,1350,1,signal,398,0,,,72
31,1350,2,ramp,29,0,,,13
31,1350,2,signal,472,0,,,79
31,1350,3,ramp,28,0,,,10
31,1350,3,signal,333,0,,,49
31,1500,1,ramp,89,0,,,38
31,1500,1,signal,580,0,,,82
31,1500,2,ramp,28,0,,,13
31,1500,2,signal,614,0,,,76
31,1500,3,ramp,36,0,,,10
31,1500,3,signal,454,0,,,48
31,1650,1,ramp,109,0,,,41
31,1650,1,signal,562,0,,,86
31,1650,2,ramp,45,0,,,14
31,1650,2,signal,483,0,,,80
31,1650,3,ramp,62,0,,,12
31,1650,3,signal,411,0,,,53
