link,bin,seg,rows,stopped,mean_speed
2,0,0,35,0,115.720856
2,0,100,48,0,118.00583
2,0,200,27,0,119.08926
2,0,300,36,0,120.27778
2,0,400,31,0,117.479996
2,0,500,34,0,119.76676
2,0,600,25,0,118.023605
2,0,700,28,0,119.43392
2,0,800,21,0,115.33572
2,0,900,24,0,119.00416
2,0,1000,20,0,119.8705
2,0,1100,11,0,124.23454
2,0,1200,15,0,121.99466
2,0,1300,12,0,124.61083
2,0,1400,5,0,126.36
2,0,1500,9,0,125.32111
2,0,1600,5,0,131.648
2,0,1700,6,0,127.19833
2,0,1800,5,0,133.09
2,0,1900,3,0,135.34666
2,0,2100,2,0,139.84
2,0,2300,2,0,139.84
2,0,2500,1,0,139.78
2,150,0,126,0,111.445
2,150,100,143,0,112.63203
2,150,200,144,0,108.564445
2,150,300,146,0,110.213356
2,150,400,145,0,110.25779
2,150,500,144,0,110.20805
2,150,600,135,0,109.45512
2,150,700,147,0,111.08006
2,150,800,144,0,110.01931
2,150,900,139,0,111.85454
2,150,1000,144,0,110.87507
2,150,1100,137,0,112.87138
2,150,1200,139,0,108.00885
2,150,1300,146,0,106.988495
2,150,1400,131,0,107.52771
2,150,1500,140,0,110.28964
2,150,1600,127,0,109.56685
2,150,1700,116,0,112.00776
2,150,1800,127,0,103.59425
2,150,1900,145,3,82.18765
2,150,2000,95,1,96.278
2,150,2100,75,0,103.98067
2,150,2200,68,0,110.509415
2,150,2300,75,0,105.17093
2,150,2400,58,0,111.245346
2,150,2500,57,0,118.31895
2,150,2600,59,0,117.54881
2,150,2700,50,0,121.3092
2,150,2800,57,0,121.64772
2,150,2900,48,0,121.3623
2,150,3000,51,0,122.46784
2,150,3100,44,0,122.56841
2,150,3200,42,0,122.32309
2,150,3300,50,0,122.7246
2,150,3400,39,0,122.58769
2,150,3500,39,0,123.90461
2,150,3600,33,0,122.66788
2,150,3700,41,0,123.9478
2,150,3800,38,0,121.47974
2,150,3900,33,0,122.6197
2,150,4000,27,0,120.92555
2,150,4100,27,0,118.24185
2,150,4200,25,0,120.187996
2,150,4300,16,0,116.72125
2,150,4400,54,0,72.39833
2,150,4500,43,0,58.032787
2,150,4600,36,0,71.19278
2,300,0,146,0,112.963974
2,300,100,153,0,112.42882
2,300,200,153,0,113.84176
2,300,300,135,0,113.73141
2,300,400,158,0,114.209305
2,300,500,153,0,114.49405
2,300,600,143,0,113.549446
2,300,700,157,0,114.4765
2,300,800,135,0,114.62622
2,300,900,135,0,114.66637
2,300,1000,148,0,111.304855
2,300,1100,182,3,86.569565
2,300,1200,239,6,73.265526
2,300,1300,194,0,86.20701
2,300,1400,197,3,88.39903
2,300,1500,182,5,86.84698
2,300,1600,151,0,100.598274
2,300,1700,129,0,104.012794
2,300,1800,154,1,90.51559
2,300,1900,225,10,60.748398
2,300,2000,137,4,81.3054
2,300,2100,100,0,91.40769
2,300,2200,117,0,93.12488
2,300,2300,108,0,92.66352
2,300,2400,117,0,90.62282
2,300,2500,113,0,90.17531
2,300,2600,114,0,93.9607
2,300,2700,101,0,101.92257
2,300,2800,100,0,108.0575
2,300,2900,85,0,111.41365
2,300,3000,89,0,114.49753
2,300,3100,83,0,115.02711
2,300,3200,84,0,114.57952
2,300,3300,91,0,116.41615
2,300,3400,83,0,116.88349
2,300,3500,83,0,115.925896
2,300,3600,92,0,115.95544
2,300,3700,89,0,115.71843
2,300,3800,83,0,117.4794
2,300,3900,86,0,116.20174
2,300,4000,81,0,115.32987
2,300,4100,72,0,118.19765
2,300,4200,61,0,116.81049
2,300,4300,64,0,116.02359
2,300,4400,96,0,97.09333
2,300,4500,57,0,98.74754
2,300,4600,57,0,94.4607
2,450,0,136,0,114.46133
2,450,100,127,0,115.21126
2,450,200,139,0,114.33036
2,450,300,141,0,114.35574
2,450,400,124,0,115.722015
2,450,500,141,0,114.638794
2,450,600,126,0,114.505714
2,450,700,132,0,113.87689
2,450,800,149,0,114.11719
2,450,900,133,0,112.58271
2,450,1000,151,0,112.783516
2,450,1100,148,0,109.05574
2,450,1200,132,0,110.82045
2,450,1300,151,0,108.939606
2,450,1400,164,2,97.727135
2,450,1500,189,0,95.21408
2,450,1600,186,7,81.23151
2,450,1700,220,27,71.0095
2,450,1800,235,33,64.366
2,450,1900,249,37,58.381287
2,450,2000,124,0,90.50653
2,450,2100,106,0,97.21122
2,450,2200,121,0,94.0562
2,450,2300,109,0,95.43266
2,450,2400,119,0,91.38983
2,450,2500,129,0,91.71372
2,450,2600,112,0,88.86982
2,450,2700,103,0,104.21107
2,450,2800,99,0,107.98909
2,450,2900,96,0,112.3025
2,450,3000,99,0,113.7797
2,450,3100,93,0,115.26237
2,450,3200,96,0,114.40656
2,450,3300,93,0,114.121506
2,450,3400,96,0,114.78125
2,450,3500,90,0,114.85889
2,450,3600,98,0,113.00183
2,450,3700,94,0,114.92713
2,450,3800,86,0,113.44082
2,450,3900,101,0,114.67644
2,450,4000,90,0,114.30055
2,450,4100,66,0,115.833786
2,450,4200,66,0,118.17651
2,450,4300,72,0,116.13931
2,450,4400,102,1,90.46236
2,450,4500,75,0,96.804665
2,450,4600,71,0,95.90479
2,600,0,133,0,116.01414
2,600,100,135,0,115.93756
2,600,200,140,0,114.66186
2,600,300,152,0,115.30803
2,600,400,145,0,114.84297
2,600,500,144,0,116.5893
2,600,600,141,0,115.88468
2,600,700,146,0,115.96541
2,600,800,149,0,116.09101
2,600,900,134,0,115.65015
2,600,1000,140,0,115.35093
2,600,1100,147,0,114.23714
2,600,1200,159,0,112.87597
2,600,1300,152,0,104.32783
2,600,1400,186,15,81.280914
2,600,1500,160,0,94.72856
2,600,1600,135,0,103.57311
2,600,1700,125,0,105.15368
2,600,1800,159,5,89.76208
2,600,1900,218,32,54.621147
2,600,2000,117,5,90.93726
2,600,2100,88,0,103.18897
2,600,2200,94,0,101.30116
2,600,2300,104,0,99.77173
2,600,2400,94,0,100.99617
2,600,2500,96,0,102.197914
2,600,2600,93,0,101.56839
2,600,2700,93,0,106.67118
2,600,2800,86,0,112.499535
2,600,2900,85,0,113.975296
2,600,3000,79,0,115.7319
2,600,3100,89,0,117.45741
2,600,3200,78,0,115.918594
2,600,3300,89,0,118.63168
2,600,3400,81,0,117.80358
2,600,3500,83,0,118.83939
2,600,3600,85,0,118.768234
2,600,3700,75,0,118.03013
2,600,3800,90,0,117.13778
2,600,3900,82,0,117.04049
2,600,4000,89,0,116.19337
2,600,4100,64,0,117.18766
2,600,4200,55,0,116.73836
2,600,4300,71,0,115.560425
2,600,4400,83,3,92.3806
2,600,4500,56,0,102.027145
2,600,4600,58,0,99.55396
2,750,0,147,0,110.758026
2,750,100,159,0,112.04025
2,750,200,157,0,112.577065
2,750,300,153,0,114.030525
2,750,400,144,0,115.236115
2,750,500,148,0,114.19148
2,750,600,154,0,115.10714
2,750,700,139,0,114.8241
2,750,800,156,0,115.410446
2,750,900,143,0,115.03111
2,750,1000,148,0,115.23506
2,750,1100,155,0,113.74387
2,750,1200,142,0,105.8024
2,750,1300,186,3,95.44699
2,750,1400,198,0,91.58652
2,750,1500,205,2,86.376045
2,750,1600,197,0,88.42127
2,750,1700,208,2,73.47596
2,750,1800,241,26,61.891823
2,750,1900,255,20,57.81196
2,750,2000,132,4,84.31697
2,750,2100,111,0,94.24937
2,750,2200,122,0,90.62861
2,750,2300,123,0,88.21878
2,750,2400,126,0,92.940796
2,750,2500,121,0,91.78735
2,750,2600,111,0,94.44225
2,750,2700,111,0,104.79298
2,750,2800,94,0,109.54511
2,750,2900,105,0,112.781715
2,750,3000,91,0,113.86473
2,750,3100,92,0,116.53609
2,750,3200,102,0,115.67971
2,750,3300,92,0,117.290535
2,750,3400,90,0,116.81311
2,750,3500,100,0,116.2124
2,750,3600,93,0,115.78226
2,750,3700,90,0,116.58278
2,750,3800,105,0,114.80791
2,750,3900,92,0,114.24967
2,750,4000,87,0,115.25678
2,750,4100,72,0,116.34473
2,750,4200,63,0,118.56587
2,750,4300,66,0,114.36758
2,750,4400,104,1,79.20827
2,750,4500,65,0,93.08954
2,750,4600,62,0,94.77306
2,900,0,136,0,110.068535
2,900,100,163,0,112.08306
2,900,200,153,0,112.363266
2,900,300,162,0,113.11062
2,900,400,154,0,112.89981
2,900,500,150,0,112.218994
2,900,600,168,0,113.46828
2,900,700,143,0,111.46972
2,900,800,163,0,111.005585
2,900,900,161,0,107.97025
2,900,1000,163,0,106.433556
2,900,1100,184,0,92.79739
2,900,1200,241,12,72.17171
2,900,1300,209,1,78.31684
2,900,1400,219,4,70.06091
2,900,1500,233,5,67.73704
2,900,1600,212,1,71.17665
2,900,1700,212,4,67.39477
2,900,1800,326,67,46.351597
2,900,1900,304,49,45.972137
2,900,2000,153,5,75.20673
2,900,2100,126,0,91.47381
2,900,2200,133,0,85.308876
2,900,2300,132,0,84.752426
2,900,2400,140,0,79.57522
2,900,2500,143,0,76.82406
2,900,2600,167,1,69.99036
2,900,2700,137,0,88.35883
2,900,2800,125,0,101.89424
2,900,2900,96,0,107.86615
2,900,3000,111,0,112.36523
2,900,3100,100,0,111.542
2,900,3200,98,0,112.17102
2,900,3300,100,0,112.9636
2,900,3400,87,0,114.7892
2,900,3500,89,0,116.72258
2,900,3600,93,0,114.30409
2,900,3700,89,0,114.99472
2,900,3800,91,0,114.725716
2,900,3900,89,0,113.88775
2,900,4000,95,0,113.128204
2,900,4100,75,0,114.268135
2,900,4200,70,0,115.86757
2,900,4300,73,0,108.80521
2,900,4400,129,9,70.8276
2,900,4500,63,0,105.830154
2,900,4600,51,0,105.37725
2,1050,0,167,0,110.024796
2,1050,100,190,0,110.79111
2,1050,200,182,0,110.99121
