sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,0,0,55.611930
15,15.000000,0,0.000000,0,2,0,87.291670
30,15.000000,0,0.000000,0,4,0,97.414991
45,15.000000,3,720.000000,0,6,3,97.924682
60,15.000000,4,960.000000,2,6,6,95.092920
75,15.000000,6,1440.000000,7,10,1,105.299512
90,15.000000,5,1200.000000,7,10,2,104.993493
105,15.000000,11,2640.000000,5,17,4,104.632994
120,15.000000,6,1440.000000,7,14,8,98.467948
135,15.000000,10,2400.000000,10,9,12,87.658693
150,15.000000,10,2400.000000,10,4,21,83.133438
165,15.000000,3,720.000000,10,3,30,83.201701
180,15.000000,3,720.000000,10,7,42,77.333643
195,15.000000,13,3120.000000,19,14,37,81.199213
210,15.000000,39,9360.000000,32,26,10,96.098603
225,15.000000,26,6240.000000,30,27,10,101.195146
240,15.000000,25,6000.000000,30,25,6,97.464034
255,15.000000,15,3600.000000,20,15,14,85.950937
270,15.000000,14,3360.000000,15,21,22,80.722184
285,15.000000,2,480.000000,15,13,31,73.098631
300,15.000000,6,1440.000000,16,12,42,68.629942
315,15.000000,18,4320.000000,11,19,35,78.312139
330,15.000000,38,9120.000000,33,33,16,92.050736
345,15.000000,31,7440.000000,32,43,10,93.512721
360,15.000000,18,4320.000000,32,29,6,90.847376
375,15.000000,20,4800.000000,27,11,12,81.461467
390,15.000000,13,3120.000000,26,18,23,76.485513
405,15.000000,6,1440.000000,23,8,36,70.826138
420,15.000000,5,1200.000000,21,10,47,64.385714
435,15.000000,10,2400.000000,11,13,49,72.697042
450,15.000000,41,9840.000000,35,27,21,89.827082
465,15.000000,35,8400.000000,38,42,5,98.536143
480,15.000000,16,3840.000000,30,30,2,97.396666
495,15.000000,18,4320.000000,20,7,17,87.449630
510,15.000000,13,3120.000000,21,14,23,80.499704
525,15.000000,6,1440.000000,21,16,35,69.988989
540,15.000000,4,960.000000,19,11,44,62.831485
555,15.000000,8,1920.000000,11,8,41,67.744631
570,15.000000,37,8880.000000,34,29,20,84.333389
585,15.000000,30,7200.000000,36,32,9,90.136973
600,15.000000,26,6240.000000,34,26,6,86.423434
615,15.000000,10,2400.000000,27,16,6,83.015895
630,15.000000,18,4320.000000,25,22,15,78.841297
645,15.000000,6,1440.000000,23,23,30,72.866124
660,15.000000,6,1440.000000,22,8,38,67.725483
675,15.000000,4,960.000000,16,7,47,63.736409
690,15.000000,38,9120.000000,38,21,31,83.132256
705,15.000000,37,8880.000000,42,30,16,88.814951
720,15.000000,30,7200.000000,40,33,3,88.941003
735,15.000000,16,3840.000000,27,15,9,91.298322
750,15.000000,20,4800.000000,17,18,21,83.944156
765,15.000000,1,240.000000,16,13,26,80.604033
780,15.000000,6,1440.000000,14,3,37,71.750038
795,15.000000,1,240.000000,15,4,44,68.972496
810,15.000000,30,7200.000000,27,21,20,83.683746
825,15.000000,27,6480.000000,29,37,5,94.090969
840,15.000000,22,5280.000000,25,35,3,98.648895
855,15.000000,12,2880.000000,29,14,9,94.271234
870,15.000000,22,5280.000000,18,18,16,84.619860
885,15.000000,7,1680.000000,19,14,23,78.082492
900,15.000000,7,1680.000000,17,8,32,74.145417
