case_id,returncode,elapsed_sec,timed_out,case_timeout_sec,state_csv,segment_csv,ramp_csv,signal_csv,urban_csv,stdout,stderr
fd_fw800_seed13,0,112.804,False,2400.0,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed13\state.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed13\segments.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed13\ramps.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed13\signal_discharge.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed13\urban_production.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed13\stdout.txt,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed13\stderr.txt
fd_fw1200_seed13,0,116.009,False,2400.0,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed13\state.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed13\segments.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed13\ramps.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed13\signal_discharge.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed13\urban_production.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed13\stdout.txt,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed13\stderr.txt
fd_fw1600_seed13,0,103.101,False,2400.0,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed13\state.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed13\segments.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed13\ramps.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed13\signal_discharge.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed13\urban_production.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed13\stdout.txt,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed13\stderr.txt
fd_fw2000_seed13,0,124.374,False,2400.0,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed13\state.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed13\segments.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed13\ramps.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed13\signal_discharge.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed13\urban_production.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed13\stdout.txt,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed13\stderr.txt
fd_fw2400_seed13,0,119.514,False,2400.0,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed13\state.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed13\segments.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed13\ramps.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed13\signal_discharge.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed13\urban_production.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed13\stdout.txt,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed13\stderr.txt
fd_fw800_seed29,0,92.532,False,2400.0,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed29\state.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed29\segments.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed29\ramps.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed29\signal_discharge.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed29\urban_production.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed29\stdout.txt,evaluation\runs\calibration_fd_vector_20260626\fd_fw800_seed29\stderr.txt
fd_fw1200_seed29,0,92.936,False,2400.0,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed29\state.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed29\segments.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed29\ramps.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed29\signal_discharge.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed29\urban_production.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed29\stdout.txt,evaluation\runs\calibration_fd_vector_20260626\fd_fw1200_seed29\stderr.txt
fd_fw1600_seed29,0,96.39,False,2400.0,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed29\state.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed29\segments.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed29\ramps.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed29\signal_discharge.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed29\urban_production.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed29\stdout.txt,evaluation\runs\calibration_fd_vector_20260626\fd_fw1600_seed29\stderr.txt
fd_fw2000_seed29,0,99.007,False,2400.0,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed29\state.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed29\segments.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed29\ramps.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed29\signal_discharge.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed29\urban_production.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed29\stdout.txt,evaluation\runs\calibration_fd_vector_20260626\fd_fw2000_seed29\stderr.txt
fd_fw2400_seed29,0,96.595,False,2400.0,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed29\state.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed29\segments.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed29\ramps.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed29\signal_discharge.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed29\urban_production.csv,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed29\stdout.txt,evaluation\runs\calibration_fd_vector_20260626\fd_fw2400_seed29\stderr.txt
