case_id,controller,scenario_id,category,demand_profile,returncode,elapsed_sec,timed_out,timeout_reason,case_timeout_sec,startup_timeout_sec,first_progress_sec,last_progress_sec,progress_marker_count,sim_period_sec,urban_volume_vph,freeway_volume_vph,control_interval_sec,rand_seed,state_csv,action_csv,decision_dir,stdout,stderr,tuning_json
wu_sym_high_u2600_fw3400_seed37_300s,wu,sym_high,4_symmetric_high,sym,0,60.162,False,,1200.0,60.0,25.096,59.662,69,300,2600.0,3400.0,60,37,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed37_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed37_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed37_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed37_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed37_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
wu_sym_high_u2600_fw3400_seed41_300s,wu,sym_high,4_symmetric_high,sym,0,60.658,False,,1200.0,60.0,24.594,60.157,71,300,2600.0,3400.0,60,41,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed41_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed41_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed41_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed41_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed41_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
wu_sym_high_u2600_fw3400_seed43_300s,wu,sym_high,4_symmetric_high,sym,0,62.659,False,,1200.0,60.0,25.589,62.158,72,300,2600.0,3400.0,60,43,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed43_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed43_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed43_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed43_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed43_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
pfo_sym_high_u2600_fw3400_seed11_300s,pfo,sym_high,4_symmetric_high,sym,0,247.048,False,,1200.0,60.0,24.588,246.546,336,300,2600.0,3400.0,60,11,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed11_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed11_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed11_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed11_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed11_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
pfo_sym_high_u2600_fw3400_seed13_300s,pfo,sym_high,4_symmetric_high,sym,0,245.042,False,,1200.0,60.0,26.084,244.541,332,300,2600.0,3400.0,60,13,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed13_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed13_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed13_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed13_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed13_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
pfo_sym_high_u2600_fw3400_seed17_300s,pfo,sym_high,4_symmetric_high,sym,0,243.046,False,,1200.0,60.0,24.588,242.545,329,300,2600.0,3400.0,60,17,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed17_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed17_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed17_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed17_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed17_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
pfo_sym_high_u2600_fw3400_seed19_300s,pfo,sym_high,4_symmetric_high,sym,0,242.556,False,,1200.0,60.0,24.598,242.056,330,300,2600.0,3400.0,60,19,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed19_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed19_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed19_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed19_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed19_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
pfo_sym_high_u2600_fw3400_seed23_300s,pfo,sym_high,4_symmetric_high,sym,0,242.554,False,,1200.0,60.0,24.593,242.053,329,300,2600.0,3400.0,60,23,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed23_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed23_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed23_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed23_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed23_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
pfo_sym_high_u2600_fw3400_seed29_300s,pfo,sym_high,4_symmetric_high,sym,0,242.541,False,,1200.0,60.0,25.59,242.04,331,300,2600.0,3400.0,60,29,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed29_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed29_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed29_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed29_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed29_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
pfo_sym_high_u2600_fw3400_seed31_300s,pfo,sym_high,4_symmetric_high,sym,0,246.057,False,,1200.0,60.0,25.595,245.556,335,300,2600.0,3400.0,60,31,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed31_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed31_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed31_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed31_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed31_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
pfo_sym_high_u2600_fw3400_seed37_300s,pfo,sym_high,4_symmetric_high,sym,0,244.053,False,,1200.0,60.0,25.597,243.551,330,300,2600.0,3400.0,60,37,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed37_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed37_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed37_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed37_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed37_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
pfo_sym_high_u2600_fw3400_seed41_300s,pfo,sym_high,4_symmetric_high,sym,0,246.052,False,,1200.0,60.0,25.591,245.551,334,300,2600.0,3400.0,60,41,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed41_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed41_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed41_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed41_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed41_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
pfo_sym_high_u2600_fw3400_seed43_300s,pfo,sym_high,4_symmetric_high,sym,0,245.045,False,,1200.0,60.0,25.088,244.544,333,300,2600.0,3400.0,60,43,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed43_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed43_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed43_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed43_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\pfo_sym_high_u2600_fw3400_seed43_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
no-control_sym_high_u2600_fw3400_seed23_300s,no-control,sym_high,4_symmetric_high,sym,0,52.635,False,,1200.0,60.0,25.086,52.133,54,300,2600.0,3400.0,60,23,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed23_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed23_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed23_300s\decisions,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed23_300s\stdout.txt,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed23_300s\stderr.txt,evaluation\configs\pfo_h3_i3_medium.json
